Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
6.06050833333333,6.06050833333333,14.065475,14.065475,0.138243346444634,0.138243346444634,1.62315856705,1.62315856705,0,80,2,46,0,7,4,44,2,11,0,0,11,0,0,25,10,7,0,0,17,0
6.20465666666667,6.20465666666667,14.0693016666667,14.0693016666667,0.117986547780564,0.117986547780564,1.63707833837,1.63707833837,0,109,0,36,0,6,9,28,2,6,0,0,14,0,0,63,7,4,1,0,17,0
6.23020166666667,6.23020166666667,14.791075,14.791075,0.157572838124793,0.157572838124793,1.69337197889,1.69337197889,0,103,0,33,0,4,6,50,2,11,1,0,10,0,0,33,6,7,2,0,9,0
6.44490333333333,6.44490333333333,13.6333366666667,13.6333366666667,0.0545376394773503,0.0545376394773503,1.6272587857,1.6272587857,0,83,1,44,0,10,10,50,3,6,0,0,8,0,0,51,7,7,0,0,9,0
6.334435,6.334435,13.5069466666667,13.5069466666667,0.0620478252671957,0.0620478252671957,1.60737574092,1.60737574092,0,94,1,50,0,7,9,49,4,7,0,0,11,0,0,48,3,5,0,0,23,0
6.44241333333334,6.44241333333334,13.44504,13.44504,0.0416669145895678,0.0416669145895678,1.61296767856,1.61296767856,0,95,0,33,0,10,5,35,6,6,0,0,15,0,0,33,6,9,0,0,22,0
6.23376333333333,6.23376333333333,13.91529,13.91529,0.104041190182406,0.104041190182406,1.62833500846,1.62833500846,0,85,1,23,0,3,5,37,5,6,0,0,15,0,0,40,1,3,1,0,28,0
6.64215666666667,6.64215666666667,14.1190716666667,14.1190716666667,0.0591227492175771,0.0591227492175771,1.68217396979,1.68217396979,0,107,1,35,0,3,8,28,9,13,0,0,12,0,0,25,4,8,0,0,23,0
6.16157666666667,6.16157666666667,14.0146016666667,14.0146016666667,0.120691859359542,0.120691859359542,1.62892052345,1.62892052345,0,94,3,31,0,7,8,39,4,7,0,0,10,0,0,30,6,12,0,0,14,0
6.224775,6.224775,13.8354216666667,13.8354216666667,0.100168372172249,0.100168372172249,1.62152300433,1.62152300433,0,99,0,59,0,7,6,37,2,7,0,0,23,0,0,46,8,9,0,0,6,0
6.51993333333333,6.51993333333333,14.2184583333333,14.2184583333333,0.0828916637117834,0.0828916637117834,1.67803241515,1.67803241515,0,89,1,53,0,10,10,33,4,5,0,0,15,0,0,33,4,4,0,0,8,0
6.43443333333334,6.43443333333334,14.3628783333333,14.3628783333333,0.10401895998794,0.10401895998794,1.68072585847,1.68072585847,0,89,0,28,0,7,8,26,3,7,1,0,12,0,0,42,5,8,2,0,21,0
