Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,29,1
0,0,0,47,1
0,0,108,0,1
0,0,0,59,1
0,0,0,88,1
0,0,0,59,1
0,0,0,59,1
0,0,59,115,1
0,0,0,59,1
0,0,59,118,1
0,0,0,5,1
0,0,0,59,1
0,0,55,118,1
0,0,0,59,1
0,0,0,59,1
0,0,59,118,1
0,0,0,59,1
0,0,0,59,1
0,0,0,57,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,102,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,59,109,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,30,1
0,0,0,59,1
0,0,70,49,1
0,0,70,107,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,7,118,1
0,0,0,59,1
0,0,0,59,1
0,0,0,105,1
0,0,0,59,1
0,0,59,117,1
0,0,0,59,1
0,0,0,59,1
0,0,89,0,1
0,0,0,59,1
0,0,49,166,1
0,0,59,117,1
0,0,47,109,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,59,118,1
0,0,0,59,1
0,0,0,59,1
0,0,0,57,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,102,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,59,109,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,59,1
0,0,0,30,1
0,0,0,59,1
0,0,70,49,1
0,0,70,107,1
0,0,0,59,1
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,29,2
0,0,0,47,2
0,0,108,0,2
0,0,0,59,2
0,0,0,138,2
0,0,0,59,2
0,0,0,59,2
0,0,59,19,2
0,0,0,59,2
0,0,59,0,2
0,0,0,5,2
0,0,0,59,2
0,0,55,21,2
0,0,0,59,2
0,0,0,59,2
0,0,59,0,2
0,0,0,59,2
0,0,0,59,2
0,0,0,57,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,54,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,59,33,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,30,2
0,0,0,59,2
0,0,70,0,2
0,0,70,0,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,32,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,7,0,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,59,0,2
0,0,0,59,2
0,0,0,59,2
0,0,89,0,2
0,0,0,59,2
0,0,49,0,2
0,0,59,0,2
0,0,47,0,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,59,0,2
0,0,0,59,2
0,0,0,59,2
0,0,0,57,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,54,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,59,33,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,59,2
0,0,0,30,2
0,0,0,59,2
0,0,70,0,2
0,0,70,0,2
0,0,0,59,2
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,29,3
0,0,0,47,3
0,0,108,12,3
0,0,0,59,3
0,0,0,88,3
0,0,0,59,3
0,0,0,59,3
0,0,59,96,3
0,0,0,94,3
0,0,59,116,3
0,0,0,5,3
0,0,0,59,3
0,0,55,107,3
0,0,0,59,3
0,0,0,59,3
0,0,59,94,3
0,0,0,59,3
0,0,0,59,3
0,0,0,57,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,54,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,59,98,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,30,3
0,0,0,59,3
0,0,70,0,3
0,0,70,0,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,47,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,7,107,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,59,36,3
0,0,0,59,3
0,0,0,59,3
0,0,89,0,3
0,0,0,59,3
0,0,49,89,3
0,0,59,62,3
0,0,47,105,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,0,59,3
0,0,59,94,3
0,0,0,59,3
0,0,0,59,3
0,0,0,57,3
0,0,0,59,3
