Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
4.45625,4.6425,12.62986,13.11161,0.294331053550871,0.291848979644758,1.36425847956,1.41783546006,0,73,2,30,0,3,2,38,3,9,0,0,12,0,0,21,4,6,0,0,16,0
4.45625,4.71875,12.62986,13.20261,0.294331053550871,0.285179218351523,1.36425847956,1.43184027606,0,77,2,40,0,5,13,40,2,9,0,0,7,0,0,17,3,5,0,0,14,0
4.45625,4.64925,12.62986,13.06786,0.294331053550871,0.288445085882463,1.36425847956,1.41520813956,0,65,1,23,0,5,7,38,3,13,0,0,17,0,0,13,9,12,0,0,9,0
4.45625,4.67625,12.62986,13.12136,0.294331053550871,0.287230896797283,1.36425847956,1.42175546856,0,60,1,31,0,4,10,45,5,17,0,0,13,0,0,28,5,2,0,0,14,0
4.45625,4.63225,12.62986,13.04886,0.294331053550871,0.290014606639967,1.36425847956,1.41218193756,0,63,2,37,0,2,6,38,1,8,0,0,11,0,0,14,11,10,0,0,13,0
4.45625,4.708,12.62986,13.2268599999999,0.294331053550871,0.288115244283224,1.36425847956,1.43263366356,0,67,1,26,0,2,8,49,4,13,0,0,9,0,0,24,7,6,0,0,9,0
4.45625,4.68825,12.62986,13.17486,0.294331053550871,0.288303632827977,1.36425847956,1.42688403756,0,78,1,31,0,3,4,32,3,9,0,0,13,0,0,18,4,4,0,0,15,0
4.45625,4.6875,12.62986,13.14536,0.294331053550871,0.28682059677331,1.36425847956,1.42461104256,0,64,0,21,0,1,7,31,5,18,1,0,12,0,0,29,3,9,0,0,9,0
4.45625,4.66375,12.62986,13.15561,0.294331053550871,0.290986886963052,1.36425847956,1.42312979406,0,62,1,22,0,4,7,53,5,17,0,0,14,0,0,26,9,12,0,0,13,0
4.45625,4.64775,12.62986,13.1796099999999,0.294331053550871,0.294705989023955,1.36425847956,1.42340795406,0,73,2,37,0,3,8,35,2,9,1,0,7,0,0,29,6,11,0,0,13,0
4.45625,4.6955,12.62986,13.19861,0.294331053550871,0.288485681446759,1.36425847956,1.42934261406,0,64,1,13,0,6,10,46,2,5,0,0,5,0,0,18,11,14,1,0,15,0
4.45625,4.67725,12.62986,13.1321099999999,0.294331053550871,0.287662074106903,1.36425847956,1.42265249706,0,93,1,28,0,2,11,33,2,8,0,0,7,0,0,20,6,9,1,0,19,0
4.45625,4.6745,12.62986,13.13636,0.294331053550871,0.288311221677847,1.36425847956,1.42270963656,0,61,7,39,0,2,10,51,4,16,1,0,10,0,0,19,5,7,1,0,14,0
4.45625,4.67975,12.62986,13.13061,0.294331053550871,0.287199909219755,1.36425847956,1.42277698806,0,85,2,30,0,4,9,36,7,17,0,0,10,0,0,13,6,3,0,0,12,0
4.45625,4.634,12.62986,13.10886,0.294331053550871,0.29299725529146,1.36425847956,1.41682621956,0,60,0,48,0,1,7,38,2,9,0,0,17,0,0,11,8,10,0,0,21,0
4.45625,4.6525,12.62986,13.13286,0.294331053550871,0.291471926145562,1.36425847956,1.42036752756,0,74,1,30,0,2,6,34,3,5,0,0,5,0,0,13,8,14,1,0,12,0
