Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
240,0,0,0,1
300,0,0,0,1
180,0,0,56,1
240,0,0,56,1
180,0,0,22,1
240,0,0,57,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
229,0,0,34,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,59,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,30,1
180,0,0,20,1
240,0,33,57,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,24,1
240,0,0,0,1
240,0,0,50,1
240,0,0,0,1
180,0,0,56,1
240,0,0,0,1
180,0,0,0,1
180,0,0,40,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,7,55,1
180,0,0,0,1
180,0,0,0,1
227,0,0,30,1
180,0,0,0,1
180,0,0,58,1
180,0,0,0,1
240,0,0,40,1
180,0,10,46,1
180,0,0,0,1
230,0,49,96,1
180,0,0,58,1
180,0,32,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,56,52,1
240,0,0,57,1
240,0,0,57,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
227,0,0,89,1
180,0,0,0,1
180,0,0,0,1
180,0,0,52,1
180,0,0,0,1
240,0,0,0,1
240,0,0,45,1
240,0,0,48,1
228,0,0,37,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
229,0,0,37,1
180,0,0,45,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
228,0,0,93,1
180,0,0,0,1
180,0,0,0,1
240,0,0,50,1
180,0,0,49,1
240,0,0,0,1
300,0,0,0,1
180,0,45,49,1
180,0,0,0,1
240,0,0,39,1
240,0,0,0,1
180,0,0,0,1
228,0,0,37,1
240,0,0,56,1
180,0,0,0,1
180,0,0,49,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,2
75,0,0,0,2
218,0,0,56,2
81,0,0,0,2
57,0,0,22,2
205,0,0,57,2
41,0,0,0,2
203,0,0,0,2
156,0,0,0,2
130,0,0,0,2
91,0,0,0,2
98,0,0,0,2
180,0,0,0,2
72,0,0,0,2
145,0,0,0,2
72,0,0,59,2
118,0,0,0,2
0,0,0,0,2
218,0,0,0,2
56,0,0,0,2
