Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
5.60299,9.70299000000001,15.5849216666667,34.8049216666668,0.280972966070945,0.442435751303946,1.69330526889,3.51579578889,0,118,0,49,0,3,1,33,4,4,0,0,11,0,0,40,2,15,0,0,10,0
6.39446,14.83446,16.411875,38.491875,0.220752046917247,0.229216035851722,1.82989442589,4.27636706589,0,98,1,55,0,7,4,47,3,9,0,0,10,0,0,41,4,10,0,0,12,0
6.10876666666667,14.5487666666667,15.6861933333333,34.6261933333334,0.221128219338535,0.15966698813172,1.74870317396,3.96078737396,0,149,0,55,0,9,5,63,3,11,0,0,10,0,0,39,4,8,0,0,9,0
6.41040666666667,14.8504066666667,16.80891,40.82891,0.237260873350304,0.272554341192715,1.86103980002,4.45232568002,0,125,1,60,0,7,8,60,6,10,0,0,7,0,0,53,2,10,0,0,12,0
6.32361333333334,17.1436133333333,16.4087633333333,41.6487633333337,0.229239497837436,0.176752827154772,1.8229611913,4.73042511129996,0,98,0,42,0,6,7,43,6,12,1,0,14,0,0,34,4,13,0,0,13,0
6.14457166666666,14.5845716666667,16.0320416666667,36.0120416666666,0.233463610633913,0.190016950348784,1.77790594877,4.06762198877,0,93,0,42,0,8,4,41,8,20,0,0,12,0,0,49,2,10,0,0,13,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
6.238425,15.718425,15.9444766666667,38.0844766666669,0.217481372337296,0.174549508054156,1.78024659546,4.32956535545995,0,105,0,44,0,9,3,41,1,6,0,0,15,0,0,58,3,17,0,0,10,0
7.25580333333333,20.5158033333333,18.0785466666667,49.4385466666666,0.197302364275595,0.17004828351211,2.03577409696,5.63085649696,0,151,0,53,0,12,1,50,1,9,0,0,10,0,0,33,1,9,0,0,12,0
5.57018666666667,9.41018666666667,15.159375,29.6793749999999,0.265116580773724,0.365877033012544,1.65843724193,3.10549972193,0,93,0,54,0,8,7,66,5,13,1,0,9,0,0,41,4,12,0,0,10,0
6.92328,17.78328,17.2106083333333,43.2106083333333,0.19546365056823,0.176902122607623,1.93953458517,4.90751282517,0,120,0,61,0,7,5,60,6,18,0,0,13,0,0,43,1,10,0,0,13,0
6.508135,16.148135,16.687715,40.447715,0.220008850822297,0.201530420198026,1.86123661473,4.54661533472999,0,92,0,44,0,4,6,58,3,10,0,0,18,0,0,37,1,10,0,0,9,0
6.22439666666666,13.4643966666667,16.250845,37.1308449999999,0.233960244323706,0.274759480067492,1.80178891019,4.04518555019,0,114,0,51,0,11,3,54,3,19,0,0,6,0,0,43,6,14,0,0,7,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
6.238425,15.718425,15.9444766666667,38.0844766666669,0.217481372337296,0.174549508054156,1.78024659546,4.32956535545995,0,105,0,44,0,9,3,41,1,6,0,0,15,0,0,58,3,17,0,0,10,0
7.25580333333333,20.5158033333333,18.0785466666667,49.4385466666666,0.197302364275595,0.17004828351211,2.03577409696,5.63085649696,0,151,0,53,0,12,1,50,1,9,0,0,10,0,0,33,1,9,0,0,12,0
5.57018666666667,9.41018666666667,15.159375,29.6793749999999,0.265116580773724,0.365877033012544,1.65843724193,3.10549972193,0,93,0,54,0,8,7,66,5,13,1,0,9,0,0,41,4,12,0,0,10,0
6.92328,17.78328,17.2106083333333,43.2106083333333,0.19546365056823,0.176902122607623,1.93953458517,4.90751282517,0,120,0,61,0,7,5,60,6,18,0,0,13,0,0,43,1,10,0,0,13,0
6.508135,16.148135,16.687715,40.447715,0.220008850822297,0.201530420198026,1.86123661473,4.54661533472999,0,92,0,44,0,4,6,58,3,10,0,0,18,0,0,37,1,10,0,0,9,0
6.22439666666666,13.4643966666667,16.250845,37.1308449999999,0.233960244323706,0.274759480067492,1.80178891019,4.04518555019,0,114,0,51,0,11,3,54,3,19,0,0,6,0,0,43,6,14,0,0,7,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
6.238425,15.718425,15.9444766666667,38.0844766666669,0.217481372337296,0.174549508054156,1.78024659546,4.32956535545995,0,105,0,44,0,9,3,41,1,6,0,0,15,0,0,58,3,17,0,0,10,0
7.25580333333333,20.5158033333333,18.0785466666667,49.4385466666666,0.197302364275595,0.17004828351211,2.03577409696,5.63085649696,0,151,0,53,0,12,1,50,1,9,0,0,10,0,0,33,1,9,0,0,12,0
5.57018666666667,9.41018666666667,15.159375,29.6793749999999,0.265116580773724,0.365877033012544,1.65843724193,3.10549972193,0,93,0,54,0,8,7,66,5,13,1,0,9,0,0,41,4,12,0,0,10,0
6.92328,17.78328,17.2106083333333,43.2106083333333,0.19546365056823,0.176902122607623,1.93953458517,4.90751282517,0,120,0,61,0,7,5,60,6,18,0,0,13,0,0,43,1,10,0,0,13,0
6.508135,16.148135,16.687715,40.447715,0.220008850822297,0.201530420198026,1.86123661473,4.54661533472999,0,92,0,44,0,4,6,58,3,10,0,0,18,0,0,37,1,10,0,0,9,0
6.22439666666666,13.4643966666667,16.250845,37.1308449999999,0.233960244323706,0.274759480067492,1.80178891019,4.04518555019,0,114,0,51,0,11,3,54,3,19,0,0,6,0,0,43,6,14,0,0,7,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
6.238425,15.718425,15.9444766666667,38.0844766666669,0.217481372337296,0.174549508054156,1.78024659546,4.32956535545995,0,105,0,44,0,9,3,41,1,6,0,0,15,0,0,58,3,17,0,0,10,0
7.25580333333333,20.5158033333333,18.0785466666667,49.4385466666666,0.197302364275595,0.17004828351211,2.03577409696,5.63085649696,0,151,0,53,0,12,1,50,1,9,0,0,10,0,0,33,1,9,0,0,12,0
5.57018666666667,9.41018666666667,15.159375,29.6793749999999,0.265116580773724,0.365877033012544,1.65843724193,3.10549972193,0,93,0,54,0,8,7,66,5,13,1,0,9,0,0,41,4,12,0,0,10,0
6.92328,17.78328,17.2106083333333,43.2106083333333,0.19546365056823,0.176902122607623,1.93953458517,4.90751282517,0,120,0,61,0,7,5,60,6,18,0,0,13,0,0,43,1,10,0,0,13,0
6.508135,16.148135,16.687715,40.447715,0.220008850822297,0.201530420198026,1.86123661473,4.54661533472999,0,92,0,44,0,4,6,58,3,10,0,0,18,0,0,37,1,10,0,0,9,0
6.22439666666666,13.4643966666667,16.250845,37.1308449999999,0.233960244323706,0.274759480067492,1.80178891019,4.04518555019,0,114,0,51,0,11,3,54,3,19,0,0,6,0,0,43,6,14,0,0,7,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
6.238425,15.718425,15.9444766666667,38.0844766666669,0.217481372337296,0.174549508054156,1.78024659546,4.32956535545995,0,105,0,44,0,9,3,41,1,6,0,0,15,0,0,58,3,17,0,0,10,0
7.25580333333333,20.5158033333333,18.0785466666667,49.4385466666666,0.197302364275595,0.17004828351211,2.03577409696,5.63085649696,0,151,0,53,0,12,1,50,1,9,0,0,10,0,0,33,1,9,0,0,12,0
5.57018666666667,9.41018666666667,15.159375,29.6793749999999,0.265116580773724,0.365877033012544,1.65843724193,3.10549972193,0,93,0,54,0,8,7,66,5,13,1,0,9,0,0,41,4,12,0,0,10,0
6.92328,17.78328,17.2106083333333,43.2106083333333,0.19546365056823,0.176902122607623,1.93953458517,4.90751282517,0,120,0,61,0,7,5,60,6,18,0,0,13,0,0,43,1,10,0,0,13,0
6.508135,16.148135,16.687715,40.447715,0.220008850822297,0.201530420198026,1.86123661473,4.54661533472999,0,92,0,44,0,4,6,58,3,10,0,0,18,0,0,37,1,10,0,0,9,0
6.22439666666666,13.4643966666667,16.250845,37.1308449999999,0.233960244323706,0.274759480067492,1.80178891019,4.04518555019,0,114,0,51,0,11,3,54,3,19,0,0,6,0,0,43,6,14,0,0,7,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
6.238425,15.718425,15.9444766666667,38.0844766666669,0.217481372337296,0.174549508054156,1.78024659546,4.32956535545995,0,105,0,44,0,9,3,41,1,6,0,0,15,0,0,58,3,17,0,0,10,0
7.25580333333333,20.5158033333333,18.0785466666667,49.4385466666666,0.197302364275595,0.17004828351211,2.03577409696,5.63085649696,0,151,0,53,0,12,1,50,1,9,0,0,10,0,0,33,1,9,0,0,12,0
5.57018666666667,9.41018666666667,15.159375,29.6793749999999,0.265116580773724,0.365877033012544,1.65843724193,3.10549972193,0,93,0,54,0,8,7,66,5,13,1,0,9,0,0,41,4,12,0,0,10,0
6.92328,17.78328,17.2106083333333,43.2106083333333,0.19546365056823,0.176902122607623,1.93953458517,4.90751282517,0,120,0,61,0,7,5,60,6,18,0,0,13,0,0,43,1,10,0,0,13,0
6.508135,16.148135,16.687715,40.447715,0.220008850822297,0.201530420198026,1.86123661473,4.54661533472999,0,92,0,44,0,4,6,58,3,10,0,0,18,0,0,37,1,10,0,0,9,0
6.22439666666666,13.4643966666667,16.250845,37.1308449999999,0.233960244323706,0.274759480067492,1.80178891019,4.04518555019,0,114,0,51,0,11,3,54,3,19,0,0,6,0,0,43,6,14,0,0,7,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
6.238425,15.718425,15.9444766666667,38.0844766666669,0.217481372337296,0.174549508054156,1.78024659546,4.32956535545995,0,105,0,44,0,9,3,41,1,6,0,0,15,0,0,58,3,17,0,0,10,0
7.25580333333333,20.5158033333333,18.0785466666667,49.4385466666666,0.197302364275595,0.17004828351211,2.03577409696,5.63085649696,0,151,0,53,0,12,1,50,1,9,0,0,10,0,0,33,1,9,0,0,12,0
5.57018666666667,9.41018666666667,15.159375,29.6793749999999,0.265116580773724,0.365877033012544,1.65843724193,3.10549972193,0,93,0,54,0,8,7,66,5,13,1,0,9,0,0,41,4,12,0,0,10,0
6.92328,17.78328,17.2106083333333,43.2106083333333,0.19546365056823,0.176902122607623,1.93953458517,4.90751282517,0,120,0,61,0,7,5,60,6,18,0,0,13,0,0,43,1,10,0,0,13,0
6.508135,16.148135,16.687715,40.447715,0.220008850822297,0.201530420198026,1.86123661473,4.54661533472999,0,92,0,44,0,4,6,58,3,10,0,0,18,0,0,37,1,10,0,0,9,0
6.22439666666666,13.4643966666667,16.250845,37.1308449999999,0.233960244323706,0.274759480067492,1.80178891019,4.04518555019,0,114,0,51,0,11,3,54,3,19,0,0,6,0,0,43,6,14,0,0,7,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
6.238425,15.718425,15.9444766666667,38.0844766666669,0.217481372337296,0.174549508054156,1.78024659546,4.32956535545995,0,105,0,44,0,9,3,41,1,6,0,0,15,0,0,58,3,17,0,0,10,0
7.25580333333333,20.5158033333333,18.0785466666667,49.4385466666666,0.197302364275595,0.17004828351211,2.03577409696,5.63085649696,0,151,0,53,0,12,1,50,1,9,0,0,10,0,0,33,1,9,0,0,12,0
5.57018666666667,9.41018666666667,15.159375,29.6793749999999,0.265116580773724,0.365877033012544,1.65843724193,3.10549972193,0,93,0,54,0,8,7,66,5,13,1,0,9,0,0,41,4,12,0,0,10,0
6.92328,17.78328,17.2106083333333,43.2106083333333,0.19546365056823,0.176902122607623,1.93953458517,4.90751282517,0,120,0,61,0,7,5,60,6,18,0,0,13,0,0,43,1,10,0,0,13,0
6.508135,16.148135,16.687715,40.447715,0.220008850822297,0.201530420198026,1.86123661473,4.54661533472999,0,92,0,44,0,4,6,58,3,10,0,0,18,0,0,37,1,10,0,0,9,0
6.22439666666666,13.4643966666667,16.250845,37.1308449999999,0.233960244323706,0.274759480067492,1.80178891019,4.04518555019,0,114,0,51,0,11,3,54,3,19,0,0,6,0,0,43,6,14,0,0,7,0
7.12964666666667,21.5696466666667,18.12115,52.5011500000004,0.213113222210879,0.178317173369853,2.02702186322,5.95914430321996,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0
7.14240833333333,21.5824083333333,17.7008333333333,49.7608333333337,0.192986205922509,0.132554385142264,1.9968539548,5.75579767479996,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0
5.76295333333333,12.1029533333333,14.8922416666667,27.9522416666666,0.226046224292403,0.134026281136069,1.65672944953,3.23126876953,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0
6.24881833333333,14.6888183333333,16.1667533333333,38.9467533333336,0.226954453440043,0.245697416284421,1.79782170256,4.29654654255996,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0
