Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
5.90948333333333,15.9754833333333,15.3349016666667,35.916901666667,0.229276657680992,0.110419741569209,1.70363164141,4.19207815740997,0,68,3,41,0,2,7,35,7,8,0,0,19,0,0,21,5,9,1,0,18,0
6.59636,17.67586,16.7096016666667,41.3416016666668,0.210470706413209,0.144887508591527,1.87121504025,4.75783874025005,0,88,1,49,0,2,7,39,6,9,1,0,16,0,0,13,1,4,0,0,8,0
6.21186333333333,13.6943633333333,16.2382166666666,38.2569666666668,0.234908184704191,0.284085251575094,1.79966080282,4.15099719532004,0,58,1,29,0,5,10,48,4,12,0,0,12,0,0,26,3,3,1,0,12,0
5.82892166666667,12.7011716666667,15.911975,37.3482250000004,0.267354094426787,0.319851389635429,1.73908801277,3.98922322426999,0,84,3,23,0,3,11,42,6,8,1,0,14,0,0,20,6,9,0,0,8,0
6.24012333333333,16.0636233333333,16.44541,42.0989100000005,0.241110640192816,0.236862743793921,1.81779990022,4.66187698521996,0,54,1,20,0,9,6,39,1,6,0,0,13,0,0,23,5,9,0,0,6,0
6.52934166666667,15.1710916666667,16.522715,40.8154650000002,0.209652691259679,0.256600817035079,1.85092583609,4.48165373458997,0,81,1,48,0,3,11,43,4,11,0,0,9,0,0,15,3,5,0,0,13,0
5.39857333333333,12.2963233333333,15.4187566666667,34.2582566666668,0.299739473156829,0.282139575695475,1.6615671703,3.7202772733,0,45,1,16,0,1,9,26,5,12,0,0,11,0,0,11,11,7,0,0,16,0
5.34392166666666,9.23867166666667,15.476,30.23125,0.309392392521754,0.388799889738819,1.66067098292,3.13047240842,0,51,3,29,0,3,1,40,4,9,0,0,8,0,0,16,9,9,0,0,14,0
5.71550499999999,13.693005,15.0233583333333,31.3156083333333,0.239117529757828,0.125483697825871,1.66202893107,3.63272408457001,0,70,3,44,0,2,8,35,5,5,1,0,17,0,0,22,7,5,1,0,18,0
5.53431333333334,9.63206333333334,15.1094766666667,29.6024766666667,0.267438117755236,0.349239359814826,1.65131948758,3.12074555157999,0,77,3,21,0,0,10,29,7,15,0,0,12,0,0,18,7,10,1,0,17,0
5.48814,11.38739,15.8027616666667,35.0897616666667,0.305420139117034,0.350956549196663,1.69870318113,3.69637524513,0,57,0,28,0,3,6,44,2,5,0,0,3,0,0,22,10,11,0,0,22,0
6.336355,14.926605,15.8506633333333,35.7429133333334,0.200493396806316,0.164779610391766,1.7825064165,4.07988351599999,0,53,2,25,0,3,7,56,4,7,1,0,10,0,0,18,6,9,0,0,11,0
6.12526333333333,15.9845133333333,16.621845,43.8033450000004,0.262986349188873,0.270169283494978,1.82010614899,4.78162369998996,0,84,3,26,0,4,9,50,5,9,0,0,13,0,0,20,3,8,0,0,14,0
6.41219833333333,15.0854483333333,17.043915,40.7889150000002,0.247567435846361,0.260316273020092,1.87875144625,4.47157139425005,0,79,2,42,0,3,6,45,4,12,0,0,11,0,0,26,6,6,0,0,10,0
7.21766833333334,18.3136683333333,16.97337,42.65412,0.149530313269158,0.141294283725308,1.94967011866,4.91613944716001,0,74,1,19,0,2,8,62,2,15,0,0,11,0,0,18,6,17,0,0,3,0
5.86658833333333,13.9453383333333,15.8635683333333,38.3323183333337,0.260369645711279,0.272397864795637,1.73903731273,4.18036011522997,0,60,1,16,0,4,3,39,6,9,1,0,10,0,0,16,9,8,0,0,14,0
5.92685666666667,13.4423566666667,15.835235,36.2127350000002,0.25143432772969,0.257589537676916,1.74262276277,3.97456767976998,0,69,1,20,0,3,12,46,1,6,0,0,6,0,0,19,7,8,0,0,8,0
5.478115,11.651615,16.0552666666667,38.743016666667,0.317592773295575,0.398517926456424,1.71660346476,3.99406757526,0,55,1,49,0,1,10,30,5,5,0,0,6,0,0,14,4,7,0,0,14,0
5.26196166666667,9.07796166666667,15.1031566666667,30.5926566666666,0.303197102062769,0.406526751463341,1.62508761482,3.14224937582,0,57,2,41,0,3,4,47,4,10,0,0,8,0,0,21,5,5,0,0,10,0
6.33019,17.35244,16.9551716666667,45.6591716666671,0.253302753348708,0.239914375728016,1.86437043519,5.04953771318997,0,65,5,23,0,3,5,38,2,3,1,0,7,0,0,28,6,12,0,0,12,0
5.96769333333334,15.7984433333333,16.5694166666667,43.2629166666671,0.279673696016255,0.269654265103871,1.80128898274,4.72368364173997,0,61,2,25,0,1,7,35,3,6,0,0,7,0,0,28,9,8,0,0,15,0
5.74251166666666,13.0987616666667,15.454425,32.6789250000002,0.256845639140031,0.198335828570452,1.69676073203,3.67828430903,0,57,2,22,0,3,5,45,2,11,0,0,8,0,0,31,5,4,0,0,12,0
5.51324166666667,9.35524166666666,15.1958533333333,30.5306033333334,0.274375509459159,0.387156449905292,1.65577411772,3.16384359421999,0,62,2,24,0,1,8,42,5,15,0,0,6,0,0,14,5,4,0,0,13,0
6.46672333333333,16.3239733333333,17.382165,48.1874150000003,0.25593580162962,0.322479807919419,1.90915764835,5.14098447384996,0,45,2,28,0,1,6,39,8,12,0,0,12,0,0,16,4,4,0,0,16,0
6.25094,15.41819,16.92149,41.24749,0.261183264594312,0.252405903971369,1.8543604515,4.53727422150001,0,60,3,26,0,4,9,41,6,7,0,0,9,0,0,21,6,11,0,0,15,0
6.43876333333333,18.5892633333333,16.7764616666667,41.7042116666667,0.232405085021405,0.108518656009444,1.86129974869,4.87129946719,0,59,0,38,0,2,5,45,2,10,0,0,12,0,0,23,10,10,0,0,4,0
5.874345,14.521595,15.3936433333334,32.0941433333333,0.236783018445059,0.0950626194208019,1.70469294774,3.76920996474,0,57,1,50,0,2,8,43,5,8,0,0,15,0,0,24,7,3,0,0,7,0
5.91818833333333,14.5859383333333,15.9485766666667,34.1130766666668,0.25784119084399,0.144847679623933,1.75026337918,3.92600111218,0,58,0,13,0,5,7,36,3,7,1,0,9,0,0,22,7,9,0,0,13,0
6.01804333333334,13.4865433333333,16.5983283333333,41.6303283333336,0.274861514668596,0.352080856756794,1.80820942741,4.38314870340995,0,65,3,42,0,3,15,45,1,7,1,0,12,0,0,16,2,4,1,0,19,0
5.565865,9.874115,15.534085,35.2778350000003,0.283399698147653,0.440208561551467,1.68599908407,3.56728256457,0,64,2,41,0,0,8,29,4,6,0,0,11,0,0,18,3,9,0,0,8,0
6.12173166666666,14.7637316666667,16.09992,36.8374199999999,0.239532660203695,0.198438345211653,1.78081249628,4.14617884928,0,59,2,42,0,2,7,37,4,10,1,0,9,0,0,18,11,6,0,0,12,0
5.98881666666667,14.6258166666667,15.4695633333333,34.9488133333336,0.225729060656528,0.163014976951054,1.72118726018,3.99215736368,0,87,2,31,0,7,6,57,5,14,0,0,9,0,0,19,8,12,0,0,6,0
6.2559,14.94515,16.5432666666667,39.2640166666668,0.243692297772709,0.238735551338143,1.8265967292,4.34447385570006,0,71,2,21,0,3,13,57,9,10,0,0,4,0,0,19,7,6,0,0,11,0
6.35391166666667,17.3911616666667,16.247275,40.9077750000005,0.217848941848197,0.149738079537855,1.81377247073,4.69852740772995,0,62,2,17,0,1,10,35,7,12,1,0,14,0,0,14,9,11,0,0,12,0
6.51533333333333,15.1470833333333,16.0694333333333,35.9531833333334,0.189102291514117,0.157399599757277,1.8157652086,4.11643305310001,0,52,2,28,0,2,6,30,8,20,0,0,13,0,0,26,2,6,0,0,13,0
6.27827333333333,17.0795233333333,17.3637733333333,46.6802733333338,0.276853802130566,0.268233790690457,1.8899604292,5.09994531819997,0,58,1,16,0,1,4,33,1,9,0,0,13,0,0,12,8,7,0,0,20,0
8.16568999999999,26.44144,18.9296383333334,58.8391383333338,0.137258741428675,0.101229530242101,2.18536540599,6.89304348098997,0,54,1,18,0,4,7,41,2,9,0,0,9,0,0,13,5,12,0,0,18,0
5.544665,13.041165,15.19184,30.4995900000001,0.270046946255358,0.144830143618324,1.658446683,3.51015794549999,0,60,1,53,0,4,4,46,6,9,0,0,12,0,0,19,5,9,0,0,9,0
6.18672,14.94222,16.0772433333333,39.8179933333337,0.230375522503547,0.249473981528284,1.78526663034,4.38554886683996,0,65,2,22,0,3,6,59,3,9,0,0,16,0,0,13,6,4,0,0,12,0
6.24170666666667,15.9577066666667,16.2150266666667,40.6145266666671,0.230133037092343,0.214187239081452,1.80075246392,4.54105568491995,0,68,0,25,0,4,4,34,2,5,0,0,14,0,0,31,4,10,0,0,11,0
6.02773166666666,14.7534816666667,16.8173483333333,41.6168483333336,0.283153140769616,0.290985153488918,1.82547475565,4.50197457065005,0,80,0,21,0,1,6,38,3,9,0,0,10,0,0,12,6,4,0,0,13,0
5.31689166666666,9.37389166666666,15.5772533333333,30.6165033333333,0.317351839519847,0.387657593382915,1.66567253372,3.17201967722001,0,56,2,38,0,0,14,52,5,10,1,0,8,0,0,16,5,9,0,0,9,0
6.07520666666667,13.5617066666667,15.5436583333333,31.9766583333335,0.218304142257373,0.151774614764572,1.73488926731,3.66965010130999,0,67,2,30,0,3,11,40,7,15,0,0,11,0,0,16,2,5,0,0,8,0
5.48954333333333,10.5162933333333,14.9382716666667,28.8970216666666,0.265036350144478,0.27215382577201,1.63430519347,3.15172016797,0,44,1,20,0,0,8,46,4,9,0,0,16,0,0,17,4,8,0,0,12,0
5.99673833333333,13.4897383333333,15.8792116666667,34.6049616666667,0.244705787766332,0.220358140357233,1.75251513259,3.85903537909,0,64,2,27,0,2,5,45,4,13,0,0,6,0,0,17,9,10,0,0,5,0
6.27827333333333,17.0795233333333,17.3637733333333,46.6802733333338,0.276853802130566,0.268233790690457,1.8899604292,5.09994531819997,0,58,1,16,0,1,4,33,1,9,0,0,13,0,0,12,8,7,0,0,20,0
