Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
240,0,0,0,1
300,0,0,0,1
180,0,0,57,1
240,0,0,56,1
180,0,30,56,1
240,0,0,57,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,56,1
240,0,0,0,1
230,0,0,23,1
240,0,0,48,1
180,0,0,49,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,17,49,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,11,43,1
180,0,0,0,1
240,0,55,58,1
229,0,0,35,1
180,0,0,0,1
180,0,0,30,1
180,0,0,0,1
180,0,0,46,1
180,0,0,0,1
240,0,0,0,1
180,0,39,57,1
300,0,0,0,1
180,0,0,0,1
229,0,0,38,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,46,1
180,0,0,0,1
240,0,0,0,1
180,0,39,57,1
300,0,0,0,1
180,0,0,0,1
229,0,0,38,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,46,1
180,0,0,0,1
240,0,0,0,1
180,0,39,57,1
300,0,0,0,1
180,0,0,0,1
229,0,0,38,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,46,1
180,0,0,0,1
240,0,0,0,1
180,0,39,57,1
300,0,0,0,1
180,0,0,0,1
229,0,0,38,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,46,1
180,0,0,0,1
240,0,0,0,1
180,0,39,57,1
300,0,0,0,1
180,0,0,0,1
229,0,0,38,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,46,1
180,0,0,0,1
240,0,0,0,1
180,0,39,57,1
300,0,0,0,1
180,0,0,0,1
229,0,0,38,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,46,1
180,0,0,0,1
240,0,0,0,1
180,0,39,57,1
41,0,0,0,2
75,0,0,0,2
218,0,0,0,2
82,0,0,56,2
157,0,30,0,2
97,0,0,57,2
150,0,0,0,2
200,0,0,0,2
38,0,0,0,2
157,0,0,0,2
180,0,0,0,2
139,0,0,0,2
144,0,0,0,2
121,0,0,0,2
169,0,0,0,2
180,0,0,0,2
239,0,0,0,2
37,0,0,0,2
102,0,0,0,2
148,0,0,0,2
