Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
6.41216,6.56841,14.02824,14.47874,0.0858211721498921,0.0926820980278673,1.65363974448,1.70204651748,0,60,4,36,0,2,9,25,9,9,0,0,24,0,0,10,5,5,1,0,27,0
6.41216,6.62141,14.02824,14.5532399999999,0.0858211721498921,0.0900431793882326,1.65363974448,1.71262059647999,0,74,2,33,0,2,11,25,7,7,1,0,19,0,0,9,3,7,0,0,7,0
6.41216,6.61591,14.02824,14.6042399999999,0.0858211721498921,0.0939740787606889,1.65363974448,1.71590733047999,0,51,4,33,0,5,8,32,9,12,0,0,12,0,0,15,2,3,1,0,6,0
6.41216,6.63116,14.02824,14.52399,0.0858211721498921,0.0868680025254771,1.65363974448,1.71135939498,0,76,3,23,0,2,13,33,4,9,1,0,17,0,0,15,6,6,0,0,14,0
6.41216,6.57816,14.02824,14.46599,0.0858211721498921,0.0905344190062349,1.65363974448,1.70201697498,0,44,2,37,0,5,6,28,3,7,0,0,11,0,0,14,5,7,0,0,17,0
6.41216,6.63691,14.02824,14.50849,0.0858211721498921,0.0850998277560246,1.65363974448,1.71074623998,0,75,2,20,0,2,9,33,6,7,0,0,14,0,0,9,10,5,0,0,18,0
6.41216,6.58441,14.02824,14.46549,0.0858211721498921,0.0896388577227598,1.65363974448,1.70257080198,0,46,0,24,0,2,12,29,6,11,0,0,13,0,0,8,6,6,0,0,21,0
6.41216,6.63841,14.02824,14.56074,0.0858211721498921,0.0881768371662432,1.65363974448,1.71478836948,0,47,4,18,0,4,3,29,5,13,0,0,12,0,0,9,13,10,0,0,11,0
6.41216,6.60091,14.02824,14.49399,0.0858211721498921,0.0891521244322649,1.65363974448,1.70625884898,0,67,2,28,0,3,8,39,4,6,1,0,17,0,0,13,6,5,0,0,16,0
6.41216,6.63116,14.02824,14.5354899999999,0.0858211721498921,0.0875904424274657,1.65363974448,1.71221782397999,0,53,2,17,0,5,8,38,5,6,0,0,10,0,0,12,5,2,0,0,18,0
6.41216,6.58716,14.02824,14.5619899999999,0.0858211721498921,0.0952939811110984,1.65363974448,1.71003424697999,0,62,1,24,0,3,9,28,8,8,0,0,16,0,0,6,5,6,0,0,20,0
6.41216,6.57391,14.02824,14.55449,0.0858211721498921,0.0966485256439767,1.65363974448,1.70822116398,0,39,1,20,0,3,6,38,5,2,1,0,9,0,0,14,7,8,0,0,19,0
6.41216,6.62416,14.02824,14.54649,0.0858211721498921,0.0892428345257174,1.65363974448,1.71237684198,0,55,1,15,0,1,11,28,1,4,1,0,9,0,0,16,12,7,1,0,18,0
6.41216,6.60991,14.02824,14.50874,0.0858211721498921,0.0888374869216764,1.65363974448,1.70821113348,0,46,2,27,0,1,11,32,2,6,0,0,14,0,0,19,7,7,0,0,20,0
6.41216,6.57816,14.02824,14.47874,0.0858211721498921,0.0913352957508737,1.65363974448,1.70296871148,0,50,1,36,0,0,7,40,4,8,0,0,16,0,0,7,9,9,0,0,16,0
6.41216,6.61841,14.02824,14.50874,0.0858211721498921,0.0876657793853914,1.65363974448,1.70901509748,0,58,2,45,0,2,12,36,5,6,0,0,7,0,0,14,7,9,0,0,8,0
6.41216,6.61891,14.02824,14.56524,0.0858211721498921,0.0911361570423833,1.65363974448,1.71327988848,0,63,3,21,0,4,14,38,4,8,0,0,16,0,0,14,4,7,1,0,16,0
6.41216,6.62066,14.02824,14.52874,0.0858211721498921,0.0886119512084326,1.65363974448,1.71072083148,0,64,2,12,0,1,12,37,9,10,2,0,13,0,0,17,10,3,0,0,25,0
6.41216,6.61441,14.02824,14.55224,0.0858211721498921,0.0909427002303429,1.65363974448,1.71188386248,0,74,3,31,0,2,10,32,2,8,0,0,8,0,0,11,7,8,0,0,12,0
6.41216,6.59566,14.02824,14.52374,0.0858211721498921,0.0917408325954613,1.65363974448,1.70798300148,0,49,1,27,0,0,12,29,8,7,1,0,10,0,0,18,6,6,0,0,14,0
6.41216,6.60741,14.02824,14.46424,0.0858211721498921,0.086379927324215,1.65363974448,1.70465292648,0,46,2,27,0,1,7,29,3,7,0,0,11,0,0,14,7,10,0,0,13,0
6.41216,6.62116,14.02824,14.57549,0.0858211721498921,0.0914665647604302,1.65363974448,1.71425782398,0,54,1,15,0,3,4,44,2,7,0,0,6,0,0,13,12,7,0,0,14,0
6.41216,6.59891,14.02824,14.52449,0.0858211721498921,0.0913402122897261,1.65363974448,1.70834638398,0,54,3,20,0,5,5,48,3,9,0,0,6,0,0,15,4,7,0,0,20,0
6.41216,6.63591,14.02824,14.6079899999999,0.0858211721498921,0.0914684361092802,1.65363974448,1.71807893298,0,71,1,35,0,0,13,40,4,12,0,0,12,0,0,12,6,6,0,0,8,0
6.41216,6.59466,14.02824,14.46274,0.0858211721498921,0.0880483227936064,1.65363974448,1.70333501148,0,47,2,29,0,4,13,25,5,8,0,0,11,0,0,20,4,10,0,0,19,0
6.41216,6.62591,14.02824,14.49349,0.0858211721498921,0.0856708770627367,1.65363974448,1.70858612598,0,41,2,20,0,5,6,28,8,10,0,0,15,0,0,16,10,7,0,0,26,0
6.41216,6.61791,14.02824,14.4652399999999,0.0858211721498921,0.0849913309423144,1.65363974448,1.70572070448,0,46,2,35,0,2,9,31,5,9,1,0,14,0,0,8,5,7,0,0,13,0
6.41216,6.63791,14.02824,14.5744899999999,0.0858211721498921,0.089105690833779,1.65363974448,1.71576745997999,0,44,1,19,0,0,11,36,5,9,0,0,13,0,0,13,4,6,0,0,13,0
6.41216,6.58816,14.02824,14.53674,0.0858211721498921,0.093584944079622,1.65363974448,1.70824401948,0,77,2,32,0,1,13,27,4,5,1,0,6,0,0,11,10,9,0,0,12,0
6.41216,6.62441,14.02824,14.50824,0.0858211721498921,0.086807221275634,1.65363974448,1.70954527848,0,66,4,36,0,1,14,37,9,14,0,0,14,0,0,16,6,6,0,0,13,0
6.41216,6.62566,14.02824,14.53699,0.0858211721498921,0.0884412797972624,1.65363974448,1.71180958098,0,69,5,31,0,3,11,25,6,6,0,0,13,0,0,10,5,5,0,0,20,0
6.41216,6.61166,14.02824,14.5174899999999,0.0858211721498921,0.0891455754403828,1.65363974448,1.70902980798,0,72,0,31,0,0,9,33,4,4,1,0,11,0,0,17,7,2,0,0,13,0
6.41216,6.55941,14.02824,14.43174,0.0858211721498921,0.0909744770900809,1.65363974448,1.69768689948,0,32,0,43,0,3,11,27,5,9,0,0,11,0,0,13,5,7,0,0,13,0
6.41216,6.64641,14.02824,14.5839899999999,0.0858211721498921,0.0885333848967262,1.65363974448,1.71728056097999,0,70,2,10,0,3,12,46,3,6,0,0,8,0,0,18,6,4,1,0,11,0
6.41216,6.60841,14.02824,14.50349,0.0858211721498921,0.0887145094042884,1.65363974448,1.70767736598,0,56,4,28,0,2,15,34,5,5,0,0,13,0,0,11,7,7,1,0,7,0
6.41216,6.57766,14.02824,14.49824,0.0858211721498921,0.0926264153442075,1.65363974448,1.70437701648,0,55,2,51,0,4,11,36,3,5,0,0,15,0,0,11,6,4,1,0,16,0
6.41216,6.63841,14.02824,14.6047399999999,0.0858211721498921,0.0909239055265621,1.65363974448,1.71807279347999,0,53,2,27,0,0,9,45,8,7,0,0,9,0,0,18,10,4,2,0,15,0
6.41216,6.58191,14.02824,14.47799,0.0858211721498921,0.0907701966916682,1.65363974448,1.70326741698,0,63,1,25,0,2,11,26,7,7,0,0,8,0,0,13,12,11,0,0,22,0
6.41216,6.59516,14.02824,14.52599,0.0858211721498921,0.0919503593214648,1.65363974448,1.70810366298,0,57,2,25,0,4,12,45,4,6,0,0,23,0,0,9,6,5,1,0,12,0
6.41216,6.59641,14.02824,14.5744899999999,0.0858211721498921,0.0948005727816207,1.65363974448,1.71184222398,0,72,3,35,0,2,7,20,6,8,0,0,14,0,0,11,5,7,0,0,15,0
6.41216,6.65791,14.02824,14.58624,0.0858211721498921,0.0870971545785621,1.65363974448,1.71853623048,0,53,3,27,0,6,12,23,5,7,1,0,14,0,0,18,7,7,0,0,11,0
6.41216,6.61891,14.02824,14.53724,0.0858211721498921,0.0893856055207181,1.65363974448,1.71118980048,0,53,4,35,0,2,6,21,6,7,0,0,18,0,0,13,8,3,0,0,16,0
6.41216,6.65766,14.02824,14.6709899999999,0.0858211721498921,0.0924048070375622,1.65363974448,1.72483883298,0,64,1,23,0,4,9,28,4,7,0,0,16,0,0,14,11,6,0,0,11,0
6.41216,6.61516,14.02824,14.52374,0.0858211721498921,0.0890555738397964,1.65363974448,1.70982738948,0,56,5,34,0,2,12,34,6,4,0,0,13,0,0,8,5,4,1,0,8,0
6.41216,6.61016,14.02824,14.48749,0.0858211721498921,0.0874664969570301,1.65363974448,1.70664855198,0,55,2,26,0,4,15,34,3,5,0,0,9,0,0,19,8,7,0,0,20,0
6.41216,6.60741,14.02824,14.50024,0.0858211721498921,0.0886481878920628,1.65363974448,1.70734018248,0,46,3,20,0,0,12,46,9,9,1,0,14,0,0,17,6,5,1,0,16,0
