Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
229,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
227,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
230,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
227,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
228,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
229,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
228,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
11,0,0,0,2
89,0,0,0,2
121,0,0,0,2
80,0,0,0,2
0,0,0,0,2
203,0,0,0,2
19,0,0,0,2
200,0,0,0,2
54,0,0,0,2
126,0,0,0,2
36,0,0,0,2
24,0,0,0,2
129,0,0,0,2
42,0,0,0,2
22,0,0,0,2
59,0,0,0,2
64,0,0,0,2
89,0,0,0,2
101,0,0,0,2
70,0,0,0,2
