Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
180,0,0,0,1
240,0,0,0,1
300,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,56,1
240,0,0,56,1
180,0,53,58,1
240,0,0,57,1
240,0,0,0,1
300,0,0,0,1
180,0,0,56,1
240,0,0,56,1
180,0,53,58,1
240,0,0,57,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
229,0,0,33,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,59,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,30,1
180,0,0,9,1
240,0,33,57,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,21,1
240,0,0,0,1
240,0,20,57,1
240,0,0,0,1
180,0,0,55,1
240,0,0,0,1
180,0,0,0,1
180,0,0,50,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,7,55,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,5,47,1
180,0,0,0,1
180,0,0,0,1
180,0,0,47,1
180,0,0,0,1
180,0,0,57,1
180,0,0,59,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,57,1
180,0,0,0,1
228,0,0,81,1
180,0,0,39,1
180,0,0,31,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,7,56,1
180,0,0,57,1
227,0,0,31,1
180,0,0,0,1
180,0,0,0,1
180,0,31,48,1
240,0,0,0,1
180,0,0,42,1
180,0,22,58,1
180,0,0,0,1
180,0,0,57,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,20,1
180,0,0,0,1
180,0,0,0,1
300,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
227,0,0,13,1
300,0,0,0,1
178,0,0,0,2
41,0,0,0,2
84,0,0,0,2
41,0,0,0,2
84,0,0,0,2
97,0,0,56,2
80,0,0,0,2
57,0,53,0,2
203,0,0,57,2
41,0,0,0,2
84,0,0,0,2
97,0,0,56,2
80,0,0,0,2
57,0,53,0,2
203,0,0,57,2
19,0,0,0,2
200,0,0,0,2
93,0,0,0,2
110,0,0,0,2
35,0,0,0,2
98,0,0,0,2
166,0,0,0,2
72,0,0,0,2
113,0,0,0,2
53,0,0,59,2
67,0,0,0,2
122,0,0,0,2
170,0,0,0,2
70,0,0,0,2
180,0,0,30,2
170,0,0,9,2
46,0,33,0,2
102,0,0,0,2
61,0,0,0,2
163,0,0,0,2
76,0,0,0,2
240,0,0,0,2
55,0,0,21,2
135,0,0,0,2
67,0,20,0,2
19,0,0,0,2
0,0,0,0,2
180,0,0,0,2
114,0,0,0,2
97,0,0,51,2
155,0,0,0,2
29,0,0,0,2
107,0,0,0,2
128,0,7,0,2
171,0,0,0,2
90,0,0,0,2
20,0,0,0,2
169,0,0,0,2
85,0,0,0,2
139,0,0,0,2
124,0,5,0,2
26,0,0,0,2
29,0,0,0,2
85,0,0,47,2
73,0,0,0,2
0,0,0,0,2
86,0,0,59,2
37,0,0,0,2
196,0,0,0,2
111,0,0,0,2
171,0,0,57,2
128,0,0,0,2
42,0,0,0,2
85,0,0,39,2
180,0,0,31,2
137,0,0,0,2
166,0,0,0,2
68,0,0,0,2
114,0,7,0,2
147,0,0,0,2
143,0,0,0,2
124,0,0,0,2
225,0,0,0,2
180,0,31,5,2
111,0,0,0,2
166,0,0,42,2
154,0,22,0,2
0,0,0,0,2
177,0,0,32,2
44,0,0,0,2
180,0,0,0,2
166,0,0,0,2
172,0,0,0,2
112,0,0,0,2
180,0,0,0,2
147,0,0,0,2
167,0,0,20,2
175,0,0,0,2
86,0,0,0,2
119,0,0,0,2
99,0,0,0,2
112,0,0,0,2
24,0,0,0,2
240,0,0,0,2
56,0,0,0,2
202,0,0,0,3
180,0,0,0,3
180,0,0,0,3
180,0,0,0,3
180,0,0,0,3
196,0,0,56,3
240,0,0,14,3
176,0,53,11,3
95,0,0,57,3
180,0,0,0,3
180,0,0,0,3
196,0,0,56,3
240,0,0,14,3
176,0,53,11,3
95,0,0,57,3
240,0,0,0,3
240,0,0,0,3
180,0,0,0,3
300,0,0,0,3
240,0,47,0,3
180,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
227,0,0,59,3
180,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
174,0,0,30,3
180,0,0,9,3
180,0,33,44,3
180,0,0,0,3
180,0,0,0,3
236,0,0,0,3
203,0,0,0,3
180,0,0,0,3
180,0,0,21,3
180,0,0,0,3
240,0,20,55,3
180,0,0,0,3
180,0,0,39,3
240,0,0,0,3
180,0,0,0,3
180,0,0,52,3
180,0,0,0,3
180,0,0,0,3
180,0,0,0,3
180,0,7,33,3
180,0,0,0,3
240,0,0,0,3
240,0,0,0,3
240,0,0,0,3
180,0,0,0,3
240,0,0,0,3
240,0,5,57,3
180,0,0,0,3
158,0,0,0,3
229,0,0,34,3
300,0,0,0,3
180,0,0,11,3
180,0,0,59,3
180,0,0,0,3
180,0,0,0,3
188,0,0,0,3
180,0,0,57,3
180,0,0,0,3
180,0,0,33,3
180,0,0,39,3
180,0,0,31,3
180,0,0,0,3
240,0,0,0,3
240,0,0,0,3
180,0,7,0,3
143,0,0,21,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,31,0,3
180,0,0,0,3
180,0,0,42,3
180,0,22,24,3
180,0,0,0,3
180,0,0,51,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
240,0,0,0,3
213,0,0,0,3
177,0,0,0,3
180,0,0,0,3
180,0,0,20,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
176,0,0,0,3
158,0,0,0,3
176,0,0,0,3
240,0,0,0,3
180,0,0,0,3
51,0,0,0,4
48,0,0,0,4
23,0,0,0,4
48,0,0,0,4
23,0,0,0,4
33,0,0,56,4
12,0,0,40,4
10,0,53,0,4
53,0,0,57,4
48,0,0,0,4
23,0,0,0,4
33,0,0,56,4
12,0,0,40,4
10,0,53,0,4
53,0,0,57,4
78,0,0,0,4
66,0,0,0,4
12,0,0,0,4
28,0,0,0,4
26,0,0,0,4
0,0,0,0,4
23,0,0,0,4
91,0,0,0,4
46,0,0,30,4
