Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
8.521875,16.961875,17.9763533333333,40.2963533333333,0.0518794505225939,0.158143425054343,2.14789589592,4.61228357592001,0,105,0,37,0,5,5,33,4,8,0,0,20,0,0,49,4,7,0,0,5,0
8.29303666666666,15.5330366666667,17.6576116666667,37.8976116666666,0.0606842167310854,0.180263030647446,2.10245866055,4.29808186055,0,124,0,43,0,7,9,32,4,5,0,0,10,0,0,37,4,7,1,0,14,0
8.22716333333334,15.4671633333333,17.8228383333333,38.7028383333334,0.0767841597994633,0.200722014229533,2.10856160695,4.35195824695,0,93,0,37,0,5,3,24,6,5,0,0,11,0,0,36,6,11,0,0,29,0
8.25534333333333,15.8353433333334,18.1181866666667,43.1981866666671,0.0887230068645573,0.266851478950968,2.13327355576,4.72234195575996,0,112,0,33,0,6,4,32,3,8,0,0,11,0,0,48,2,7,0,0,30,0
8.18391166666666,15.4239116666666,17.3008666666667,35.4808666666666,0.0539304389375484,0.130578640506715,2.06550759428,4.10736003428,0,112,1,28,0,9,7,41,3,6,0,0,17,0,0,31,3,9,1,0,9,0
8.875605,24.235605,17.84918,43.8691800000004,0.00548876755122661,-0.104903488052432,2.1718601136,5.56695927359996,0,116,1,38,0,4,3,38,6,7,0,0,26,0,0,36,6,5,1,0,23,0
8.334155,16.774155,17.2739766666667,35.2739766666666,0.0350623761021642,0.0489218066614362,2.07771097878,4.21962793878001,0,132,1,44,0,7,7,35,5,7,1,0,17,0,0,28,2,10,0,0,8,0
8.330735,15.570735,17.863045,39.263045,0.0672659672525032,0.206850360179655,2.12135909631,4.40357165631,0,76,0,46,0,10,5,38,5,10,0,0,12,0,0,40,2,3,1,0,10,0
8.08646666666667,15.6064666666667,17.394595,39.1745950000005,0.0702322570124033,0.203235328065719,2.06328730157,4.40034886156995,0,127,2,32,0,6,6,46,4,7,1,0,17,0,0,41,3,7,0,0,10,0
8.47122333333333,18.0912233333333,17.79413,41.7541300000005,0.0478631623649673,0.133440292812551,2.12950281574,4.82791905573996,0,83,1,36,0,14,3,33,2,8,0,0,13,0,0,42,2,8,1,0,15,0
8.52072333333333,16.9607233333333,18.0379566666667,42.397956666667,0.0552451709700302,0.199927323541614,2.1523854091,4.76905092909997,0,119,1,50,0,3,6,45,5,8,0,0,15,0,0,35,5,8,0,0,16,0
7.70225333333333,14.3422533333333,16.77341,35.2934100000002,0.0816115109171799,0.187256015594224,1.98057789214,3.99105957214,0,68,0,26,0,7,6,35,5,11,0,0,14,0,0,30,7,7,0,0,20,0
7.46959666666667,11.0895966666667,16.559055,31.1390549999999,0.0978233158031463,0.287737109127642,1.94257155065,3.37330431065,0,74,3,49,0,8,2,39,4,11,0,0,15,0,0,32,8,13,0,0,14,0
