Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
7.891975,17.951725,16.6838366666667,37.2595866666671,0.05393763345002,0.0363969863326452,1.99183623522,4.47922506371995,0,52,4,33,0,2,8,29,9,8,0,0,26,0,0,14,8,3,1,0,24,0
8.15479833333334,16.8017983333333,17.5496933333333,39.7491933333335,0.0706620134672817,0.154609343015598,2.08132785412,4.55629957912006,0,61,2,34,0,0,8,34,7,8,1,0,20,0,0,8,5,10,0,0,8,0
8.34719666666667,15.7881966666667,17.7335216666666,39.7107716666668,0.0585968400899501,0.204840600973799,2.11324770785,4.45756105535006,0,43,4,30,0,3,6,40,8,11,0,0,13,0,0,14,2,3,1,0,10,0
7.780655,14.774405,17.3776533333333,38.9354033333338,0.104521784299223,0.241081189090888,2.03309778324,4.30379443973995,0,65,3,16,0,2,15,40,5,7,1,0,17,0,0,18,6,6,0,0,10,0
8.437875,18.229625,17.9120483333333,43.5337983333338,0.0578548200657119,0.162507031414174,2.13515072889,4.97385476138995,0,37,1,29,0,5,7,33,6,7,0,0,13,0,0,13,5,7,1,0,11,0
8.557605,17.795355,17.9721483333333,42.8608983333336,0.0476814634199269,0.169622864103136,2.15096149581,4.88255047430996,0,64,2,20,0,2,8,38,5,11,0,0,13,0,0,9,9,6,0,0,15,0
7.45408666666667,14.2835866666667,16.7608283333333,35.5320783333336,0.110534811475606,0.196017382790301,1.95616612505,4.00332628055,0,41,0,27,0,0,11,30,5,11,0,0,16,0,0,7,7,5,0,0,20,0
7.73827333333333,13.7555233333333,17.2347316666667,34.5267316666668,0.102014062882132,0.203195746059369,2.01842062495,3.87833483094999,0,39,4,16,0,2,3,33,5,8,0,0,16,0,0,7,9,11,0,0,15,0
7.6463,15.29805,17.1344666666667,38.720216666667,0.107494834972006,0.209815888599108,2.002237038,4.33726005449994,0,56,2,30,0,3,11,34,7,7,1,0,17,0,0,14,4,5,0,0,17,0
7.66823,15.01873,16.91888,33.4366300000002,0.0935298317619128,0.101660065622642,1.9882185828,3.91644224129999,0,47,1,21,0,3,4,46,4,7,0,0,12,0,0,13,2,2,0,0,15,0
