Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
240,0,0,0,1
300,0,0,0,1
180,0,0,57,1
240,0,0,56,1
180,0,30,52,1
240,0,0,41,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
229,0,50,91,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,52,1
240,0,10,58,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,33,57,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,31,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,55,1
240,0,0,0,1
180,0,0,0,1
180,0,0,52,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,36,53,1
180,0,0,0,1
180,0,0,0,1
226,0,0,28,1
180,0,0,0,1
180,0,0,0,1
180,0,52,56,1
240,0,0,40,1
180,0,0,55,1
180,0,0,0,1
230,0,49,96,1
180,0,0,56,1
180,0,51,51,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,52,1
240,0,0,55,1
240,0,0,42,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
227,0,0,77,1
180,0,0,0,1
180,0,0,0,1
180,0,0,26,1
180,0,0,0,1
240,0,0,0,1
240,0,0,56,1
240,0,0,39,1
228,0,0,32,1
180,0,0,26,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
228,0,0,37,1
180,0,0,0,1
180,0,0,0,1
180,0,0,37,1
180,0,0,0,1
180,0,0,0,1
224,0,0,78,1
180,0,0,0,1
180,0,0,0,1
240,0,0,50,1
180,0,0,48,1
240,0,0,0,1
300,0,0,0,1
180,0,45,49,1
180,0,0,0,1
240,0,0,0,1
240,0,0,36,1
180,0,0,0,1
224,0,0,31,1
240,0,38,55,1
180,0,45,48,1
180,0,0,49,1
180,0,0,0,1
180,0,0,0,1
41,0,0,0,2
89,0,0,0,2
129,0,0,0,2
82,0,0,56,2
57,0,30,0,2
203,0,0,41,2
19,0,0,0,2
185,0,0,0,2
38,0,0,0,2
110,0,0,0,2
139,0,50,0,2
98,0,0,0,2
129,0,0,0,2
72,0,0,0,2
22,0,0,0,2
108,0,0,0,2
67,0,10,0,2
0,0,0,0,2
101,0,0,0,2
70,0,0,0,2
