Energy Use (HVAC) [kWh],Energy Use (HVAC and Personal Equipment) [kWh],Occ#1 Cool Duration [mins],Occ#1 Warm Duration [mins],Occ#2 Cool Duration [mins],Occ#2 Warm Duration [mins],Occ#3 Cool Duration [mins],Occ#3 Warm Duration [mins],Occ#4 Cool Duration [mins],Occ#4 Warm Duration [mins],Occ#5 Cool Duration [mins],Occ#5 Warm Duration [mins],Occ#6 Cool Duration [mins],Occ#6 Warm Duration [mins],Occ#7 Cool Duration [mins],Occ#7 Warm Duration [mins]
8.41836833333334,20.2148683333333,0,64,3,32,0,2,7,29,8,6,0,0,16,0
8.90274166666667,21.2534916666666,0,84,2,40,0,3,11,31,6,11,1,0,12,0
8.04129000000001,14.74529,0,56,3,33,0,5,11,29,10,11,0,0,8,0
7.94419166666667,15.6716916666667,0,77,2,27,0,3,13,36,4,7,1,0,11,0
8.43365166666667,18.2341516666667,0,46,2,30,0,7,6,27,7,7,0,0,10,0
8.48789333333333,17.1486433333333,0,75,2,20,0,2,10,34,7,8,0,0,6,0
8.33938333333333,17.9158833333333,0,45,0,24,0,1,11,35,6,11,0,0,9,0
7.68629666666667,11.5560466666667,0,47,4,22,0,4,3,25,5,7,0,0,9,0
7.908665,14.522415,0,70,2,31,0,3,8,37,6,7,0,0,10,0
8.07262166666666,15.5231216666667,0,59,1,20,0,5,6,42,4,9,0,0,8,0
7.724955,12.160955,0,59,1,26,0,3,12,26,6,6,0,0,10,0
8.41836833333334,20.2148683333333,0,64,3,32,0,2,7,29,8,6,0,0,16,0
8.90274166666667,21.2534916666666,0,84,2,40,0,3,11,31,6,11,1,0,12,0
8.04129000000001,14.74529,0,56,3,33,0,5,11,29,10,11,0,0,8,0
7.94419166666667,15.6716916666667,0,77,2,27,0,3,13,36,4,7,1,0,11,0
8.43365166666667,18.2341516666667,0,46,2,30,0,7,6,27,7,7,0,0,10,0
8.48789333333333,17.1486433333333,0,75,2,20,0,2,10,34,7,8,0,0,6,0
8.33938333333333,17.9158833333333,0,45,0,24,0,1,11,35,6,11,0,0,9,0
7.68629666666667,11.5560466666667,0,47,4,22,0,4,3,25,5,7,0,0,9,0
