Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
4.45625,4.6425,12.62986,13.11161,0.294331054,0.29184898,1.36425848,1.41783546,0,73,2,30,0,3,2,38,3,9,0,0,12,0,0,21,4,6,0,0,16,0,3.545454545,16.36363636,0,171,5,62,0,10,15,83,10,14,2,0,36,0,0,47,19,16,0,0,83,0,15.45454545,36.63636364
4.45625,4.71875,12.62986,13.20261,0.294331054,0.285179218,1.36425848,1.431840276,0,77,2,40,0,5,13,40,2,9,0,0,7,0,0,17,3,5,0,0,14,0,3.727272727,17.54545455,0,144,7,79,0,10,25,88,9,21,0,0,31,0,0,43,18,15,0,0,82,0,15.63636364,36.36363636
4.45625,4.64925,12.62986,13.06786,0.294331054,0.288445086,1.36425848,1.41520814,0,65,1,23,0,5,7,38,3,13,0,0,17,0,0,13,9,12,0,0,9,0,4.181818182,15.36363636,0,138,8,63,0,10,23,97,10,24,1,0,39,0,0,47,21,24,2,0,40,0,13.09090909,36.63636364
4.45625,4.67625,12.62986,13.12136,0.294331054,0.287230897,1.36425848,1.421755469,0,60,1,31,0,4,10,45,5,17,0,0,13,0,0,28,5,2,0,0,14,0,4.363636364,17,0,145,2,70,0,6,23,96,16,27,1,0,34,0,0,48,16,12,1,0,68,0,14.63636364,36.72727273
4.45625,4.63225,12.62986,13.04886,0.294331054,0.290014607,1.36425848,1.412181938,0,63,2,37,0,2,6,38,1,8,0,0,11,0,0,14,11,10,0,0,13,0,4,15.63636364,0,138,9,83,0,8,23,95,13,27,0,0,64,0,0,32,20,17,1,0,48,0,16.18181818,36.36363636
4.45625,4.708,12.62986,13.22686,0.294331054,0.288115244,1.36425848,1.432633664,0,67,1,26,0,2,8,49,4,13,0,0,9,0,0,24,7,6,0,0,9,0,3.454545455,17,0,137,7,88,0,6,22,89,8,20,1,0,37,0,0,44,15,16,0,0,31,0,11,36.36363636
4.45625,4.68825,12.62986,13.17486,0.294331054,0.288303633,1.36425848,1.426884038,0,78,1,31,0,3,4,32,3,9,0,0,13,0,0,18,4,4,0,0,15,0,3.636363636,15.90909091,0,159,5,59,0,10,21,92,12,21,1,0,53,0,0,47,17,15,2,0,56,0,15.18181818,36.63636364
4.45625,4.6875,12.62986,13.14536,0.294331054,0.286820597,1.36425848,1.424611043,0,64,0,21,0,1,7,31,5,18,1,0,12,0,0,29,3,9,0,0,9,0,3.363636364,15.72727273,0,148,3,60,0,7,26,71,12,41,1,0,43,0,0,61,11,17,0,0,55,0,13.72727273,36.81818182
4.45625,4.66375,12.62986,13.15561,0.294331054,0.290986887,1.36425848,1.423129794,0,62,1,22,0,4,7,53,5,17,0,0,14,0,0,26,9,12,0,0,13,0,4.454545455,17.81818182,0,124,4,57,0,7,33,137,16,32,0,0,42,0,0,45,24,21,1,0,56,0,16,38.45454545
4.45625,4.64775,12.62986,13.17961,0.294331054,0.294705989,1.36425848,1.423407954,0,73,2,37,0,3,8,35,2,9,1,0,7,0,0,29,6,11,0,0,13,0,3.545454545,17.90909091,0,152,7,65,0,9,24,110,8,21,2,0,37,0,0,59,19,21,1,0,38,0,12.36363636,39.72727273
4.45625,4.6955,12.62986,13.19861,0.294331054,0.288485681,1.36425848,1.429342614,0,64,1,13,0,6,10,46,2,5,0,0,5,0,0,18,11,14,1,0,15,0,4.090909091,15.09090909,0,160,3,57,0,11,36,124,11,21,0,0,46,0,0,45,23,18,1,0,46,0,15.09090909,39.63636364
4.45625,4.67725,12.62986,13.13211,0.294331054,0.287662074,1.36425848,1.422652497,0,93,1,28,0,2,11,33,2,8,0,0,7,0,0,20,6,9,1,0,19,0,4.272727273,17.54545455,0,226,5,68,0,7,22,85,13,25,1,0,41,0,0,40,16,20,3,0,56,0,14.27272727,42.81818182
4.45625,4.6745,12.62986,13.13636,0.294331054,0.288311222,1.36425848,1.422709637,0,61,7,39,0,2,10,51,4,16,1,0,10,0,0,19,5,7,1,0,14,0,4.727272727,17.72727273,0,166,10,78,0,7,23,99,14,30,1,0,40,0,0,39,14,11,2,0,52,0,14.18181818,39.09090909
4.45625,4.67975,12.62986,13.13061,0.294331054,0.287199909,1.36425848,1.422776988,0,85,2,30,0,4,9,36,7,17,0,0,10,0,0,13,6,3,0,0,12,0,4.181818182,17.09090909,0,167,10,77,0,9,24,81,21,37,0,0,37,0,0,35,18,13,1,0,46,0,14.27272727,38.09090909
4.45625,4.634,12.62986,13.10886,0.294331054,0.292997255,1.36425848,1.41682622,0,60,0,48,0,1,7,38,2,9,0,0,17,0,0,11,8,10,0,0,21,0,5,16.09090909,0,140,3,86,0,6,28,82,13,30,1,0,57,0,0,30,21,23,0,0,71,0,17.63636364,36.09090909
4.45625,4.6525,12.62986,13.13286,0.294331054,0.291471926,1.36425848,1.420367528,0,74,1,30,0,2,6,34,3,5,0,0,5,0,0,13,8,14,1,0,12,0,3.272727273,15.63636364,0,143,9,74,0,7,22,91,15,24,0,0,32,0,0,31,23,25,1,0,77,0,16.27272727,35.90909091
4.45625,4.685,12.62986,13.16111,0.294331054,0.288053971,1.36425848,1.425550257,0,69,1,13,0,1,10,46,1,7,0,0,13,0,0,22,4,6,0,0,12,0,3.727272727,14.90909091,0,154,3,56,0,8,24,102,10,14,0,0,235,0,0,48,21,18,0,0,48,0,31,36.36363636
4.45625,4.68925,12.62986,13.11811,0.294331054,0.285072316,1.36425848,1.422742461,0,86,2,14,0,3,6,48,4,10,0,0,9,0,0,18,3,6,0,0,21,0,4.090909091,16.81818182,0,161,8,65,0,8,22,101,15,25,1,0,41,0,0,43,18,18,1,0,74,0,16.36363636,38.27272727
4.45625,4.66625,12.62986,13.11461,0.294331054,0.288389056,1.36425848,1.420305768,0,60,2,25,0,2,9,42,4,6,0,0,9,0,0,26,5,5,1,0,15,0,4.090909091,15.09090909,0,144,7,70,0,7,27,110,12,17,1,0,45,0,0,48,15,14,1,0,45,0,13.90909091,37.27272727
4.45625,4.66325,12.62986,13.16486,0.294331054,0.291561019,1.36425848,1.423772978,0,70,1,23,0,1,7,32,1,12,0,0,15,0,0,21,6,12,1,0,10,0,3.727272727,15.54545455,0,167,8,62,0,5,29,92,10,29,1,0,71,0,0,47,17,20,1,0,48,0,16.81818182,38.36363636
4.45625,4.658,12.62986,13.12536,0.294331054,0.290228992,1.36425848,1.420327895,0,84,1,44,0,3,8,28,7,8,0,0,12,0,0,22,10,10,0,0,11,0,4.454545455,18.09090909,0,146,7,105,0,8,34,95,15,18,0,0,35,0,0,41,24,21,0,0,42,0,14.27272727,39.45454545
4.45625,4.6435,12.62986,13.10786,0.294331054,0.291493806,1.36425848,1.417650122,0,66,4,45,0,3,7,36,5,10,1,0,9,0,0,19,6,6,0,0,14,0,4.181818182,16.81818182,0,139,7,71,0,12,21,85,20,22,3,0,28,0,0,48,21,15,1,0,49,0,13.63636364,35.63636364
4.45625,4.70175,12.62986,13.21261,0.294331054,0.288293532,1.36425848,1.430978808,0,94,1,31,0,5,9,39,4,5,0,0,10,0,0,19,7,8,0,0,9,0,3.636363636,18.27272727,0,194,4,62,0,8,25,85,15,19,1,0,27,0,0,40,21,20,0,0,55,0,13.45454545,38.90909091
4.45625,4.673,12.62986,13.13236,0.294331054,0.288322891,1.36425848,1.422269177,0,81,2,40,0,4,10,56,8,9,0,0,5,0,0,18,4,4,0,0,13,0,3.818181818,19.27272727,0,186,10,66,0,7,27,116,18,21,0,0,43,0,0,42,15,11,2,0,41,0,14.18181818,40.81818182
4.45625,4.6505,12.62986,13.09536,0.294331054,0.28974843,1.36425848,1.417379135,0,69,4,30,0,2,10,28,4,11,1,0,17,0,0,20,7,10,0,0,15,0,5.272727273,15.45454545,0,144,9,88,0,9,32,96,13,21,1,0,45,0,0,48,18,19,1,0,55,0,15.81818182,38.63636364
4.45625,4.67,12.62986,13.16086,0.294331054,0.290319933,1.36425848,1.424112836,0,64,2,20,0,3,3,31,9,19,1,0,11,0,0,26,3,7,0,0,16,0,4.090909091,15.45454545,0,140,9,48,0,10,21,85,21,37,1,0,41,0,0,52,18,19,0,0,47,0,14.36363636,35.54545455
4.45625,4.673,12.62986,13.20436,0.294331054,0.292203484,1.36425848,1.427643689,0,59,1,14,0,3,3,29,2,12,0,0,15,0,0,11,5,9,0,0,21,0,4.272727273,12.45454545,0,134,6,52,0,10,19,80,13,28,1,0,40,0,0,32,19,20,1,0,61,0,14.54545455,32.36363636
4.45625,4.61775,12.62986,13.01511,0.294331054,0.290401695,1.36425848,1.408291167,0,60,1,34,0,2,10,49,3,10,0,0,12,0,0,16,5,11,0,0,19,0,4.545454545,16.54545455,0,146,3,77,0,7,30,109,8,16,2,0,28,0,0,38,11,15,1,0,75,0,14.36363636,37.09090909
4.45625,4.60275,12.62986,13.06611,0.294331054,0.295467434,1.36425848,1.410679353,0,66,2,60,0,8,5,54,5,11,0,0,10,0,0,21,5,7,0,0,10,0,3.363636364,20.63636364,0,142,6,118,0,14,19,103,16,23,0,0,42,0,0,43,14,17,0,0,34,0,11.90909091,41.81818182
4.45625,4.686,12.62986,13.18061,0.294331054,0.288955519,1.36425848,1.427100438,0,76,1,22,0,4,8,58,3,9,0,0,17,0,0,16,8,6,1,0,14,0,4.727272727,17.36363636,0,180,8,65,0,11,35,119,10,22,1,0,48,0,0,40,20,19,1,0,66,0,17.18181818,41.45454545
4.45625,4.68,12.62986,13.10461,0.294331054,0.285747535,1.36425848,1.420859838,0,71,0,23,0,3,5,33,2,6,0,0,16,0,0,33,6,12,0,0,17,0,4.181818182,16.45454545,0,167,4,73,0,8,23,91,13,20,1,0,61,0,0,57,16,21,1,0,62,0,16.45454545,39.72727273
4.45625,4.733,12.62986,13.24711,0.294331054,0.285429048,1.36425848,1.436509845,0,92,1,28,0,2,5,39,1,9,0,0,10,0,0,11,5,6,0,0,15,0,3.363636364,17,0,217,5,59,0,8,18,95,12,27,1,0,47,0,0,34,20,20,1,0,59,0,14.81818182,41.81818182
4.45625,4.66475,12.62986,13.15411,0.294331054,0.290753992,1.36425848,1.423112409,0,63,2,35,0,3,11,52,7,9,1,0,14,0,0,28,5,5,0,0,8,0,4.363636364,17.72727273,0,142,9,83,0,8,27,106,17,18,1,0,34,0,0,44,19,16,1,0,47,0,14.09090909,37.90909091
4.45625,4.69575,12.62986,13.21861,0.294331054,0.28952439,1.36425848,1.43085918,0,76,2,43,0,2,8,42,7,12,0,0,14,0,0,15,3,4,0,0,15,0,4.454545455,17.63636364,0,184,7,73,0,6,28,99,12,23,0,0,44,0,0,40,13,13,2,0,45,0,13.72727273,39.81818182
4.45625,4.67025,12.62986,13.20736,0.294331054,0.292780692,1.36425848,1.427607521,0,53,1,16,0,1,9,49,4,9,0,0,19,0,0,21,3,9,0,0,12,0,4.363636364,14.36363636,0,141,5,64,0,6,20,105,10,20,0,0,58,0,0,41,21,25,0,0,44,0,14.36363636,36.54545455
