Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
229,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
300,0,0,0,1
180,0,0,0,1
229,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
300,0,0,0,1
180,0,0,0,1
229,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
300,0,0,0,1
180,0,0,0,1
229,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
300,0,0,0,1
180,0,0,0,1
229,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
300,0,0,0,1
180,0,0,0,1
229,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
300,0,0,0,1
46,0,0,0,2
215,0,0,0,2
127,0,0,0,2
118,0,0,0,2
81,0,0,0,2
205,0,0,0,2
170,0,0,0,2
180,0,0,0,2
134,0,0,0,2
108,0,0,0,2
180,0,0,0,2
113,0,0,0,2
191,0,0,0,2
150,0,0,0,2
0,0,0,0,2
108,0,0,0,2
