Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
6.612036667,17.75203667,17.05307,45.25307,0.224534155,0.215432824,1.898336339,5.057019299,0,132,1,46,0,9,3,42,4,9,0,0,9,0,0,44,5,8,0,0,10,0,2.909090909,26.36363636,0,301,5,109,0,22,17,102,9,19,0,0,31,0,0,92,13,20,1,0,44,0,10.90909091,60.45454545
6.068033333,14.50803333,15.67930167,33.69930167,0.225981684,0.138971277,1.744336017,3.887745897,0,168,0,63,0,12,7,42,3,16,1,0,7,0,0,37,2,8,0,0,3,0,2.090909091,31.45454545,0,593,2,113,0,24,27,122,15,36,1,0,20,0,0,95,16,23,1,0,30,0,10.18181818,91.45454545
6.213111667,13.45311167,16.40707167,38.30707167,0.242630033,0.297617329,1.812383226,4.131918786,0,90,0,64,0,16,3,47,1,13,0,0,6,0,0,46,2,3,1,0,9,0,2,25.36363636,0,251,0,132,0,35,14,118,10,26,1,0,23,0,0,103,8,15,2,0,36,0,8.545454545,61.81818182
5.921506667,13.00150667,15.75216,36.17216,0.248165754,0.281131861,1.735915522,3.929841562,0,146,1,39,0,14,5,62,2,9,1,0,7,0,0,47,3,10,0,0,7,0,2.363636364,29.72727273,0,303,2,105,0,33,17,126,13,19,1,0,37,0,0,97,10,25,0,0,30,0,10,64.36363636
6.31549,15.93549,16.47487333,41.67487333,0.233318536,0.235247106,1.827127701,4.618104981,0,98,1,43,0,17,3,41,1,11,0,0,7,0,0,53,1,11,0,0,9,0,2,24.90909091,0,286,6,106,0,29,15,98,7,23,2,0,28,0,0,106,10,18,1,0,41,0,10,60.54545455
6.32806,14.76806,16.39016167,38.13016167,0.227822138,0.225386972,1.821993235,4.243086235,0,140,0,64,0,4,3,55,3,15,0,0,8,0,0,43,4,10,0,0,10,0,2.545454545,30.09090909,0,307,0,109,0,13,15,109,13,33,0,0,29,0,0,103,17,22,0,0,53,0,11.54545455,63.27272727
5.771566667,12.41156667,15.47801833,34.35801833,0.254224082,0.277515569,1.701270018,3.738624258,0,81,0,38,0,11,7,41,4,17,0,0,8,0,0,40,8,11,0,0,17,0,4,21.72727273,0,228,1,88,0,18,25,107,12,32,0,0,33,0,0,107,19,26,1,0,78,0,15.36363636,55.09090909
5.523531667,9.143531667,15.13953833,29.29953833,0.270317028,0.375858311,1.652543698,3.051925138,0,90,2,68,0,14,2,42,2,18,0,0,6,0,0,40,8,16,0,0,8,0,2.545454545,26.18181818,0,261,2,124,0,23,11,86,9,32,1,0,20,0,0,90,198,28,0,0,49,0,26.36363636,58.54545455
5.67405,10.49405,15.52133833,34.60133833,0.268871037,0.393430977,1.695280166,3.575420726,0,138,1,44,0,9,6,55,2,7,0,0,9,0,0,57,4,6,0,0,13,0,3.181818182,28.72727273,0,295,2,92,0,20,17,114,7,13,2,0,24,0,0,115,19,17,1,0,49,0,11,60.54545455
5.999936667,13.23993667,15.56909,32.90909,0.229250179,0.195362943,1.729668302,3.708818102,0,127,0,46,0,13,5,55,3,9,0,0,7,0,0,43,2,4,0,0,12,0,2.636363636,27,0,250,0,112,0,32,27,109,10,22,1,0,29,0,0,99,9,15,1,0,42,0,10.81818182,58.09090909
