Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
4.337855,4.337855,12.55227167,12.55227167,0.308833474,0.308833474,1.347268548,1.347268548,0,122,1,42,0,5,3,42,5,8,0,0,28,0,0,37,4,7,1,0,21,0,5.727272727,23.90909091,0,270,6,98,0,17,21,97,9,16,1,0,60,0,0,76,13,17,2,0,74,0,16.90909091,53.72727273
4.337855,4.337855,12.55227167,12.55227167,0.308833474,0.308833474,1.347268548,1.347268548,0,122,1,42,0,5,3,42,5,8,0,0,28,0,0,37,4,7,1,0,21,0,5.727272727,23.90909091,0,270,6,98,0,17,21,97,9,16,1,0,60,0,0,76,13,17,2,0,74,0,16.90909091,53.72727273
4.316321667,4.316321667,12.55355333,12.55355333,0.312334675,0.312334675,1.345327511,1.345327511,0,145,1,53,0,10,5,38,5,11,1,0,18,0,0,28,2,11,0,0,9,0,3.727272727,26.90909091,0,555,4,86,0,16,27,104,15,21,1,0,43,0,0,72,14,20,1,0,41,0,13.27272727,79.45454545
4.909475,4.909475,12.68006,12.68006,0.225638522,0.225638522,1.410873542,1.410873542,0,83,0,52,0,13,5,51,4,13,0,0,13,0,0,48,1,5,1,0,7,0,2.818181818,24.09090909,0,223,0,109,0,30,16,118,12,26,2,0,45,0,0,102,7,14,2,0,49,0,12.09090909,56.54545455
4.277525,4.277525,12.57324667,12.57324667,0.319583062,0.319583062,1.343127995,1.343127995,0,134,2,35,0,7,5,52,4,7,1,0,16,0,0,49,3,8,0,0,9,0,3.636363636,26.54545455,0,276,3,89,0,24,20,119,15,15,2,0,65,0,0,95,11,19,0,0,38,0,14,57.90909091
4.345373333,4.345373333,12.78145167,12.78145167,0.320050109,0.320050109,1.365087032,1.365087032,0,92,1,40,0,14,3,41,2,10,0,0,13,0,0,51,1,10,0,0,15,0,3.181818182,23.45454545,0,272,8,99,0,23,14,96,8,19,3,0,45,0,0,103,6,18,2,0,66,0,13.81818182,57.27272727
4.36547,4.36547,12.62675,12.62675,0.308536243,0.308536243,1.355439995,1.355439995,0,124,0,55,0,4,5,56,5,11,0,0,16,0,0,39,2,9,0,0,16,0,4,27.09090909,0,276,0,94,0,9,16,104,21,23,2,0,52,0,0,96,15,20,0,0,79,0,16.81818182,56.54545455
4.291835,4.291835,13.00975333,13.00975333,0.340212702,0.340212702,1.377064969,1.377064969,0,78,0,30,0,8,6,41,4,13,0,0,14,0,0,38,5,9,0,0,20,0,4.454545455,19.72727273,0,216,1,70,0,12,25,92,15,24,0,0,56,0,0,101,14,20,2,0,90,0,18.45454545,48.63636364
4.243796667,4.243796667,12.62092,12.62092,0.327498048,0.327498048,1.343496458,1.343496458,0,82,2,57,0,10,1,41,3,14,0,0,14,0,0,34,6,14,0,0,14,0,3.636363636,22.90909091,0,233,2,111,0,16,10,87,9,25,1,0,41,0,0,78,197,27,4,0,62,0,29.63636364,52.45454545
3.877808333,3.877808333,12.45834833,12.45834833,0.377476335,0.377476335,1.296744493,1.296744493,0,126,1,47,0,7,2,55,3,9,0,0,23,0,0,41,5,8,1,0,18,0,4.818181818,26.63636364,0,256,5,108,0,18,19,105,10,17,0,0,47,0,0,97,15,22,1,0,71,0,15.27272727,56.63636364
4.234185,4.234185,12.63301,12.63301,0.329663319,0.329663319,1.343489819,1.343489819,0,119,0,38,0,7,6,33,7,13,0,0,15,0,0,30,8,10,1,0,16,0,4.818181818,22.72727273,0,257,2,84,0,22,17,90,19,28,1,0,41,0,0,91,19,32,2,0,51,0,13.81818182,54.90909091
4.170428333,4.170428333,12.72629833,12.72629833,0.344596799,0.344596799,1.344423059,1.344423059,0,96,0,44,0,6,5,45,0,6,0,0,5,0,0,46,5,11,0,0,23,0,3.454545455,23.09090909,0,246,1,104,0,15,18,106,7,16,0,0,47,0,0,86,16,25,0,0,62,0,13.72727273,54.36363636
4.74829,4.74829,12.647235,12.647235,0.249118088,0.249118088,1.393177765,1.393177765,0,80,1,45,0,7,7,59,2,7,1,0,12,0,0,47,4,12,0,0,18,0,4.090909091,23.36363636,0,240,4,88,0,13,20,126,10,20,1,0,43,0,0,110,20,22,2,0,43,0,13,56.27272727
4.168053333,4.168053333,12.59926333,12.59926333,0.33836555,0.33836555,1.334715767,1.334715767,0,135,1,39,0,9,4,59,3,7,0,0,12,0,0,38,2,9,0,0,22,0,4,26.90909091,0,303,1,75,0,17,12,107,15,18,2,0,44,0,0,95,9,20,0,0,67,0,13.63636364,57.72727273
4.695753333,4.695753333,12.92014667,12.92014667,0.273111451,0.273111451,1.408580401,1.408580401,0,131,0,49,0,5,4,47,3,10,0,0,14,0,0,46,4,7,0,0,17,0,3.818181818,26.81818182,0,345,2,97,0,11,12,107,13,22,0,0,50,0,0,101,15,16,1,0,64,0,14.27272727,63.54545455
4.487983333,4.487983333,12.75805667,12.75805667,0.296447186,0.296447186,1.376829314,1.376829314,0,128,1,32,0,13,6,62,3,12,0,0,18,0,0,33,6,16,0,0,4,0,3.454545455,26.90909091,0,254,4,80,0,22,18,131,11,21,2,0,40,0,0,71,18,37,1,0,32,0,11.45454545,56
4.46483,4.46483,12.70649833,12.70649833,0.297236755,0.297236755,1.370790755,1.370790755,0,97,1,37,0,9,2,44,6,8,1,0,9,0,0,37,3,7,0,0,19,0,3.727272727,21.72727273,0,239,3,87,0,17,17,116,12,26,1,0,35,0,0,93,12,18,2,0,59,0,12.81818182,54.18181818
4.175905,4.175905,12.49417667,12.49417667,0.331543789,0.331543789,1.32761411,1.32761411,0,102,0,46,0,12,6,59,2,4,0,0,11,0,0,42,6,15,0,0,12,0,3.363636364,25.45454545,0,264,3,91,0,27,19,131,15,12,1,0,37,0,0,89,15,26,0,0,58,0,13.45454545,58.18181818
4.215416667,4.215416667,12.62442167,12.62442167,0.332180629,0.332180629,1.34107355,1.34107355,0,88,0,53,0,1,2,37,7,7,0,0,11,0,0,41,3,14,0,0,15,0,3.454545455,21.90909091,0,217,1,108,0,7,10,94,14,16,0,0,57,0,0,76,15,26,0,0,62,0,14.45454545,49.45454545
4.021026667,4.021026667,12.6064,12.6064,0.362065829,0.362065829,1.321342121,1.321342121,0,111,0,50,0,12,4,46,5,9,0,0,11,0,0,48,2,4,0,0,11,0,3,25.45454545,0,221,0,83,0,19,17,93,13,23,0,0,45,0,0,101,13,16,0,0,68,0,14.18181818,50.54545455
