Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins],Peak Occ#1 In-Office Duration [mins],Daily Occ#1 In-Office Duration [mins],Peak Occ#2 In-Office Duration [mins],Daily Occ#2 In-Office Duration [mins],Peak Occ#3 In-Office Duration [mins],Daily Occ#3 In-Office Duration [mins],Peak Occ#4 In-Office Duration [mins],Daily Occ#4 In-Office Duration [mins],Peak Occ#5 In-Office Duration [mins],Daily Occ#5 In-Office Duration [mins],Peak Occ#6 In-Office Duration [mins],Daily Occ#6 In-Office Duration [mins],Peak Occ#7 In-Office Duration [mins],Daily Occ#7 In-Office Duration [mins],Peak Occ#8 In-Office Duration [mins],Daily Occ#8 In-Office Duration [mins],Peak Occ#9 In-Office Duration [mins],Daily Occ#9 In-Office Duration [mins],Peak Occ#10 In-Office Duration [mins],Daily Occ#10 In-Office Duration [mins],Peak Occ#11 In-Office Duration [mins],Daily Occ#11 In-Office Duration [mins]
6.10752,17.17352,16.6569683333333,44.0009683333333,0.266670875782618,0.219402633601131,1.82104972989,4.90883649788997,0,85,3,26,0,4,8,21,4,9,0,0,10,0,0,21,6,6,0,0,8,0,3.54545454545455,15.6363636363636,0,184,9,63,0,9,23,75,10,21,0,0,30,0,0,40,17,18,0,0,36,0,11.3636363636364,37.2727272727273,240,600,180,540,180,600,180,540,240,540,180,480,240,600,180,480,180,540,180,540,300,900
6.69191,18.84166,16.9140716666667,42.5918216666667,0.208716844544528,0.115245168546246,1.89551540907,4.96142868957006,0,111,1,53,0,4,7,39,5,11,1,0,10,0,0,19,3,10,0,0,4,0,2.81818181818182,22.4545454545455,0,249,4,99,0,8,26,111,12,23,1,0,27,0,0,32,15,22,2,0,20,0,9.72727272727273,49.4545454545455,300,840,240,540,180,540,180,600,180,540,240,600,240,600,180,540,180,480,180,600,180,480
5.88191,11.22766,15.6772683333333,34.6125183333333,0.249625652258084,0.351237035579276,1.72657994745,3.64564303694999,0,67,1,37,0,9,7,38,4,15,0,0,7,0,0,29,1,2,1,0,9,0,2.72727272727273,17.9090909090909,0,155,4,77,0,17,22,107,13,30,1,0,25,0,0,49,10,12,2,0,36,0,10.2727272727273,40.6363636363636,180,540,240,660,240,780,240,600,180,540,240,600,180,540,240,540,180,480,180,480,180,600
6.03336333333333,13.9056133333333,16.009375,38.869125,0.246271221289609,0.28449053929908,1.76569544377,4.21667323626996,0,101,3,29,0,4,5,58,7,13,0,0,9,0,0,22,5,10,0,0,7,0,3.27272727272727,21.5454545454545,0,189,5,85,0,15,21,120,18,24,0,0,33,0,0,46,14,22,0,0,27,0,10.7272727272727,45.5454545454545,240,600,180,540,240,660,240,660,240,540,180,540,240,780,180,480,180,540,180,480,180,540
6.339815,16.188815,16.59106,41.5650600000001,0.235755280253341,0.221037332798268,1.83810132672,4.63386834671996,0,67,1,38,0,11,2,33,3,10,0,0,6,0,0,32,4,9,0,0,9,0,2.27272727272727,18.1818181818182,0,178,11,97,0,16,22,86,8,21,2,0,28,0,0,52,12,17,1,0,44,0,11.6363636363636,42.4545454545455,180,600,180,600,240,540,180,540,180,540,180,540,180,480,180,540,240,540,240,540,300,900
6.579765,15.261265,16.4339866666667,38.1902366666667,0.199249076507303,0.200776620830926,1.84907186148,4.29421989498,0,96,1,32,0,2,10,42,6,16,0,0,5,0,0,18,6,7,0,0,11,0,3.54545454545455,19.3636363636364,0,187,4,66,0,7,26,95,14,36,1,0,31,0,0,48,20,23,1,0,52,0,13.5454545454545,42,240,600,240,540,180,480,240,600,180,600,180,480,240,600,180,540,180,600,180,540,240,780
5.42747333333333,12.2717233333333,15.3008733333333,33.3381233333333,0.290566856532372,0.263802391596327,1.6555011286,3.6492662341,0,62,1,39,0,2,6,35,6,13,0,0,7,0,0,15,6,5,0,0,13,0,3.54545454545455,15.5454545454545,0,145,4,81,0,6,27,91,19,28,0,0,34,0,0,44,16,17,1,0,72,0,15.7272727272727,37.4545454545455,180,540,180,540,240,600,240,600,180,540,240,540,180,600,180,540,180,540,180,480,300,840
5.20480500000001,9.011055,15.3209483333333,29.3006983333333,0.320563598706737,0.384925581125228,1.63593878541,3.03948155391,0,64,3,34,0,5,2,36,4,11,0,0,8,0,0,23,9,10,0,0,10,0,3.27272727272727,16.6363636363636,0,154,4,64,0,7,15,72,12,23,2,0,21,0,0,46,26,24,1,0,46,0,11.5454545454545,35.4545454545455,180,540,240,600,240,600,180,480,240,600,180,540,180,480,180,480,300,900,180,540,180,600
5.56721833333333,10.6522183333333,15.1909866666667,34.2062366666667,0.267036637514878,0.377176832567862,1.66051616956,3.56088816106001,0,90,2,20,0,2,10,47,2,10,0,0,8,0,0,31,4,6,0,0,12,0,3.45454545454545,18.7272727272727,0,181,4,62,0,7,23,107,11,19,2,0,26,0,0,58,17,15,0,0,47,0,11.8181818181818,40.8181818181818,240,600,180,540,180,540,240,600,180,540,180,540,240,600,240,540,180,480,180,540,240,840
5.805305,13.167055,15.6398283333333,33.3963283333333,0.257625483314661,0.211466909261532,1.71653959389,3.73829505488998,0,80,1,31,0,7,5,59,3,9,0,0,7,0,0,23,2,3,0,0,10,0,2.54545454545455,19.2727272727273,0,149,5,85,0,13,27,111,11,22,1,0,31,0,0,45,11,19,1,0,36,0,11.1818181818182,40.3636363636364,240,540,180,540,300,840,240,600,240,540,180,600,180,540,180,540,180,540,180,540,180,540
