Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Occupant #
240,0,0,0,240,1
300,0,0,0,300,1
180,0,0,56,180,1
240,0,0,56,240,1
180,0,0,22,180,1
240,0,0,57,240,1
180,0,0,0,180,1
180,0,0,0,180,1
240,0,0,0,240,1
240,0,0,0,240,1
229,0,0,34,240,1
180,0,0,0,180,1
240,0,0,0,240,1
180,0,0,0,180,1
180,0,0,0,180,1
180,0,0,59,180,1
240,0,0,0,240,1
240,0,0,0,240,1
240,0,0,0,240,1
180,0,0,0,180,1
180,0,0,30,180,1
180,0,0,20,180,1
240,0,33,57,240,1
300,0,0,0,300,1
180,0,0,0,180,1
180,0,0,0,180,1
180,0,0,0,180,1
180,0,0,0,180,1
240,0,0,24,240,1
240,0,0,0,240,1
240,0,0,50,240,1
240,0,0,0,240,1
180,0,0,56,180,1
240,0,0,0,240,1
180,0,0,0,180,1
180,0,0,40,180,1
240,0,0,0,240,1
240,0,0,0,240,1
180,0,0,0,180,1
240,0,7,55,240,1
180,0,0,0,180,1
180,0,0,0,180,1
227,0,0,30,240,1
180,0,0,0,180,1
180,0,0,58,180,1
180,0,0,0,180,1
240,0,0,40,240,1
180,0,10,46,180,1
180,0,0,0,180,1
230,0,49,96,240,1
180,0,0,58,180,1
180,0,32,0,180,1
180,0,0,0,180,1
180,0,0,0,180,1
240,0,0,0,240,1
240,0,0,0,240,1
240,0,0,0,240,1
180,0,56,52,180,1
240,0,0,57,240,1
240,0,0,57,240,1
180,0,0,0,180,1
180,0,0,0,180,1
240,0,0,0,240,1
227,0,0,89,240,1
180,0,0,0,180,1
180,0,0,0,180,1
180,0,0,52,180,1
180,0,0,0,180,1
240,0,0,0,240,1
240,0,0,45,240,1
240,0,0,48,240,1
228,0,0,37,240,1
180,0,0,0,180,1
180,0,0,0,180,1
240,0,0,0,240,1
180,0,0,0,180,1
229,0,0,37,240,1
180,0,0,45,180,1
180,0,0,0,180,1
180,0,0,0,180,1
180,0,0,0,180,1
180,0,0,0,180,1
228,0,0,93,240,1
180,0,0,0,180,1
180,0,0,0,180,1
240,0,0,50,240,1
180,0,0,49,180,1
240,0,0,0,240,1
300,0,0,0,300,1
180,0,45,49,180,1
180,0,0,0,180,1
240,0,0,39,240,1
240,0,0,0,240,1
180,0,0,0,180,1
228,0,0,37,240,1
240,0,0,56,240,1
180,0,0,0,180,1
180,0,0,49,180,1
180,0,0,0,180,1
180,0,0,0,180,1
180,0,0,0,180,2
75,0,0,0,240,2
218,0,0,56,240,2
81,0,0,0,180,2
57,0,0,22,180,2
205,0,0,57,240,2
41,0,0,0,180,2
203,0,0,0,240,2
156,0,0,0,180,2
130,0,0,0,180,2
91,0,0,0,180,2
98,0,0,0,180,2
180,0,0,0,180,2
72,0,0,0,180,2
145,0,0,0,180,2
72,0,0,59,240,2
118,0,0,0,180,2
0,0,0,0,180,2
218,0,0,0,240,2
56,0,0,0,180,2
180,0,0,30,240,2
17,0,0,20,180,2
112,0,33,0,180,2
172,0,0,0,240,2
180,0,0,0,180,2
5,0,0,0,180,2
138,0,0,0,300,2
240,0,0,0,240,2
138,0,0,24,180,2
151,0,0,0,300,2
127,0,0,50,180,2
180,0,0,0,180,2
