Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
4.45625,4.64175,12.62986,13.11511,0.294331054,0.292152334,1.36425848,1.418025783,0,64,3,39,0,2,7,29,6,7,0,0,27,0,0,21,6,3,1,0,24,0,6.727272727,15,0,146,13,75,0,5,31,74,12,17,1,0,53,0,0,36,17,10,1,0,75,0,18.45454545,33
4.45625,4.64175,12.62986,13.11511,0.294331054,0.292152334,1.36425848,1.418025783,0,64,3,39,0,2,7,29,6,7,0,0,27,0,0,21,6,3,1,0,24,0,6.727272727,15,0,146,13,75,0,5,31,74,12,17,1,0,53,0,0,36,17,10,1,0,75,0,18.45454545,33
4.45625,4.64175,12.62986,13.11511,0.294331054,0.292152334,1.36425848,1.418025783,0,64,3,39,0,2,7,29,6,7,0,0,27,0,0,21,6,3,1,0,24,0,6.727272727,15,0,146,13,75,0,5,31,74,12,17,1,0,53,0,0,36,17,10,1,0,75,0,18.45454545,33
4.45625,4.6735,12.62986,13.17511,0.294331054,0.290556208,1.36425848,1.425507585,0,77,2,43,0,2,7,38,5,9,1,0,19,0,0,14,4,8,0,0,9,0,4.272727273,17.36363636,0,184,6,79,0,4,31,103,11,16,1,0,46,0,0,27,14,20,2,0,35,0,13.27272727,39.36363636
4.45625,4.6975,12.62986,13.22686,0.294331054,0.289702923,1.36425848,1.431640532,0,55,0,27,0,4,10,33,7,10,0,0,12,0,0,23,1,3,1,0,6,0,3.363636364,14.09090909,0,122,4,60,0,11,29,81,15,25,2,0,49,0,0,35,9,11,2,0,45,0,14.09090909,31.36363636
4.45625,4.67475,12.62986,13.07911,0.294331054,0.285157782,1.36425848,1.418459799,0,81,3,20,0,3,11,50,3,8,1,0,16,0,0,20,4,8,0,0,12,0,4.545454545,17.27272727,0,152,5,68,0,10,23,116,14,16,1,0,66,0,0,35,17,20,0,0,41,0,15.18181818,37.90909091
4.45625,4.6435,12.62986,13.07561,0.294331054,0.289746329,1.36425848,1.415242788,0,49,1,31,0,6,7,33,2,8,0,0,11,0,0,18,2,6,0,0,15,0,3.454545455,13.72727273,0,140,8,77,0,9,17,91,13,17,3,0,40,0,0,35,11,13,2,0,66,0,14.54545455,34.72727273
4.45625,4.64675,12.62986,13.08336,0.294331054,0.289670238,1.36425848,1.416128693,0,79,1,47,0,3,10,44,6,10,0,0,11,0,0,11,3,9,0,0,16,0,4.272727273,18.45454545,0,141,4,75,0,5,26,90,21,21,2,0,49,0,0,36,19,19,0,0,80,0,18.27272727,35.18181818
4.45625,4.6665,12.62986,13.17786,0.294331054,0.291766645,1.36425848,1.425050774,0,45,0,29,0,1,8,32,5,13,0,0,15,0,0,11,8,5,0,0,19,0,5,12.36363636,0,118,4,61,0,5,29,84,22,20,1,0,51,0,0,33,23,15,1,0,89,0,20,30.54545455
4.45625,4.713,12.62986,13.23661,0.294331054,0.287884133,1.36425848,1.433834382,0,49,3,27,0,3,2,37,3,9,0,0,13,0,0,18,8,9,0,0,14,0,3.909090909,13.81818182,0,112,7,54,0,5,15,72,12,16,2,0,37,0,0,35,203,20,1,0,63,0,30.90909091,28.54545455
4.45625,4.678,12.62986,13.12761,0.294331054,0.28730363,1.36425848,1.422387528,0,71,2,32,0,3,11,37,5,7,1,0,15,0,0,20,5,6,0,0,18,0,5.181818182,16,0,143,5,65,0,7,28,94,15,13,3,0,46,0,0,43,19,18,0,0,67,0,16.63636364,34.81818182
4.45625,4.7105,12.62986,13.18136,0.294331054,0.285278606,1.36425848,1.429473731,0,60,1,22,0,4,8,42,4,7,0,0,12,0,0,19,3,2,0,0,15,0,3.909090909,14.18181818,0,116,4,70,0,7,31,95,14,14,1,0,38,0,0,36,11,16,2,0,51,0,13.81818182,32.18181818
4.45625,4.6535,12.62986,13.16111,0.294331054,0.292840801,1.36425848,1.422570861,0,64,2,23,0,4,7,30,8,10,0,0,14,0,0,11,2,6,0,0,20,0,4.818181818,13.45454545,0,193,9,53,0,6,31,75,15,19,0,0,49,0,0,30,9,12,0,0,48,0,14.63636364,35.27272727
4.45625,4.65425,12.62986,13.17986,0.294331054,0.293733014,1.36425848,1.424041412,0,42,1,21,0,2,5,47,4,5,1,0,10,0,0,15,6,9,0,0,18,0,4.090909091,12.81818182,0,121,4,54,0,6,37,314,10,9,2,0,45,0,0,40,29,23,0,0,58,0,16.81818182,51.54545455
4.45625,4.674,12.62986,13.14236,0.294331054,0.288712225,1.36425848,1.423110221,0,58,2,15,0,1,9,34,2,5,1,0,9,0,0,21,8,9,1,0,11,0,3.909090909,13,0,138,5,51,0,8,23,79,8,11,1,0,47,0,0,41,23,17,1,0,48,0,14.18181818,31.36363636
4.45625,4.68675,12.62986,13.13786,0.294331054,0.286527638,1.36425848,1.42398026,0,47,1,29,0,1,9,34,1,6,0,0,15,0,0,21,6,4,0,0,22,0,4.909090909,12.90909091,0,110,6,69,0,6,34,89,7,19,2,0,49,0,0,39,16,16,3,0,77,0,17.63636364,31.63636364
4.45625,4.66525,12.62986,13.12186,0.294331054,0.288934648,1.36425848,1.420752368,0,54,1,26,0,0,7,49,3,10,0,0,11,0,0,9,7,11,0,0,14,0,3.909090909,14.45454545,0,138,7,70,0,4,43,127,12,21,1,0,40,0,0,28,16,20,0,0,52,0,15.54545455,37.09090909
4.45625,4.68175,12.62986,13.14786,0.294331054,0.287830871,1.36425848,1.4242538,0,64,3,55,0,3,8,46,2,9,0,0,8,0,0,22,6,8,0,0,11,0,3.454545455,18.81818182,0,140,6,88,0,7,32,119,10,20,1,0,24,0,0,45,21,17,1,0,63,0,14.36363636,39.63636364
4.45625,4.6695,12.62986,13.13436,0.294331054,0.288964213,1.36425848,1.422087425,0,64,1,30,0,4,8,43,6,7,0,0,13,0,0,18,3,8,0,0,16,0,4.272727273,15.81818182,0,152,8,74,0,8,20,92,12,13,3,0,60,0,0,42,12,19,2,0,43,0,14.54545455,36.36363636
4.45625,4.66225,12.62986,13.09811,0.294331054,0.288103398,1.36425848,1.418695773,0,70,0,28,0,2,8,36,9,12,1,0,13,0,0,16,9,5,0,0,26,0,6,15.36363636,0,133,5,83,0,8,34,89,15,20,1,0,42,0,0,30,16,10,0,0,91,0,18.54545455,33.90909091
