Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
5.60299,9.70299,15.58492167,34.80492167,0.280972966,0.442435751,1.693305269,3.515795789,0,118,0,49,0,3,1,33,4,4,0,0,11,0,0,40,2,15,0,0,10,0,2.545454545,23.81818182,0,309,1,114,0,9,11,100,11,15,1,0,39,0,0,82,10,30,0,0,59,0,12,59.90909091
6.39446,14.83446,16.411875,38.491875,0.220752047,0.229216036,1.829894426,4.276367066,0,98,1,55,0,7,4,47,3,9,0,0,10,0,0,41,4,10,0,0,12,0,3.090909091,24.27272727,0,224,2,92,0,24,14,99,17,20,2,0,27,0,0,115,16,25,1,0,43,0,11.09090909,54.45454545
6.108766667,14.54876667,15.68619333,34.62619333,0.221128219,0.159666988,1.748703174,3.960787374,0,149,0,55,0,9,5,63,3,11,0,0,10,0,0,39,4,8,0,0,9,0,2.818181818,30.36363636,0,332,1,103,0,16,12,126,11,24,1,0,28,0,0,100,11,20,0,0,52,0,10.54545455,65.54545455
6.410406667,14.85040667,16.80891,40.82891,0.237260873,0.272554341,1.8610398,4.45232568,0,125,1,60,0,7,8,60,6,10,0,0,7,0,0,53,2,10,0,0,12,0,3.272727273,29.54545455,0,327,4,112,0,12,20,121,16,26,0,0,39,0,0,111,10,19,2,0,35,0,11.45454545,66.18181818
6.323613333,17.14361333,16.40876333,41.64876333,0.229239498,0.176752827,1.822961191,4.730425111,0,98,0,42,0,6,7,43,6,12,1,0,14,0,0,34,4,13,0,0,13,0,4.090909091,22.54545455,0,240,4,109,0,22,18,119,11,24,2,0,40,0,0,84,7,24,1,0,43,0,11.45454545,56.54545455
6.144571667,14.58457167,16.03204167,36.01204167,0.233463611,0.19001695,1.777905949,4.067621989,0,93,0,42,0,8,4,41,8,20,0,0,12,0,0,49,2,10,0,0,13,0,3.545454545,23.90909091,0,233,1,104,0,19,15,96,15,39,1,0,37,0,0,118,12,25,1,0,36,0,10.72727273,57.63636364
7.129646667,21.56964667,18.12115,52.50115,0.213113222,0.178317173,2.027021863,5.959144303,0,92,0,48,0,5,2,43,1,9,0,0,14,0,0,38,2,15,0,0,17,0,3.272727273,22.72727273,0,243,1,119,0,18,13,102,9,23,2,0,39,0,0,91,12,33,2,0,50,0,11.63636364,57.18181818
7.142408333,21.58240833,17.70083333,49.76083333,0.192986206,0.132554385,1.996853955,5.755797675,0,91,0,45,0,10,3,57,2,6,0,0,7,0,0,36,4,17,0,0,23,0,3.545454545,23.81818182,0,246,1,99,0,14,16,117,10,13,1,0,23,0,0,101,10,23,2,0,67,0,11.81818182,55.72727273
5.762953333,12.10295333,14.89224167,27.95224167,0.226046224,0.134026281,1.65672945,3.23126877,0,97,1,61,0,13,6,45,6,10,0,0,11,0,0,47,1,14,0,0,10,0,3.181818182,26.09090909,0,221,2,128,0,28,16,98,15,24,0,0,41,0,0,101,8,26,0,0,34,0,10.54545455,56.90909091
6.248818333,14.68881833,16.16675333,38.94675333,0.226954453,0.245697416,1.797821703,4.296546543,0,120,0,40,0,11,2,62,3,15,0,0,16,0,0,43,4,11,1,0,14,0,3.636363636,27.45454545,0,312,1,100,0,21,18,135,12,27,1,0,41,0,0,97,8,26,1,0,62,0,13.09090909,65.27272727
