Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
4.751241667,4.751241667,12.82113667,12.82113667,0.258842365,0.258842365,1.406438009,1.406438009,0,120,0,27,0,3,3,38,2,10,0,0,12,0,0,48,3,6,0,0,25,0,4.090909091,22.90909091,0,504,1,84,0,9,20,93,7,16,0,0,46,0,0,95,13,16,0,0,68,0,14.09090909,74.27272727
4.747906667,4.747906667,12.60791167,12.60791167,0.24683694,0.24683694,1.390206178,1.390206178,0,118,1,52,0,11,3,36,6,12,1,0,15,0,0,37,1,8,1,0,13,0,3.727272727,24.90909091,0,276,4,109,0,25,13,79,20,27,1,0,41,0,0,90,12,19,2,0,44,0,12.45454545,56.81818182
4.395676667,4.395676667,12.81139667,12.81139667,0.313786501,0.313786501,1.372080197,1.372080197,0,93,0,51,0,7,6,36,5,9,0,0,12,0,0,29,5,15,0,0,13,0,3.727272727,21.81818182,0,287,2,111,0,23,19,90,12,18,1,0,33,0,0,73,15,24,1,0,48,0,11.90909091,56.90909091
4.277695,4.277695,12.82720333,12.82720333,0.333027646,0.333027646,1.362100924,1.362100924,0,91,0,44,0,8,7,52,2,4,0,0,12,0,0,31,2,8,1,0,21,0,4.090909091,21.63636364,0,230,1,95,0,12,23,102,14,13,2,0,53,0,0,71,11,20,1,0,79,0,16.72727273,49.36363636
4.279251667,4.279251667,12.45169833,12.45169833,0.312663775,0.312663775,1.334218213,1.334218213,0,127,0,44,0,4,5,33,5,10,1,0,15,0,0,36,0,9,1,0,17,0,4,23.90909091,0,295,2,115,0,14,14,92,15,26,1,0,57,0,0,79,8,20,3,0,238,0,30.72727273,58.27272727
4.33893,4.33893,13.012745,13.012745,0.333126101,0.333126101,1.381742718,1.381742718,0,96,0,37,0,5,6,59,5,8,0,0,15,0,0,49,4,10,0,0,20,0,4.545454545,24,0,232,2,92,0,13,22,116,15,21,0,0,49,0,0,95,15,22,0,0,61,0,14.90909091,53.72727273
4.023536667,4.023536667,12.32805167,12.32805167,0.347255061,0.347255061,1.300801937,1.300801937,0,96,1,38,0,14,2,45,5,8,1,0,19,0,0,41,2,11,0,0,13,0,3.909090909,23,0,238,3,85,0,21,16,120,11,27,1,0,61,0,0,103,11,23,2,0,40,0,13.18181818,56.09090909
3.936385,3.936385,12.38419167,12.38419167,0.364288747,0.364288747,1.29674941,1.29674941,0,122,0,54,0,5,6,36,2,10,1,0,8,0,0,46,0,8,0,0,16,0,3,25.54545455,0,266,4,115,0,18,18,74,10,21,2,0,48,0,0,91,9,16,0,0,74,0,15,54.63636364
4.26884,4.26884,12.50700667,12.50700667,0.317368238,0.317368238,1.337361982,1.337361982,0,121,1,40,0,10,3,38,3,9,0,0,19,0,0,46,0,5,0,0,16,0,3.818181818,24.45454545,0,272,6,102,0,20,14,93,12,17,1,0,54,0,0,88,10,14,1,0,61,0,14.45454545,55.09090909
4.276063333,4.276063333,12.52757833,12.52757833,0.317336005,0.317336005,1.339580787,1.339580787,0,88,0,35,0,6,8,35,4,12,0,0,19,0,0,54,1,12,0,0,23,0,5,22,0,233,1,86,0,10,24,113,8,16,0,0,51,0,0,86,6,18,1,0,83,0,15.81818182,51.09090909
4.80904,4.80904,12.43371,12.43371,0.226451317,0.226451317,1.382984956,1.382984956,0,76,1,57,0,7,4,45,0,10,0,0,8,0,0,42,2,13,0,0,20,0,3.181818182,22.72727273,0,234,5,115,0,18,15,109,8,18,1,0,58,0,0,115,12,20,2,0,66,0,15.18181818,57.18181818
4.09583,4.09583,12.44142167,12.44142167,0.341581676,0.341581676,1.316102346,1.316102346,0,103,0,54,0,7,4,44,4,3,0,0,13,0,0,41,4,7,0,0,17,0,3.818181818,23.54545455,0,273,2,112,0,10,22,117,14,15,1,0,50,0,0,88,13,14,1,0,67,0,15.45454545,57.18181818
4.153311667,4.153311667,12.78028333,12.78028333,0.350043883,0.350043883,1.34683386,1.34683386,0,93,0,45,0,4,5,41,2,10,0,0,9,0,0,40,1,8,0,0,18,0,3.181818182,21.90909091,0,206,0,92,0,12,12,87,6,17,0,0,51,0,0,74,9,20,1,0,56,0,12.27272727,46.18181818
4.172926667,4.172926667,12.59064333,12.59064333,0.337138452,0.337138452,1.334533258,1.334533258,0,82,0,41,0,10,2,44,2,12,0,0,6,0,0,43,4,14,0,0,16,0,2.727272727,22.36363636,0,237,4,99,0,16,9,95,11,22,2,0,57,0,0,94,16,24,2,0,63,0,14.90909091,53.36363636
4.176861667,4.176861667,12.59783167,12.59783167,0.33689197,0.33689197,1.335442026,1.335442026,0,110,0,37,0,7,4,41,1,5,0,0,15,0,0,33,3,7,0,0,15,0,3.454545455,21.81818182,0,264,3,91,0,21,16,99,16,17,2,0,39,0,0,86,13,16,1,0,74,0,14.90909091,54
3.971306667,3.971306667,12.614835,12.614835,0.370375171,0.370375171,1.317269043,1.317269043,0,131,0,55,0,10,4,39,2,7,0,0,16,0,0,35,3,6,0,0,19,0,4,25.72727273,0,264,2,111,0,20,17,104,14,15,0,0,51,0,0,90,10,15,1,0,83,0,16.18181818,56.27272727
4.194713333,4.194713333,12.69449833,12.69449833,0.339128932,0.339128932,1.344346289,1.344346289,0,96,1,47,0,7,4,40,2,7,1,0,15,0,0,52,3,17,0,0,24,0,4.545454545,24.18181818,0,259,3,100,0,16,15,82,14,19,1,0,42,0,0,90,18,28,0,0,264,0,32.45454545,54
4.209051667,4.209051667,12.41526,12.41526,0.321955132,0.321955132,1.324858441,1.324858441,0,93,0,28,0,8,5,36,8,9,0,0,14,0,0,41,6,10,0,0,27,0,5.454545455,20.45454545,0,248,3,91,0,12,15,91,23,17,1,0,41,0,0,97,16,19,2,0,71,0,15.63636364,52.27272727
4.157898333,4.157898333,12.68647167,12.68647167,0.344514623,0.344514623,1.34026502,1.34026502,0,90,0,36,0,10,8,48,5,14,1,0,11,0,0,32,2,5,1,0,16,0,4,21.36363636,0,227,1,87,0,20,18,110,14,28,2,0,42,0,0,88,13,12,2,0,243,0,30.45454545,52
4.28461,4.28461,12.59277667,12.59277667,0.319513065,0.319513065,1.345255959,1.345255959,0,92,0,34,0,4,3,37,2,10,0,0,8,0,0,61,5,10,0,0,8,0,2.363636364,22.54545455,0,229,0,86,0,12,14,93,11,18,1,0,41,0,0,104,14,15,0,0,49,0,11.81818182,50.63636364
4.371811667,4.371811667,12.73860833,12.73860833,0.313612358,0.313612358,1.364389592,1.364389592,0,95,0,36,0,10,4,66,9,16,0,0,16,0,0,54,5,8,0,0,15,0,4.454545455,25.90909091,0,215,1,96,0,16,13,124,16,26,1,0,53,0,0,113,14,23,0,0,247,0,31.36363636,55.72727273
4.13667,4.13667,12.70765333,12.70765333,0.348948245,0.348948245,1.339838286,1.339838286,0,94,1,56,0,5,3,64,4,15,0,0,18,0,0,39,4,13,0,0,17,0,4.272727273,26,0,222,1,96,0,10,18,129,15,24,2,0,62,0,0,99,11,20,0,0,65,0,15.81818182,54.54545455
4.148103333,4.148103333,12.48587,12.48587,0.335552375,0.335552375,1.324364458,1.324364458,0,96,1,51,0,6,0,47,5,8,1,0,10,0,0,59,1,4,0,0,15,0,3,24.63636364,0,282,3,103,0,14,12,105,10,23,1,0,39,0,0,99,9,19,2,0,32,0,9.818181818,58.63636364
4.557411667,4.557411667,12.90547333,12.90547333,0.293724213,0.293724213,1.394400188,1.394400188,0,114,0,49,0,3,7,61,6,10,0,0,14,0,0,55,4,8,2,0,11,0,4,27.27272727,0,266,2,123,0,8,20,119,16,17,2,0,42,0,0,125,10,18,3,0,45,0,12.72727273,61.45454545
4.747768333,4.747768333,12.71782667,12.71782667,0.253367976,0.253367976,1.398397809,1.398397809,0,120,1,29,0,11,2,41,3,5,0,0,9,0,0,40,6,16,0,0,18,0,3.545454545,23.81818182,0,284,2,84,0,21,16,109,17,22,1,0,39,0,0,87,16,23,0,0,71,0,14.72727273,57.27272727
4.263438333,4.263438333,12.87608833,12.87608833,0.337774296,0.337774296,1.364401541,1.364401541,0,101,0,40,0,8,5,54,5,8,0,0,19,0,0,37,2,10,1,0,13,0,4.090909091,23.45454545,0,228,0,90,0,14,20,105,16,18,0,0,73,0,0,97,21,22,1,0,45,0,16,52.18181818
4.487748333,4.487748333,12.72557,12.72557,0.294688044,0.294688044,1.374382087,1.374382087,0,118,0,40,0,10,5,42,3,9,0,0,16,0,0,37,0,7,0,0,15,0,3.545454545,23.90909091,0,259,2,284,0,19,23,111,13,26,1,0,54,0,0,81,9,15,1,0,56,0,14.45454545,72.27272727
4.213196667,4.213196667,12.79963333,12.79963333,0.341669162,0.341669162,1.353942423,1.353942423,0,97,0,61,0,10,6,31,3,7,1,0,13,0,0,47,1,9,0,0,9,0,3,23.81818182,0,213,2,141,0,16,18,93,10,13,1,0,53,0,0,104,10,22,1,0,60,0,14.09090909,54.72727273
4.018688333,4.018688333,12.543605,12.543605,0.359245076,0.359245076,1.316433556,1.316433556,0,85,0,53,0,8,5,36,4,8,0,0,16,0,0,58,0,8,0,0,16,0,3.727272727,23.27272727,0,203,0,102,0,16,21,91,14,22,1,0,50,0,0,100,9,18,1,0,68,0,14.90909091,50.18181818
4.56536,4.56536,12.86728,12.86728,0.290392375,0.290392375,1.392300993,1.392300993,0,115,0,65,0,9,4,44,2,6,1,0,17,0,0,36,2,8,0,0,10,0,3.272727273,25.72727273,0,314,1,128,0,21,16,91,17,15,1,0,50,0,0,73,11,20,5,0,51,0,13.81818182,60.18181818
4.307535,4.307535,12.80944167,12.80944167,0.327443754,0.327443754,1.363597473,1.363597473,0,90,2,53,0,10,7,43,1,6,0,0,17,0,0,32,4,7,1,0,11,0,3.909090909,21.90909091,0,220,5,110,0,19,17,106,12,11,1,0,47,0,0,87,13,22,2,0,50,0,13.36363636,52.27272727
4.809098333,4.809098333,12.713325,12.713325,0.243455456,0.243455456,1.403862615,1.403862615,0,101,1,32,0,10,8,54,4,8,0,0,11,0,0,46,4,9,0,0,20,0,4.363636364,23.63636364,0,241,2,89,0,21,22,116,17,23,1,0,35,0,0,107,12,19,1,0,83,0,15.72727273,56
4.49823,4.49823,12.544135,12.544135,0.282815435,0.282815435,1.361830088,1.361830088,0,88,0,39,0,6,5,65,5,8,1,0,16,0,0,51,3,5,1,0,16,0,4.272727273,23.81818182,0,229,3,86,0,15,26,132,14,18,1,0,40,0,0,94,15,22,2,0,60,0,14.63636364,54.18181818
4.314138333,4.314138333,12.62293167,12.62293167,0.316460162,0.316460162,1.350299817,1.350299817,0,118,0,39,0,4,6,39,5,10,1,0,18,0,0,39,1,8,0,0,22,0,4.818181818,23.36363636,0,236,2,101,0,13,16,101,9,21,1,0,54,0,0,97,13,21,0,0,61,0,14.18181818,53.63636364
4.723045,4.723045,12.323915,12.323915,0.233515486,0.233515486,1.366655447,1.366655447,0,98,0,31,0,8,6,48,3,6,0,0,12,0,0,46,4,12,1,0,14,0,3.636363636,22.63636364,0,270,3,95,0,16,15,115,13,21,1,0,59,0,0,114,16,27,1,0,50,0,14.36363636,59.81818182
4.213256667,4.213256667,12.681335,12.681335,0.335518435,0.335518435,1.345117601,1.345117601,0,84,0,43,0,3,5,50,7,11,0,0,8,0,0,38,4,12,1,0,14,0,3.545454545,21.90909091,0,238,2,91,0,8,21,109,20,27,1,0,34,0,0,82,12,23,1,0,61,0,13.81818182,52.54545455
4.84276,4.84276,12.758505,12.758505,0.240857765,0.240857765,1.410418976,1.410418976,0,118,1,52,0,8,3,47,4,5,0,0,10,0,0,45,3,8,0,0,17,0,3.454545455,25.72727273,0,519,3,89,0,17,20,108,15,21,0,0,38,0,0,105,16,20,1,0,48,0,12.81818182,79.90909091
4.745181667,4.745181667,12.60553667,12.60553667,0.247127387,0.247127387,1.389771153,1.389771153,0,98,0,60,0,12,6,40,4,7,0,0,17,0,0,36,3,10,1,0,25,0,5.090909091,23.90909091,0,249,4,138,0,16,13,77,11,18,1,0,46,0,0,87,19,24,1,0,47,0,12.90909091,55.36363636
4.413146667,4.413146667,12.64181833,12.64181833,0.301817737,0.301817737,1.361074236,1.361074236,0,91,0,31,0,13,7,38,2,12,1,0,19,0,0,43,2,7,0,0,18,0,4.454545455,21.36363636,0,227,2,88,0,27,17,97,8,21,2,0,44,0,0,105,11,22,1,0,43,0,11.63636364,53.36363636
