Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
0,0,0,45,1
0,0,0,55,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,48,1
0,0,52,39,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,48,1
0,0,0,0,1
0,0,7,58,1
0,0,0,0,1
0,0,0,0,1
0,0,0,34,1
0,0,0,0,1
0,0,0,49,1
0,0,26,47,1
0,0,0,0,1
0,0,29,46,1
0,0,0,0,1
0,0,49,107,1
0,0,0,58,1
0,0,47,49,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,43,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,36,1
0,0,0,0,1
0,0,0,0,1
0,0,0,52,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,94,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,48,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,47,1
0,0,0,0,1
0,0,0,0,1
0,0,0,16,1
0,0,0,49,1
0,0,0,0,1
0,0,0,40,1
0,0,45,49,1
0,0,0,0,1
0,0,0,49,1
0,0,0,25,1
0,0,0,0,1
0,0,0,47,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,38,58,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,42,1
0,0,0,4,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,57,1
0,0,0,0,2
0,0,0,49,2
0,0,0,0,2
