Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
5.909483333,15.97548333,15.33490167,35.91690167,0.229276658,0.110419742,1.703631641,4.192078157,0,68,3,41,0,2,7,35,7,8,0,0,19,0,0,21,5,9,1,0,18,0,5.454545455,16.72727273,0,152,11,75,0,5,31,78,12,19,1,0,48,0,0,37,13,20,1,0,59,0,16,35.09090909
6.59636,17.67586,16.70960167,41.34160167,0.210470706,0.144887509,1.87121504,4.75783874,0,88,1,49,0,2,7,39,6,9,1,0,16,0,0,13,1,4,0,0,8,0,3.636363636,18.54545455,0,199,5,85,0,4,26,105,14,19,1,0,34,0,0,27,12,13,3,0,30,0,11.36363636,41.09090909
6.211863333,13.69436333,16.23821667,38.25696667,0.234908185,0.284085252,1.799660803,4.150997195,0,58,1,29,0,5,10,48,4,12,0,0,12,0,0,26,3,3,1,0,12,0,3.909090909,16.45454545,0,135,5,65,0,13,25,104,12,26,2,0,34,0,0,41,10,12,2,0,39,0,11.72727273,36
5.828921667,12.70117167,15.911975,37.348225,0.267354094,0.31985139,1.739088013,3.989223224,0,84,3,23,0,3,11,42,6,8,1,0,14,0,0,20,6,9,0,0,8,0,4.454545455,17.18181818,0,156,6,63,0,10,24,114,19,18,2,0,44,0,0,34,19,22,0,0,31,0,13.18181818,37.90909091
6.240123333,16.06362333,16.44541,42.09891,0.24111064,0.236862744,1.8177999,4.661876985,0,54,1,20,0,9,6,39,1,6,0,0,13,0,0,23,5,9,0,0,6,0,2.909090909,14.54545455,0,145,12,70,0,12,20,98,9,15,3,0,37,0,0,43,13,18,1,0,43,0,12.54545455,36.45454545
6.529341667,15.17109167,16.522715,40.815465,0.209652691,0.256600817,1.850925836,4.481653735,0,81,1,48,0,3,11,43,4,11,0,0,9,0,0,15,3,5,0,0,13,0,3.727272727,18.72727273,0,147,4,76,0,6,26,98,18,24,2,0,39,0,0,43,21,18,0,0,65,0,15.90909091,37.45454545
5.398573333,12.29632333,15.41875667,34.25825667,0.299739473,0.282139576,1.66156717,3.720277273,0,45,1,16,0,1,9,26,5,12,0,0,11,0,0,11,11,7,0,0,16,0,4.818181818,10.72727273,0,117,6,50,0,4,29,80,17,20,1,0,49,0,0,35,20,19,1,0,79,0,18.36363636,29.54545455
5.343921667,9.238671667,15.476,30.23125,0.309392393,0.38879989,1.660670983,3.130472408,0,51,3,29,0,3,1,40,4,9,0,0,8,0,0,16,9,9,0,0,14,0,3.545454545,14.27272727,0,123,5,63,0,5,14,79,12,18,2,0,31,0,0,32,208,20,1,0,48,0,29.18181818,30.90909091
5.715505,13.693005,15.02335833,31.31560833,0.23911753,0.125483698,1.662028931,3.632724085,0,70,3,44,0,2,8,35,5,5,1,0,17,0,0,22,7,5,1,0,18,0,5.454545455,16.63636364,0,143,9,95,0,4,31,83,13,13,1,0,43,0,0,44,15,20,2,0,67,0,16.45454545,36.54545455
5.534313333,9.632063333,15.10947667,29.60247667,0.267438118,0.34923936,1.651319488,3.120745552,0,77,3,21,0,0,10,29,7,15,0,0,12,0,0,18,7,10,1,0,17,0,5.181818182,15.45454545,0,147,5,62,0,7,31,81,23,30,1,0,33,0,0,40,24,29,2,0,43,0,14.72727273,36
