Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],FF (HVAC) [kWh],FF (HVAC and Personal Equipment) [kWh],Cost (HVAC) [kWh],Cost (HVAC and Personal Equipment) [kWh],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
8.38729,19.39079,0.0323891913676383,0.00865922276817743,2.08737258945,4.75423475894995,0,51,4,32,0,2,9,21,9,8,0,0,26,0,0,13,4,5,1,0,24,0
7.60023833333333,12.6184883333333,0.0979327482476512,0.238800317385502,1.97669929,3.66833650899999,0,58,2,32,0,0,8,32,7,7,1,0,20,0,0,7,3,8,0,0,9,0
8.04675666666667,14.7440066666667,0.0895914577932869,0.232592459450531,2.08062993842,4.26285650192005,0,44,3,33,0,3,7,33,8,10,0,0,13,0,0,12,2,3,1,0,6,0
7.39925166666667,12.4330016666667,0.127481463247582,0.319823723877537,1.96589736569,3.90488456069,0,62,3,16,0,2,13,40,4,9,1,0,17,0,0,18,6,6,0,0,13,0
8.52461666666667,18.3343666666667,0.0521282484599403,0.159482108178183,2.14893924554,4.99067075653995,0,36,3,18,0,7,4,32,2,8,0,0,12,0,0,12,5,8,1,0,13,0
8.60799666666667,17.8482466666667,0.0507740858725585,0.175702970832028,2.16802405238,4.92073170937996,0,66,2,21,0,2,8,40,5,12,0,0,13,0,0,9,8,6,0,0,15,0
7.69228666666666,14.5242866666667,0.0801619581663878,0.185774087975474,1.97604448352,4.03685871751999,0,43,0,27,0,0,9,27,7,9,0,0,15,0,0,8,6,5,0,0,19,0
7.50571,11.35121,0.0933416440853988,0.283317941043558,1.94582381943,3.43821277293,0,39,4,15,0,2,3,32,6,9,0,0,15,0,0,7,9,11,0,0,14,0
8.12304666666666,15.7740466666667,0.075447055335328,0.216329549324582,2.07997756574,4.49698425973995,0,52,2,28,0,3,11,34,6,8,1,0,16,0,0,14,4,4,0,0,18,0
8.06660833333333,15.5256083333333,0.0541089734926781,0.0926826579100096,2.03614209643,4.02309203443002,0,44,1,20,0,3,4,46,4,7,0,0,12,0,0,13,3,3,0,0,15,0
8.14675833333333,16.3187583333333,0.0545784299892549,0.077244568162223,2.05701173377,4.18369471477006,0,53,1,25,0,3,6,32,7,6,0,0,15,0,0,8,2,5,0,0,18,0
8.735345,17.349845,0.0320191217153253,0.148005320226411,2.17347892062,4.68116942262,0,33,2,22,0,2,6,39,6,5,1,0,9,0,0,12,4,9,1,0,16,0
8.24789666666667,15.6978966666667,0.0891490353653061,0.234856578937962,2.13198125858,4.54768633207999,0,44,3,16,0,0,8,32,2,2,2,0,9,0,0,14,11,6,1,0,12,0
9.41021333333333,24.0637133333333,0.0429412329064808,0.127697446413569,2.35795875748,6.39447556947996,0,41,1,29,0,0,12,33,2,8,0,0,15,0,0,18,6,7,0,0,20,0
7.92809,14.47409,0.0908092848480443,0.22118212883991,2.05168799586,4.14356311686,0,47,1,41,0,0,6,44,3,9,0,0,11,0,0,6,6,10,0,0,15,0
8.37107333333334,15.8165733333333,0.0437531550719465,0.152299873590104,2.09868557767,4.28151737917001,0,45,3,38,0,1,10,41,3,7,0,0,9,0,0,13,4,9,0,0,9,0
7.95488333333333,15.4286333333333,0.0756842322160047,0.2029322430671,2.03724746728,4.34910828327995,0,43,1,32,0,2,8,41,5,9,0,0,17,0,0,13,6,8,1,0,19,0
8.29399166666667,15.7057416666667,0.058838715046132,0.224135148731283,2.1001159019,4.50761240839995,0,52,0,24,0,2,12,33,11,8,2,0,15,0,0,12,2,5,0,0,27,0
7.66208166666667,14.3660816666667,0.0813742991162629,0.175112592864022,1.96992641447,3.95884245046999,0,60,4,28,0,1,9,30,3,5,0,0,9,0,0,11,5,11,0,0,11,0
7.23131166666666,11.0365616666667,0.104716112052786,0.2938234719976,1.88981515967,3.37710946367,0,38,1,25,0,0,9,38,7,7,1,0,9,0,0,12,9,6,0,0,16,0
8.52696333333334,17.1794633333333,0.050243983757435,0.148453665650556,2.1468663358,4.63678361230001,0,36,2,25,0,1,5,35,5,6,0,0,12,0,0,15,12,7,0,0,16,0
8.39478166666667,17.0610316666667,0.0579286984788438,0.136614046547993,2.12435055296,4.56380135846,0,49,1,12,0,3,3,41,5,6,0,0,7,0,0,9,12,9,0,0,15,0
8.13383166666667,15.2950816666667,0.0717446982608544,0.166752749658116,2.07750061349,4.18707308549001,0,43,1,28,0,3,3,42,2,7,0,0,9,0,0,14,4,8,1,0,20,0
8.44692666666666,17.0624266666667,0.0538469235663274,0.128318534339332,2.13177133328,4.53609706328005,0,59,1,30,0,0,11,37,3,10,0,0,12,0,0,12,8,7,1,0,8,0
