Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,11,1
180,0,8,2,1
240,0,0,11,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
229,0,5,16,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,7,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,11,1
240,0,3,13,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,1,1
240,0,0,0,1
240,0,5,3,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,5,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,6,13,1
180,0,0,0,1
180,0,0,0,1
226,0,0,13,1
180,0,0,0,1
180,0,0,0,1
180,0,7,13,1
240,0,0,0,1
180,0,0,2,1
180,0,0,0,1
230,0,0,9,1
180,0,0,0,1
180,0,6,10,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,7,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
227,0,0,2,1
180,0,0,0,1
180,0,0,0,1
180,0,0,11,1
180,0,0,0,1
240,0,0,0,1
240,0,0,11,1
240,0,0,9,1
228,0,0,7,1
180,0,0,11,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
228,0,0,7,1
180,0,0,0,1
180,0,0,0,1
180,0,0,7,1
180,0,0,0,1
180,0,0,0,1
224,0,0,2,1
180,0,0,0,1
180,0,0,0,1
240,0,0,5,1
180,0,0,3,1
240,0,0,0,1
300,0,0,0,1
180,0,0,5,1
180,0,0,0,1
240,0,0,13,1
240,0,0,6,1
180,0,0,0,1
224,0,0,1,1
240,0,8,4,1
180,0,0,5,1
180,0,0,0,1
180,0,0,0,1
180,0,0,3,1
41,0,0,0,2
89,0,0,0,2
97,0,0,0,2
82,0,0,11,2
115,0,8,0,2
203,0,0,11,2
19,0,0,0,2
185,0,0,0,2
38,0,0,0,2
110,0,0,0,2
36,0,5,0,2
60,0,0,0,2
104,0,0,0,2
72,0,0,0,2
22,0,0,0,2
108,0,0,0,2
0,0,0,0,2
0,0,0,0,2
101,0,0,0,2
70,0,0,0,2
