Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
8.418368333,20.21486833,17.59777167,41.44977167,0.0432461,0.024608941,2.109846214,5.006062762,0,64,3,32,0,2,7,29,8,6,0,0,16,0,0,13,3,6,1,0,11,0
8.902741667,21.25349167,18.30306333,44.18006333,0.027185613,0.03786957,2.208307383,5.308105263,0,84,2,40,0,3,11,31,6,11,1,0,12,0,0,5,4,7,0,0,8,0
8.04129,14.74529,17.68702,38.11052,0.09071285,0.226182692,2.080842668,4.239466385,0,56,3,33,0,5,11,29,10,11,0,0,8,0,0,17,2,3,1,0,7,0
7.944191667,15.67169167,17.70558833,41.48383833,0.102634545,0.244443509,2.073044771,4.578893881,0,77,2,27,0,3,13,36,4,7,1,0,11,0,0,18,6,9,0,0,6,0
8.433651667,18.23415167,17.92904833,42.81529833,0.059219261,0.148241289,2.136020251,4.920649761,0,46,2,30,0,7,6,27,7,7,0,0,10,0,0,14,4,6,0,0,10,0
8.487893333,17.14864333,17.857515,41.412265,0.049375758,0.171808481,2.135810968,4.713247214,0,75,2,20,0,2,10,34,7,8,0,0,6,0,0,9,9,6,0,0,10,0
8.339383333,17.91588333,17.362885,39.092135,0.03940119,0.083402156,2.084842147,4.612627418,0,45,0,24,0,1,11,35,6,11,0,0,9,0,0,7,6,6,0,0,13,0
7.686296667,11.55604667,16.56271833,31.31771833,0.071855657,0.262012223,1.963341357,3.430759521,0,47,4,22,0,4,3,25,5,7,0,0,9,0,0,8,9,9,0,0,15,0
7.908665,14.522415,17.399705,38.868955,0.090942634,0.252749913,2.04685155,4.275000115,0,70,2,31,0,3,8,37,6,7,0,0,10,0,0,13,4,4,0,0,12,0
8.072621667,15.52312167,17.38253333,36.83878333,0.071180073,0.157240264,2.061077431,4.21810676,0,59,1,20,0,5,6,42,4,9,0,0,8,0,0,12,2,1,0,0,12,0
7.724955,12.160955,17.02440167,34.46615167,0.092484405,0.294324756,2.001460631,3.722992125,0,59,1,26,0,3,12,26,6,6,0,0,10,0,0,5,4,5,0,0,15,0
8.418368333,20.21486833,17.59777167,41.44977167,0.0432461,0.024608941,2.109846214,5.006062762,0,64,3,32,0,2,7,29,8,6,0,0,16,0,0,13,3,6,1,0,11,0
8.902741667,21.25349167,18.30306333,44.18006333,0.027185613,0.03786957,2.208307383,5.308105263,0,84,2,40,0,3,11,31,6,11,1,0,12,0,0,5,4,7,0,0,8,0
8.04129,14.74529,17.68702,38.11052,0.09071285,0.226182692,2.080842668,4.239466385,0,56,3,33,0,5,11,29,10,11,0,0,8,0,0,17,2,3,1,0,7,0
7.944191667,15.67169167,17.70558833,41.48383833,0.102634545,0.244443509,2.073044771,4.578893881,0,77,2,27,0,3,13,36,4,7,1,0,11,0,0,18,6,9,0,0,6,0
8.433651667,18.23415167,17.92904833,42.81529833,0.059219261,0.148241289,2.136020251,4.920649761,0,46,2,30,0,7,6,27,7,7,0,0,10,0,0,14,4,6,0,0,10,0
8.487893333,17.14864333,17.857515,41.412265,0.049375758,0.171808481,2.135810968,4.713247214,0,75,2,20,0,2,10,34,7,8,0,0,6,0,0,9,9,6,0,0,10,0
8.339383333,17.91588333,17.362885,39.092135,0.03940119,0.083402156,2.084842147,4.612627418,0,45,0,24,0,1,11,35,6,11,0,0,9,0,0,7,6,6,0,0,13,0
7.686296667,11.55604667,16.56271833,31.31771833,0.071855657,0.262012223,1.963341357,3.430759521,0,47,4,22,0,4,3,25,5,7,0,0,9,0,0,8,9,9,0,0,15,0
7.908665,14.522415,17.399705,38.868955,0.090942634,0.252749913,2.04685155,4.275000115,0,70,2,31,0,3,8,37,6,7,0,0,10,0,0,13,4,4,0,0,12,0
8.072621667,15.52312167,17.38253333,36.83878333,0.071180073,0.157240264,2.061077431,4.21810676,0,59,1,20,0,5,6,42,4,9,0,0,8,0,0,12,2,1,0,0,12,0
