Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
6.41216,6.56841,14.02824,14.47874,0.085821172,0.092682098,1.653639744,1.702046517,0,60,4,36,0,2,9,25,9,9,0,0,24,0,0,10,5,5,1,0,27,0,7.181818182,13.36363636,0,158,13,81,0,7,27,71,16,19,1,0,50,0,0,26,21,12,1,0,73,0,18.36363636,34
6.41216,6.62141,14.02824,14.55324,0.085821172,0.090043179,1.653639744,1.712620596,0,74,2,33,0,2,11,25,7,7,1,0,19,0,0,9,3,7,0,0,7,0,4.545454545,14.27272727,0,199,4,80,0,4,36,92,17,19,1,0,42,0,0,27,20,18,3,0,35,0,14.36363636,39.90909091
6.41216,6.61591,14.02824,14.60424,0.085821172,0.093974079,1.653639744,1.71590733,0,51,4,33,0,5,8,32,9,12,0,0,12,0,0,15,2,3,1,0,6,0,3.818181818,13.72727273,0,140,7,69,0,12,25,87,18,24,1,0,42,0,0,34,12,14,2,0,42,0,13.54545455,34.54545455
6.41216,6.63116,14.02824,14.52399,0.085821172,0.086868003,1.653639744,1.711359395,0,76,3,23,0,2,13,33,4,9,1,0,17,0,0,15,6,6,0,0,14,0,5.272727273,14.90909091,0,156,6,78,0,12,32,87,16,20,1,0,57,0,0,29,20,16,0,0,43,0,15.90909091,36.18181818
6.41216,6.57816,14.02824,14.46599,0.085821172,0.090534419,1.653639744,1.702016975,0,44,2,37,0,5,6,28,3,7,0,0,11,0,0,14,5,7,0,0,17,0,4,12.90909091,0,149,8,85,0,11,28,81,12,20,3,0,38,0,0,35,13,14,1,0,66,0,15.36363636,35.90909091
6.41216,6.63691,14.02824,14.50849,0.085821172,0.085099828,1.653639744,1.71074624,0,75,2,20,0,2,9,33,6,7,0,0,14,0,0,9,10,5,0,0,18,0,5.363636364,13.72727273,0,150,5,49,0,6,27,83,15,22,1,0,48,0,0,35,23,15,0,0,77,0,17.81818182,32.72727273
6.41216,6.58441,14.02824,14.46549,0.085821172,0.089638858,1.653639744,1.702570802,0,46,0,24,0,2,12,29,6,11,0,0,13,0,0,8,6,6,0,0,21,0,5.272727273,11.45454545,0,131,3,64,0,5,31,84,17,21,0,0,43,0,0,33,15,18,1,0,84,0,17.63636364,32.36363636
6.41216,6.63841,14.02824,14.56074,0.085821172,0.088176837,1.653639744,1.714788369,0,47,4,18,0,4,3,29,5,13,0,0,12,0,0,9,13,10,0,0,11,0,4.363636364,11.81818182,0,130,8,54,0,6,16,72,14,26,1,0,31,0,0,30,26,21,1,0,59,0,14.18181818,30.81818182
6.41216,6.60091,14.02824,14.49399,0.085821172,0.089152124,1.653639744,1.706258849,0,67,2,28,0,3,8,39,4,6,1,0,17,0,0,13,6,5,0,0,16,0,4.909090909,14.63636364,0,150,5,62,0,7,26,86,11,14,2,0,39,0,0,36,21,11,0,0,59,0,14.81818182,33.27272727
6.41216,6.63116,14.02824,14.53549,0.085821172,0.087590442,1.653639744,1.712217824,0,53,2,17,0,5,8,38,5,6,0,0,10,0,0,12,5,2,0,0,18,0,4.363636364,12.09090909,0,117,5,73,0,10,29,98,12,18,1,0,32,0,0,30,14,13,2,0,48,0,13,32.63636364
6.41216,6.58716,14.02824,14.56199,0.085821172,0.095293981,1.653639744,1.710034247,0,62,1,24,0,3,9,28,8,8,0,0,16,0,0,6,5,6,0,0,20,0,5.363636364,12.45454545,0,205,6,56,0,7,25,69,18,21,0,0,45,0,0,28,16,12,1,0,48,0,14.45454545,36.18181818
6.41216,6.57391,14.02824,14.55449,0.085821172,0.096648526,1.653639744,1.708221164,0,39,1,20,0,3,6,38,5,2,1,0,9,0,0,14,7,8,0,0,19,0,4.363636364,11.27272727,0,138,5,57,0,9,32,314,11,9,1,0,39,0,0,39,20,20,0,0,51,0,14.45454545,53.27272727
6.41216,6.62416,14.02824,14.54649,0.085821172,0.089242835,1.653639744,1.712376842,0,55,1,15,0,1,11,28,1,4,1,0,9,0,0,16,12,7,1,0,18,0,4.909090909,11.45454545,0,148,4,49,0,8,24,78,7,11,1,0,42,0,0,40,27,15,1,0,51,0,14.27272727,31.72727273
6.41216,6.60991,14.02824,14.50874,0.085821172,0.088837487,1.653639744,1.708211133,0,46,2,27,0,1,11,32,2,6,0,0,14,0,0,19,7,7,0,0,20,0,5.090909091,12.54545455,0,119,7,72,0,8,34,99,7,20,1,0,38,0,0,38,16,16,2,0,70,0,15.90909091,33.81818182
6.41216,6.57816,14.02824,14.47874,0.085821172,0.091335296,1.653639744,1.702968711,0,50,1,36,0,0,7,40,4,8,0,0,16,0,0,7,9,9,0,0,16,0,4.818181818,13.63636364,0,150,8,82,0,6,40,114,11,22,1,0,39,0,0,27,20,21,0,0,47,0,15.09090909,38.36363636
6.41216,6.61841,14.02824,14.50874,0.085821172,0.087665779,1.653639744,1.709015097,0,58,2,45,0,2,12,36,5,6,0,0,7,0,0,14,7,9,0,0,8,0,3.727272727,15.45454545,0,145,4,82,0,7,37,121,13,19,1,0,20,0,0,41,16,20,1,0,57,0,13.54545455,39.54545455
6.41216,6.61891,14.02824,14.56524,0.085821172,0.091136157,1.653639744,1.713279888,0,63,3,21,0,4,14,38,4,8,0,0,16,0,0,14,4,7,1,0,16,0,5.272727273,14.09090909,0,163,11,64,0,8,29,85,11,15,2,0,61,0,0,34,18,16,2,0,40,0,15.81818182,35
