Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
9.141853333,24.72185333,19.04128167,51.68128167,0.039785925,0.043295656,2.286028567,6.196092727,0,121,1,39,0,6,5,34,5,7,0,0,15,0,0,36,5,6,1,0,15,0,4.272727273,22.63636364,0,290,5,102,0,19,19,94,10,17,0,0,37,0,0,84,13,18,2,0,45,0,11.90909091,56.72727273
8.298971667,16.73897167,17.31135,35.33135,0.041210343,0.05245785,2.077172968,4.220582848,0,139,0,46,0,9,11,30,5,7,1,0,13,0,0,25,2,7,0,0,6,0,3.454545455,23.90909091,0,563,2,96,0,21,31,110,17,27,1,0,26,0,0,83,16,22,1,0,33,0,11.54545455,83.81818182
8.357761667,15.59776167,17.895135,39.795135,0.065918009,0.21609706,2.126310777,4.445846337,0,76,0,48,0,13,6,31,5,11,0,0,8,0,0,32,3,3,1,0,10,0,3,19.45454545,0,237,0,116,0,31,17,102,14,24,1,0,25,0,0,89,9,15,2,0,37,0,9.545454545,55.81818182
7.991353333,15.37135333,17.23709667,37.95709667,0.072772696,0.190066961,2.042534481,4.287229521,0,130,2,33,0,7,9,42,4,7,1,0,11,0,0,34,6,6,0,0,8,0,3.727272727,23.54545455,0,287,3,99,0,26,21,106,15,17,1,0,41,0,0,84,13,21,0,0,31,0,11.36363636,58.18181818
8.507885,18.127885,17.92233833,43.12233833,0.05058315,0.159234601,2.142540662,4.933517942,0,83,2,36,0,14,5,27,2,9,0,0,10,0,0,37,2,8,0,0,11,0,2.909090909,19.45454545,0,271,7,99,0,26,17,84,8,21,2,0,31,0,0,90,11,15,1,0,42,0,10.81818182,55.09090909
8.554371667,17.63437167,18.01573667,42.43573667,0.050344504,0.168890513,2.153909369,4.835587409,0,123,1,51,0,3,6,37,5,11,0,0,10,0,0,30,5,9,0,0,12,0,3.545454545,24,0,290,1,96,0,12,18,91,15,29,0,0,31,0,0,90,18,21,0,0,55,0,12.54545455,57.18181818
7.738903333,14.37890333,16.845695,35.725695,0.081201063,0.195038566,1.989440182,4.026794422,0,75,0,26,0,9,8,33,4,13,0,0,9,0,0,27,6,7,0,0,15,0,3.818181818,17.27272727,0,222,1,76,0,16,26,99,12,28,0,0,34,0,0,94,17,22,1,0,77,0,15.27272727,50.63636364
7.469596667,11.08959667,16.559055,30.719055,0.097823316,0.27799884,1.942571551,3.341952991,0,81,3,51,0,9,2,30,4,12,0,0,9,0,0,30,8,11,0,0,13,0,3.545454545,20.36363636,0,252,3,107,0,18,11,74,11,26,1,0,23,0,0,80,17,22,0,0,54,0,10.90909091,52.63636364
7.904408333,14.32440833,17.27787333,37.95787333,0.085025318,0.245247055,2.037354691,4.188263251,0,118,1,32,0,5,7,43,3,7,0,0,14,0,0,41,6,5,0,0,14,0,4.090909091,22.81818182,0,275,2,80,0,16,18,102,8,13,2,0,29,0,0,99,21,16,1,0,50,0,11.90909091,54.63636364
8.147803333,15.38780333,17.214565,34.554565,0.053382606,0.109362058,2.055650249,4.034800049,0,109,0,33,0,10,11,43,3,7,0,0,11,0,0,30,2,3,0,0,11,0,3.454545455,21.36363636,0,232,0,99,0,26,33,97,10,20,1,0,33,0,0,86,9,14,1,0,41,0,11.63636364,52.18181818
7.52677,11.14677,16.77187,32.07187,0.102453096,0.304888053,1.963865022,3.448342902,0,112,0,31,0,12,10,27,8,6,0,0,13,0,0,29,6,6,0,0,15,0,4.727272727,20.27272727,0,365,1,85,0,20,22,74,19,21,0,0,38,0,0,99,17,16,1,0,41,0,12.63636364,61.81818182
8.477201667,16.91720167,17.905305,39.745305,0.053107259,0.148719494,2.138367039,4.566924639,0,75,0,25,0,7,5,36,4,6,1,0,6,0,0,37,7,11,0,0,16,0,3.545454545,17.90909091,0,250,1,89,0,23,23,328,8,12,1,0,24,0,0,97,21,29,0,0,39,0,10.63636364,75.27272727
8.44179,15.68179,18.12642167,40.84642167,0.068565197,0.232158443,2.151523137,4.532268417,0,104,1,30,0,9,8,34,3,4,1,0,6,0,0,42,10,9,1,0,12,0,3.818181818,21.09090909,0,283,2,98,0,25,18,88,8,12,1,0,29,0,0,92,22,17,1,0,35,0,10.54545455,55.90909091
9.164305,23.604305,19.09046,51.19046,0.039907367,0.077785001,2.291823101,6.053752661,0,87,0,34,0,5,9,38,2,8,0,0,7,0,0,53,3,5,0,0,17,0,3.454545455,20.90909091,0,221,0,94,0,17,25,105,7,22,1,0,26,0,0,120,10,24,2,0,56,0,11.54545455,54.81818182
8.46256,16.90256,17.798575,39.158575,0.049074434,0.136712202,2.129015204,4.521742724,0,96,1,41,0,3,6,45,3,9,0,0,8,0,0,20,7,11,0,0,5,0,2.727272727,20.45454545,0,274,2,109,0,13,28,130,12,24,0,0,25,0,0,68,19,27,0,0,26,0,10.18181818,58.63636364
8.21638,16.35638,17.41922833,36.51922833,0.056631001,0.104231894,2.077413804,4.273066164,0,103,0,57,0,7,9,41,2,7,0,0,3,0,0,49,5,11,0,0,8,0,2.454545455,25,0,271,1,104,0,18,23,137,12,21,1,0,16,0,0,111,14,24,0,0,50,0,10.63636364,62.36363636
7.951836667,15.25183667,17.04025667,36.62025667,0.066699895,0.16702732,2.024103518,4.176135398,0,106,2,32,0,13,5,43,2,8,0,0,15,0,0,36,5,12,0,0,14,0,3.909090909,22.72727273,0,289,7,96,0,27,15,96,6,17,2,0,44,0,0,91,16,21,1,0,35,0,11.45454545,57.90909091
9.141853333,24.72185333,19.04128167,51.68128167,0.039785925,0.043295656,2.286028567,6.196092727,0,121,1,39,0,6,5,34,5,7,0,0,15,0,0,36,5,6,1,0,15,0,4.272727273,22.63636364,0,290,5,102,0,19,19,94,10,17,0,0,37,0,0,84,13,18,2,0,45,0,11.90909091,56.72727273
8.298971667,16.73897167,17.31135,35.33135,0.041210343,0.05245785,2.077172968,4.220582848,0,139,0,46,0,9,11,30,5,7,1,0,13,0,0,25,2,7,0,0,6,0,3.454545455,23.90909091,0,563,2,96,0,21,31,110,17,27,1,0,26,0,0,83,16,22,1,0,33,0,11.54545455,83.81818182
8.357761667,15.59776167,17.895135,39.795135,0.065918009,0.21609706,2.126310777,4.445846337,0,76,0,48,0,13,6,31,5,11,0,0,8,0,0,32,3,3,1,0,10,0,3,19.45454545,0,237,0,116,0,31,17,102,14,24,1,0,25,0,0,89,9,15,2,0,37,0,9.545454545,55.81818182
9.141853333,24.72185333,19.04128167,51.68128167,0.039785925,0.043295656,2.286028567,6.196092727,0,121,1,39,0,6,5,34,5,7,0,0,15,0,0,36,5,6,1,0,15,0,4.272727273,22.63636364,0,290,5,102,0,19,19,94,10,17,0,0,37,0,0,84,13,18,2,0,45,0,11.90909091,56.72727273
8.298971667,16.73897167,17.31135,35.33135,0.041210343,0.05245785,2.077172968,4.220582848,0,139,0,46,0,9,11,30,5,7,1,0,13,0,0,25,2,7,0,0,6,0,3.454545455,23.90909091,0,563,2,96,0,21,31,110,17,27,1,0,26,0,0,83,16,22,1,0,33,0,11.54545455,83.81818182
8.357761667,15.59776167,17.895135,39.795135,0.065918009,0.21609706,2.126310777,4.445846337,0,76,0,48,0,13,6,31,5,11,0,0,8,0,0,32,3,3,1,0,10,0,3,19.45454545,0,237,0,116,0,31,17,102,14,24,1,0,25,0,0,89,9,15,2,0,37,0,9.545454545,55.81818182
7.991353333,15.37135333,17.23709667,37.95709667,0.072772696,0.190066961,2.042534481,4.287229521,0,130,2,33,0,7,9,42,4,7,1,0,11,0,0,34,6,6,0,0,8,0,3.727272727,23.54545455,0,287,3,99,0,26,21,106,15,17,1,0,41,0,0,84,13,21,0,0,31,0,11.36363636,58.18181818
8.507885,18.127885,17.92233833,43.12233833,0.05058315,0.159234601,2.142540662,4.933517942,0,83,2,36,0,14,5,27,2,9,0,0,10,0,0,37,2,8,0,0,11,0,2.909090909,19.45454545,0,271,7,99,0,26,17,84,8,21,2,0,31,0,0,90,11,15,1,0,42,0,10.81818182,55.09090909
