Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
6.126478333,6.126478333,13.87973833,13.87973833,0.1172055,0.1172055,1.615533774,1.615533774,0,120,2,40,0,5,9,32,8,7,0,0,24,0,0,36,8,5,0,0,22,0,6.636363636,22.27272727,0,280,6,99,0,17,21,94,12,17,1,0,50,0,0,75,17,11,1,0,69,0,16.09090909,53.90909091
6.292696667,6.292696667,13.94987667,13.94987667,0.09781329,0.09781329,1.636490915,1.636490915,0,144,2,48,0,8,8,34,5,6,1,0,17,0,0,24,2,8,0,0,8,0,3.909090909,24.72727273,0,565,6,96,0,15,29,106,16,18,1,0,40,0,0,70,15,18,0,0,38,0,13.18181818,80.72727273
6.659726667,6.659726667,14.19004167,14.19004167,0.061352063,0.061352063,1.689133437,1.689133437,0,73,1,43,0,12,7,36,5,14,0,0,12,0,0,34,4,3,1,0,11,0,3.727272727,19.54545455,0,219,2,107,0,34,20,106,13,29,0,0,38,0,0,87,11,14,2,0,49,0,12.27272727,54.18181818
5.88249,5.88249,14.00513667,14.00513667,0.159952503,0.159952503,1.601816866,1.601816866,0,126,1,39,0,9,7,49,4,7,1,0,17,0,0,35,5,9,0,0,13,0,4.363636364,24.90909091,0,274,3,91,0,28,22,119,16,18,1,0,55,0,0,78,14,20,0,0,44,0,14.09090909,57.09090909
6.46001,6.46001,14.27148667,14.27148667,0.094696979,0.094696979,1.67632298,1.67632298,0,82,2,38,0,15,5,34,3,8,0,0,13,0,0,40,6,11,1,0,20,0,4.545454545,20.72727273,0,259,7,99,0,26,18,91,8,20,3,0,41,0,0,90,14,18,3,0,63,0,14.27272727,54.81818182
6.412128333,6.412128333,14.08507333,14.08507333,0.089514384,0.089514384,1.65787913,1.65787913,0,119,0,47,0,2,8,39,6,9,0,0,15,0,0,33,7,5,0,0,17,0,4.818181818,23.09090909,0,277,0,91,0,10,21,87,19,27,1,0,47,0,0,95,19,16,0,0,75,0,16.54545455,54.81818182
6.085238333,6.085238333,14.28669833,14.28669833,0.148125313,0.148125313,1.642011066,1.642011066,0,72,0,27,0,8,7,32,6,12,0,0,13,0,0,29,7,6,0,0,20,0,4.818181818,16.90909091,0,220,0,73,0,14,26,84,18,24,0,0,50,0,0,87,15,16,0,0,87,0,17.81818182,47.09090909
6.194195,6.194195,14.00980833,14.00980833,0.115734512,0.115734512,1.631647893,1.631647893,0,83,3,49,0,8,2,36,4,12,0,0,14,0,0,33,9,14,0,0,14,0,4.181818182,21.36363636,0,245,3,104,0,12,12,82,9,26,1,0,36,0,0,78,21,28,1,0,62,0,13.18181818,52.27272727
5.876273333,5.876273333,13.91899833,13.91899833,0.155647096,0.155647096,1.594798987,1.594798987,0,119,1,33,0,4,7,52,3,6,0,0,16,0,0,45,9,5,0,0,16,0,4.727272727,24,0,271,2,83,0,12,20,111,11,14,2,0,44,0,0,107,23,15,0,0,60,0,14.72727273,55.72727273
6.065216667,6.065216667,14.11624667,14.11624667,0.140675732,0.140675732,1.627393802,1.627393802,0,108,0,33,0,13,11,47,5,7,0,0,15,0,0,37,1,2,0,0,14,0,4.181818182,22.45454545,0,226,0,93,0,32,33,103,12,15,1,0,39,0,0,88,10,13,2,0,46,0,13,51.81818182
7.085666667,7.085666667,14.12293667,14.12293667,-0.003426813,-0.003426813,1.724411426,1.724411426,0,109,0,28,0,11,9,23,7,7,0,0,16,0,0,24,6,5,0,0,18,0,5.090909091,18.81818182,0,356,1,77,0,17,17,66,16,22,0,0,44,0,0,95,17,14,1,0,49,0,13.18181818,58.81818182
6.077138333,6.077138333,14.183845,14.183845,0.143090138,0.143090138,1.633567346,1.633567346,0,80,0,24,0,4,6,40,4,5,1,0,7,0,0,45,5,12,0,0,23,0,4.181818182,19.09090909,0,244,0,77,0,18,23,330,10,11,2,0,38,0,0,101,21,26,0,0,56,0,13.63636364,73.36363636
5.985435,5.985435,13.83000167,13.83000167,0.134427436,0.134427436,1.598480688,1.598480688,0,107,1,32,0,8,8,39,3,4,1,0,9,0,0,47,10,10,0,0,14,0,4.181818182,22.45454545,0,272,2,94,0,23,20,90,9,14,1,0,38,0,0,87,25,18,0,0,51,0,13.27272727,54.36363636
5.957546667,5.957546667,13.82056833,13.82056833,0.137872405,0.137872405,1.595138738,1.595138738,0,85,2,35,0,5,8,33,4,6,0,0,14,0,0,49,3,7,0,0,22,0,4.818181818,20,0,221,2,86,0,15,22,94,12,20,2,0,43,0,0,108,12,20,2,0,79,0,15.81818182,51.27272727
6.173388333,6.173388333,14.27498,14.27498,0.135075729,0.135075729,1.649473919,1.649473919,0,93,1,41,0,3,5,44,4,12,0,0,12,0,0,27,7,11,0,0,14,0,3.909090909,21,0,263,4,102,0,15,28,126,11,22,0,0,36,0,0,65,17,23,0,0,47,0,13,56
6.185245,6.185245,14.11333333,14.11333333,0.123489136,0.123489136,1.638529093,1.638529093,0,101,1,54,0,9,9,45,4,9,0,0,6,0,0,52,7,8,0,0,8,0,3.181818182,25.27272727,0,259,3,100,0,17,25,140,13,21,1,0,24,0,0,117,17,19,0,0,56,0,12.63636364,61.18181818
6.013016667,6.013016667,14.17157833,14.17157833,0.151397745,0.151397745,1.626586805,1.626586805,0,110,1,35,0,12,5,47,3,7,0,0,17,0,0,43,4,13,1,0,16,0,4.272727273,24.27272727,0,292,5,104,0,26,18,93,10,17,1,0,63,0,0,94,14,19,2,0,41,0,14,58.63636364
6.155845,6.155845,14.007445,14.007445,0.121060979,0.121060979,1.627844183,1.627844183,0,116,0,24,0,4,8,41,6,11,1,0,13,0,0,35,4,6,0,0,24,0,5.090909091,21.54545455,0,255,1,93,0,14,27,104,9,19,1,0,35,0,0,78,12,10,1,0,85,0,15.54545455,52.09090909
6.167925,6.167925,14.01009667,14.01009667,0.119502863,0.119502863,1.629184694,1.629184694,0,127,2,48,0,11,6,38,2,8,0,0,10,0,0,33,8,8,0,0,12,0,3.636363636,24.81818182,0,275,5,112,0,22,19,116,9,19,1,0,50,0,0,92,21,20,1,0,32,0,12.54545455,59.63636364
