Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins],Peak Occ#1 In-Office Duration [mins],Daily Occ#1 In-Office Duration [mins],Peak Occ#2 In-Office Duration [mins],Daily Occ#2 In-Office Duration [mins],Peak Occ#3 In-Office Duration [mins],Daily Occ#3 In-Office Duration [mins],Peak Occ#4 In-Office Duration [mins],Daily Occ#4 In-Office Duration [mins],Peak Occ#5 In-Office Duration [mins],Daily Occ#5 In-Office Duration [mins],Peak Occ#6 In-Office Duration [mins],Daily Occ#6 In-Office Duration [mins],Peak Occ#7 In-Office Duration [mins],Daily Occ#7 In-Office Duration [mins],Peak Occ#8 In-Office Duration [mins],Daily Occ#8 In-Office Duration [mins],Peak Occ#9 In-Office Duration [mins],Daily Occ#9 In-Office Duration [mins],Peak Occ#10 In-Office Duration [mins],Daily Occ#10 In-Office Duration [mins],Peak Occ#11 In-Office Duration [mins],Daily Occ#11 In-Office Duration [mins]
8.36130833333333,18.1933083333333,18.332725,45.930475,0.0878270051688082,0.207789236521794,2.15931057775,5.14932211224995,0,55,1,21,0,1,10,40,7,12,1,0,4,0,0,9,6,4,0,0,10,0,3.54545454545455,12.9090909090909,0,138,3,63,0,5,17,73,12,21,1,0,16,0,0,30,21,14,0,0,62,0,12,31.2727272727273,180,480,240,600,240,540,240,540,180,480,180,540,180,540,180,540,180,540,180,600,300,960
8.099845,19.756345,18.2486883333333,46.1831883333333,0.112281951223343,0.144435639332393,2.12830732881,5.31602441180996,0,66,3,33,0,3,7,28,6,8,0,0,15,0,0,14,6,6,0,0,13,0,4.54545454545455,14.3636363636364,0,165,9,70,0,8,22,82,12,20,0,0,35,0,0,33,17,18,0,0,41,0,12.3636363636364,36,240,600,180,540,180,600,180,540,240,540,180,480,240,600,180,480,180,540,180,540,300,900
8.65153,20.80853,18.2122333333333,43.8972333333333,0.0499210237807192,0.0519434406268582,2.17776668292,5.24490688092005,0,80,2,39,0,3,10,33,6,11,1,0,14,0,0,5,6,7,0,0,8,0,4.27272727272727,16.1818181818182,0,216,5,85,0,7,29,105,13,23,1,0,31,0,0,18,18,19,2,0,24,0,11.1818181818182,43,300,840,240,540,180,540,180,600,180,540,240,600,240,600,180,540,180,480,180,600,180,480
8.099845,19.756345,18.2486883333333,46.1831883333333,0.112281951223343,0.144435639332393,2.12830732881,5.31602441180996,0,66,3,33,0,3,7,28,6,8,0,0,15,0,0,14,6,6,0,0,13,0,4.54545454545455,14.3636363636364,0,165,9,70,0,8,22,82,12,20,0,0,35,0,0,33,17,18,0,0,41,0,12.3636363636364,36,240,600,180,540,180,600,180,540,240,540,180,480,240,600,180,480,180,540,180,540,300,900
8.65153,20.80853,18.2122333333333,43.8972333333333,0.0499210237807192,0.0519434406268582,2.17776668292,5.24490688092005,0,80,2,39,0,3,10,33,6,11,1,0,14,0,0,5,6,7,0,0,8,0,4.27272727272727,16.1818181818182,0,216,5,85,0,7,29,105,13,23,1,0,31,0,0,18,18,19,2,0,24,0,11.1818181818182,43,300,840,240,540,180,540,180,600,180,540,240,600,240,600,180,540,180,480,180,600,180,480
7.80019666666667,11.6174466666667,17.286985,34.693735,0.097564246551187,0.330285616889235,2.02817808383,3.68857311833,0,49,3,38,0,4,11,29,10,10,0,0,9,0,0,13,4,3,1,0,7,0,4.09090909090909,13.2727272727273,0,137,6,78,0,12,26,98,19,25,1,0,27,0,0,33,13,13,2,0,34,0,11.6363636363636,36,180,540,240,660,240,780,240,600,180,540,240,600,180,540,240,540,180,480,180,480,180,600
8.13836166666667,15.7253616666667,17.5737433333333,40.1482433333333,0.0738044237587023,0.216635132147334,2.08156844474,4.48427337973994,0,72,3,17,0,3,11,42,7,7,0,0,11,0,0,16,6,6,1,0,10,0,4.45454545454545,14.8181818181818,0,160,5,73,0,14,27,104,18,18,0,0,34,0,0,40,15,18,1,0,30,0,11.8181818181818,38.8181818181818,240,600,180,540,240,660,240,660,240,540,180,540,240,780,180,480,180,540,180,480,180,540
8.28173333333333,18.0584833333333,17.8783283333333,42.7800783333333,0.0735450005253096,0.155752675690519,2.11786516237,4.90140531486995,0,47,1,33,0,11,4,29,2,12,0,0,7,0,0,14,5,6,0,0,11,0,2.72727272727273,13.8181818181818,0,158,11,92,0,16,24,82,7,23,2,0,29,0,0,34,13,14,1,0,45,0,12,38.0909090909091,180,600,180,600,240,540,180,540,180,540,180,540,180,480,180,540,240,540,240,540,300,900
8.57221666666666,17.2262166666667,17.9246566666667,41.6934066666667,0.0435279374016841,0.173671904318684,2.14879846274,4.74157051123997,0,75,2,25,0,2,10,35,6,8,0,0,7,0,0,8,10,4,0,0,11,0,4.18181818181818,14.2727272727273,0,166,5,59,0,7,26,88,14,28,1,0,33,0,0,38,24,20,1,0,53,0,14.2727272727273,36.9090909090909,240,600,240,540,180,480,240,600,180,600,180,480,240,600,180,540,180,600,180,540,240,780
8.099845,19.756345,18.2486883333333,46.1831883333333,0.112281951223343,0.144435639332393,2.12830732881,5.31602441180996,0,66,3,33,0,3,7,28,6,8,0,0,15,0,0,14,6,6,0,0,13,0,4.54545454545455,14.3636363636364,0,165,9,70,0,8,22,82,12,20,0,0,35,0,0,33,17,18,0,0,41,0,12.3636363636364,36,240,600,180,540,180,600,180,540,240,540,180,480,240,600,180,480,180,540,180,540,300,900
8.65153,20.80853,18.2122333333333,43.8972333333333,0.0499210237807192,0.0519434406268582,2.17776668292,5.24490688092005,0,80,2,39,0,3,10,33,6,11,1,0,14,0,0,5,6,7,0,0,8,0,4.27272727272727,16.1818181818182,0,216,5,85,0,7,29,105,13,23,1,0,31,0,0,18,18,19,2,0,24,0,11.1818181818182,43,300,840,240,540,180,540,180,600,180,540,240,600,240,600,180,540,180,480,180,600,180,480
7.80019666666667,11.6174466666667,17.286985,34.693735,0.097564246551187,0.330285616889235,2.02817808383,3.68857311833,0,49,3,38,0,4,11,29,10,10,0,0,9,0,0,13,4,3,1,0,7,0,4.09090909090909,13.2727272727273,0,137,6,78,0,12,26,98,19,25,1,0,27,0,0,33,13,13,2,0,34,0,11.6363636363636,36,180,540,240,660,240,780,240,600,180,540,240,600,180,540,240,540,180,480,180,480,180,600
8.13836166666667,15.7253616666667,17.5737433333333,40.1482433333333,0.0738044237587023,0.216635132147334,2.08156844474,4.48427337973994,0,72,3,17,0,3,11,42,7,7,0,0,11,0,0,16,6,6,1,0,10,0,4.45454545454545,14.8181818181818,0,160,5,73,0,14,27,104,18,18,0,0,34,0,0,40,15,18,1,0,30,0,11.8181818181818,38.8181818181818,240,600,180,540,240,660,240,660,240,540,180,540,240,780,180,480,180,540,180,480,180,540
8.28173333333333,18.0584833333333,17.8783283333333,42.7800783333333,0.0735450005253096,0.155752675690519,2.11786516237,4.90140531486995,0,47,1,33,0,11,4,29,2,12,0,0,7,0,0,14,5,6,0,0,11,0,2.72727272727273,13.8181818181818,0,158,11,92,0,16,24,82,7,23,2,0,29,0,0,34,13,14,1,0,45,0,12,38.0909090909091,180,600,180,600,240,540,180,540,180,540,180,540,180,480,180,540,240,540,240,540,300,900
8.57221666666666,17.2262166666667,17.9246566666667,41.6934066666667,0.0435279374016841,0.173671904318684,2.14879846274,4.74157051123997,0,75,2,25,0,2,10,35,6,8,0,0,7,0,0,8,10,4,0,0,11,0,4.18181818181818,14.2727272727273,0,166,5,59,0,7,26,88,14,28,1,0,33,0,0,38,24,20,1,0,53,0,14.2727272727273,36.9090909090909,240,600,240,540,180,480,240,600,180,600,180,480,240,600,180,540,180,600,180,540,240,780
