Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Cool Duration [mins],Warm Duration [mins],Occupant #
180,0,0,0,180,0,55,1
240,0,0,0,240,0,66,1
300,0,0,0,300,0,80,1
240,0,0,0,240,0,66,1
300,0,0,0,300,0,80,1
180,0,0,56,180,0,49,1
240,0,0,56,240,0,72,1
180,0,53,58,180,0,47,1
240,0,0,57,240,0,75,1
240,0,0,0,240,0,66,1
300,0,0,0,300,0,80,1
180,0,0,56,180,0,49,1
240,0,0,56,240,0,72,1
180,0,53,58,180,0,47,1
240,0,0,57,240,0,75,1
180,0,0,0,180,0,46,1
180,0,0,0,180,0,48,1
240,0,0,0,240,0,66,1
240,0,0,0,240,0,64,1
229,0,0,33,240,0,58,1
180,0,0,0,180,0,42,1
240,0,0,0,240,0,59,1
180,0,0,0,180,0,51,1
180,0,0,0,180,0,55,1
180,0,0,59,180,0,61,1
240,0,0,0,240,0,69,1
240,0,0,0,240,0,72,1
240,0,0,0,240,0,74,1
180,0,0,0,180,0,52,1
180,0,0,30,180,0,50,1
180,0,0,9,180,0,57,1
240,0,33,57,240,0,57,1
300,0,0,0,300,0,80,1
180,0,0,0,180,0,53,1
180,0,0,0,180,0,44,1
180,0,0,0,180,0,56,1
180,0,0,0,180,0,47,1
240,0,0,21,240,0,79,1
240,0,0,0,240,0,70,1
240,0,20,57,240,0,73,1
240,0,0,0,240,0,83,1
180,0,0,55,180,0,33,1
240,0,0,0,240,0,76,1
180,0,0,0,180,0,58,1
180,0,0,50,180,0,57,1
240,0,0,0,240,0,66,1
240,0,0,0,240,0,72,1
180,0,0,0,180,0,61,1
240,0,7,55,240,0,81,1
180,0,0,0,180,0,62,1
180,0,0,0,180,0,62,1
240,0,0,0,240,0,75,1
180,0,0,0,180,0,51,1
240,0,0,0,240,0,71,1
240,0,0,0,240,0,63,1
180,0,5,47,180,0,42,1
180,0,0,0,180,0,61,1
180,0,0,0,180,0,49,1
180,0,0,47,180,0,46,1
180,0,0,0,180,0,55,1
180,0,0,57,180,0,59,1
180,0,0,59,180,0,49,1
240,0,0,0,240,0,64,1
180,0,0,0,180,0,52,1
240,0,0,0,240,0,69,1
180,0,0,57,180,0,49,1
180,0,0,0,180,0,46,1
228,0,0,81,240,0,60,1
180,0,0,39,180,0,52,1
180,0,0,31,180,0,48,1
180,0,0,0,180,0,59,1
180,0,0,0,180,0,52,1
180,0,0,0,180,0,48,1
180,0,7,56,180,0,52,1
180,0,0,57,180,0,57,1
227,0,0,31,240,0,78,1
180,0,0,0,180,0,54,1
180,0,0,0,180,0,47,1
180,0,31,48,180,0,40,1
240,0,0,0,240,0,79,1
180,0,0,42,180,0,44,1
180,0,22,58,180,0,49,1
180,0,0,0,180,0,55,1
180,0,0,57,180,0,49,1
240,0,0,0,240,0,80,1
180,0,0,0,180,0,57,1
180,0,0,0,180,0,53,1
240,0,0,0,240,0,77,1
240,0,0,0,240,0,86,1
180,0,0,0,180,0,58,1
240,0,0,0,240,0,70,1
240,0,0,20,240,0,73,1
180,0,0,0,180,0,41,1
180,0,0,0,180,0,35,1
300,0,0,0,300,0,88,1
240,0,0,0,240,0,88,1
180,0,0,0,180,0,60,1
180,0,0,0,180,0,45,1
227,0,0,13,240,0,68,1
300,0,0,0,300,0,86,1
178,0,0,0,240,1,21,2
41,0,0,0,180,3,33,2
84,0,0,0,240,2,39,2
41,0,0,0,180,3,33,2
84,0,0,0,240,2,39,2
97,0,0,56,240,3,38,2
80,0,0,0,180,3,17,2
57,0,53,0,180,1,33,2
203,0,0,57,240,2,25,2
41,0,0,0,180,3,33,2
84,0,0,0,240,2,39,2
97,0,0,56,240,3,38,2
80,0,0,0,180,3,17,2
57,0,53,0,180,1,33,2
203,0,0,57,240,2,25,2
19,0,0,0,180,0,26,2
200,0,0,0,240,4,18,2
93,0,0,0,180,3,26,2
110,0,0,0,180,1,21,2
35,0,0,0,180,1,24,2
98,0,0,0,180,2,17,2
166,0,0,0,180,2,10,2
