Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
6.41216,6.59191,14.02824,14.50774,0.085821172,0.091256116,1.653639744,1.706433975,0,49,4,30,0,2,9,28,10,8,0,0,33,0,0,13,8,3,1,0,30,0,8.636363636,12.09090909,0,131,14,66,0,5,33,73,16,18,1,0,59,0,0,28,19,10,1,0,82,0,20.45454545,30.09090909
6.41216,6.60916,14.02824,14.55324,0.085821172,0.091726653,1.653639744,1.711461942,0,53,2,30,0,0,11,32,7,6,1,0,26,0,0,7,4,7,0,0,12,0,5.727272727,12.27272727,0,157,6,66,0,2,35,97,13,13,1,0,53,0,0,20,14,19,2,0,38,0,14.72727273,34
6.41216,6.60491,14.02824,14.57674,0.085821172,0.093774054,1.653639744,1.712814141,0,39,4,31,0,3,6,32,8,10,0,0,15,0,0,10,1,3,1,0,9,0,4,11.63636364,0,106,8,64,0,10,25,80,16,25,2,0,52,0,0,22,9,11,2,0,48,0,14.72727273,28.90909091
6.41216,6.62566,14.02824,14.47249,0.085821172,0.084378707,1.653639744,1.706994914,0,59,3,16,0,2,15,38,4,7,1,0,20,0,0,15,5,7,0,0,13,0,5.545454545,13.09090909,0,130,5,64,0,9,27,104,15,15,1,0,72,0,0,30,18,19,0,0,42,0,16.36363636,33.72727273
6.41216,6.57341,14.02824,14.44799,0.085821172,0.090058894,1.653639744,1.700224073,0,32,2,32,0,5,8,25,6,7,0,0,15,0,0,13,4,6,1,0,25,0,5.545454545,10.90909091,0,123,9,78,0,8,18,83,17,16,3,0,44,0,0,30,13,13,3,0,77,0,16.72727273,31.90909091
6.41216,6.60791,14.02824,14.48699,0.085821172,0.087745626,1.653639744,1.706398415,0,57,2,16,0,2,9,33,8,8,0,0,20,0,0,7,8,8,0,0,16,0,5.727272727,11.90909091,0,119,5,44,0,4,25,79,23,19,2,0,58,0,0,32,24,18,0,0,81,0,19.81818182,28.63636364
6.41216,6.59016,14.02824,14.54399,0.085821172,0.093761753,1.653639744,1.708974371,0,39,0,23,0,0,11,28,6,11,0,0,18,0,0,5,8,5,0,0,22,0,5.909090909,10.09090909,0,112,4,55,0,4,32,80,23,18,1,0,54,0,0,27,23,15,1,0,92,0,20.90909091,28.27272727
6.41216,6.63641,14.02824,14.59674,0.085821172,0.090699704,1.653639744,1.717286457,0,38,4,15,0,2,4,31,5,8,0,0,19,0,0,9,9,11,0,0,16,0,5.181818182,10.36363636,0,101,8,42,0,4,17,66,14,15,2,0,43,0,0,26,204,23,1,0,65,0,32.18181818,25.18181818
6.41216,6.60666,14.02824,14.49874,0.085821172,0.088657359,1.653639744,1.707157275,0,50,2,27,0,2,12,32,3,7,0,0,24,0,0,13,3,3,0,0,20,0,5.818181818,12.18181818,0,122,5,60,0,6,29,89,13,13,2,0,55,0,0,36,17,15,0,0,71,0,17.45454545,31
6.41216,6.63241,14.02824,14.54574,0.085821172,0.088061522,1.653639744,1.713101175,0,40,1,15,0,3,5,41,4,7,0,0,16,0,0,11,3,2,0,0,19,0,4.363636364,10.81818182,0,96,4,63,0,6,28,94,14,14,1,0,42,0,0,28,11,16,2,0,55,0,14.27272727,28.81818182
