Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
229,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
226,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
230,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
227,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
240,0,0,0,1
228,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
228,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
224,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
224,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
41,0,0,0,2
84,0,0,0,2
97,0,0,0,2
82,0,0,0,2
0,0,0,0,2
203,0,0,0,2
19,0,0,0,2
185,0,0,0,2
38,0,0,0,2
110,0,0,0,2
36,0,0,0,2
24,0,0,0,2
104,0,0,0,2
26,0,0,0,2
59,0,0,0,2
59,0,0,0,2
0,0,0,0,2
24,0,0,0,2
101,0,0,0,2
70,0,0,0,2
