Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
8.521875,16.961875,17.97635333,40.29635333,0.051879451,0.158143425,2.147895896,4.612283576,0,105,0,37,0,5,5,33,4,8,0,0,20,0,0,49,4,7,0,0,5,0,3.454545455,22.18181818,0,242,0,106,0,11,13,86,12,25,1,0,42,0,0,101,15,20,1,0,33,0,10.63636364,53.72727273
8.293036667,15.53303667,17.65761167,37.89761167,0.060684217,0.180263031,2.102458661,4.298081861,0,124,0,43,0,7,9,32,4,5,0,0,10,0,0,37,4,7,1,0,14,0,3.818181818,23.18181818,0,284,1,87,0,11,21,81,10,14,1,0,33,0,0,92,15,26,1,0,38,0,10.90909091,54.09090909
8.227163333,15.46716333,17.82283833,38.70283833,0.07678416,0.200722014,2.108561607,4.351958247,0,93,0,37,0,5,3,24,6,5,0,0,11,0,0,36,6,11,0,0,29,0,5,19.18181818,0,259,2,110,0,9,15,91,19,18,1,0,35,0,0,84,15,26,2,0,53,0,12.90909091,54.27272727
8.255343333,15.83534333,18.11818667,43.19818667,0.088723007,0.266851479,2.133273556,4.722341956,0,112,0,33,0,6,4,32,3,8,0,0,11,0,0,48,2,7,0,0,30,0,4.545454545,22.36363636,0,288,3,90,0,16,10,91,14,19,0,0,36,0,0,99,10,16,3,0,62,0,12.54545455,56.27272727
8.183911667,15.42391167,17.30086667,35.48086667,0.053930439,0.130578641,2.065507594,4.107360034,0,112,1,28,0,9,7,41,3,6,0,0,17,0,0,31,3,9,1,0,9,0,3.727272727,21.45454545,0,279,5,93,0,25,19,102,10,18,1,0,38,0,0,82,13,19,1,0,35,0,11.09090909,56.18181818
8.875605,24.235605,17.84918,43.86918,0.005488768,-0.104903488,2.171860114,5.566959274,0,116,1,38,0,4,3,38,6,7,0,0,26,0,0,36,6,5,1,0,23,0,6,22.18181818,0,275,6,99,0,16,18,95,10,16,1,0,54,0,0,79,16,16,2,0,64,0,15.54545455,54.18181818
8.334155,16.774155,17.27397667,35.27397667,0.035062376,0.048921807,2.077710979,4.219627939,0,132,1,44,0,7,7,35,5,7,1,0,17,0,0,28,2,10,0,0,8,0,3.727272727,23.90909091,0,540,4,82,0,14,24,105,16,20,1,0,36,0,0,77,14,20,1,0,36,0,12,78
8.330735,15.570735,17.863045,39.263045,0.067265967,0.20685036,2.121359096,4.403571656,0,76,0,46,0,10,5,38,5,10,0,0,12,0,0,40,2,3,1,0,10,0,3.181818182,20.27272727,0,226,0,111,0,30,15,107,12,25,1,0,33,0,0,102,8,14,2,0,38,0,9.909090909,55.90909091
8.086466667,15.60646667,17.394595,39.174595,0.070232257,0.203235328,2.063287302,4.400348862,0,127,2,32,0,6,6,46,4,7,1,0,17,0,0,41,3,7,0,0,10,0,3.909090909,24.18181818,0,273,2,90,0,24,19,120,16,18,2,0,54,0,0,88,12,22,0,0,36,0,12.81818182,57.72727273
8.471223333,18.09122333,17.79413,41.75413,0.047863162,0.133440293,2.129502816,4.827919056,0,83,1,36,0,14,3,33,2,8,0,0,13,0,0,42,2,8,1,0,15,0,3.363636364,20.36363636,0,266,7,93,0,22,14,92,8,19,3,0,44,0,0,91,11,17,2,0,54,0,13,54.54545455
8.520723333,16.96072333,18.03795667,42.39795667,0.055245171,0.199927324,2.152385409,4.769050929,0,119,1,50,0,3,6,45,5,8,0,0,15,0,0,35,5,8,0,0,16,0,4.363636364,24.36363636,0,275,1,89,0,11,17,98,18,22,2,0,44,0,0,97,16,20,0,0,64,0,14.72727273,55.63636364
7.702253333,14.34225333,16.77341,35.29341,0.081611511,0.187256016,1.980577892,3.991059572,0,68,0,26,0,7,6,35,5,11,0,0,14,0,0,30,7,7,0,0,20,0,4.727272727,16.72727273,0,212,1,72,0,14,23,91,15,23,0,0,42,0,0,92,16,19,1,0,85,0,16.63636364,47.54545455
7.469596667,11.08959667,16.559055,31.139055,0.097823316,0.287737109,1.942571551,3.373304311,0,74,3,49,0,8,2,39,4,11,0,0,15,0,0,32,8,13,0,0,14,0,4.181818182,20.54545455,0,231,3,107,0,14,10,84,11,20,2,0,34,0,0,82,17,26,0,0,53,0,11.81818182,51.27272727
7.900458333,14.32045833,17.18286667,37.82286667,0.080426045,0.242761874,2.029889216,4.177811936,0,118,1,32,0,5,6,48,4,7,0,0,16,0,0,49,3,7,0,0,17,0,4.272727273,24.18181818,0,268,2,75,0,15,17,110,12,13,2,0,38,0,0,108,17,18,1,0,53,0,12.90909091,55.18181818
9.452631667,23.93263167,19.04600667,47.78600667,0.007389651,-0.001658575,2.315775927,5.830678287,0,109,0,41,0,12,5,55,3,7,0,0,15,0,0,39,1,5,0,0,13,0,3.363636364,24.36363636,0,228,1,104,0,26,22,117,11,18,2,0,45,0,0,90,7,19,2,0,47,0,12.45454545,54.72727273
7.843968333,14.66396833,16.40522333,30.02522333,0.043723066,0.023223363,1.966498202,3.628239602,0,106,0,30,0,10,6,31,7,7,1,0,16,0,0,30,3,5,0,0,18,0,4.636363636,19.90909091,0,345,1,76,0,15,18,78,18,18,1,0,45,0,0,91,13,14,1,0,49,0,13.27272727,57.90909091
8.490968333,16.93096833,17.79067,38.83067,0.045458284,0.12795899,2.131112102,4.499952902,0,75,0,26,0,5,5,41,4,5,1,0,11,0,0,42,5,11,0,0,20,0,4.181818182,18.63636364,0,242,1,85,0,18,26,328,9,10,2,0,39,0,0,100,20,26,0,0,46,0,13,73.54545455
