Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
6.136946667,6.136946667,13.84396,13.84396,0.113411673,0.113411673,1.613853202,1.613853202,0,108,3,33,0,2,4,36,8,7,0,0,33,0,0,31,6,4,1,0,25,0,7.272727273,20.09090909,0,256,8,89,0,14,22,91,12,15,1,0,65,0,0,70,15,14,2,0,79,0,18.54545455,49.90909091
6.290591667,6.290591667,13.89611167,13.89611167,0.094625631,0.094625631,1.632278474,1.632278474,0,125,2,39,0,6,9,34,6,7,1,0,23,0,0,25,2,8,0,0,11,0,4.909090909,22.18181818,0,529,5,72,0,12,31,100,16,17,1,0,48,0,0,69,14,17,1,0,43,0,14.45454545,74.18181818
6.933701667,6.933701667,14.09129667,14.09129667,0.015888767,0.015888767,1.707676169,1.707676169,0,74,1,42,0,9,6,35,5,12,0,0,12,0,0,39,1,3,1,0,11,0,3.363636364,19.45454545,0,214,1,99,0,26,17,102,13,25,2,0,44,0,0,93,7,12,2,0,53,0,12.63636364,51.90909091
5.92925,5.92925,13.87740833,13.87740833,0.145481655,0.145481655,1.596705204,1.596705204,0,120,2,30,0,5,6,45,5,6,1,0,21,0,0,35,3,7,0,0,11,0,4.454545455,22.54545455,0,262,3,84,0,22,21,112,16,14,2,0,70,0,0,81,11,18,0,0,40,0,14.81818182,53.90909091
6.397001667,6.397001667,14.20684833,14.20684833,0.099448165,0.099448165,1.665538406,1.665538406,0,79,2,35,0,13,5,28,2,7,0,0,14,0,0,36,5,8,1,0,23,0,4.727272727,18.72727273,0,259,9,94,0,22,16,83,8,16,3,0,46,0,0,88,10,16,3,0,76,0,15.54545455,52.54545455
6.249001667,6.249001667,13.97898,13.97898,0.105943114,0.105943114,1.634530515,1.634530515,0,115,1,46,0,3,6,38,6,7,0,0,20,0,0,31,6,8,0,0,20,0,5.363636364,22.54545455,0,267,1,85,0,8,17,86,22,19,2,0,56,0,0,88,19,19,0,0,84,0,18.27272727,52
5.990695,5.990695,14.19225,14.19225,0.155779387,0.155779387,1.626018589,1.626018589,0,70,0,25,0,6,6,37,6,11,0,0,15,0,0,31,6,7,0,0,26,0,5.363636364,17,0,208,1,65,0,10,25,88,17,22,0,0,57,0,0,94,15,18,2,0,97,0,19.45454545,45.90909091
6.194195,6.194195,14.00980833,14.00980833,0.115734512,0.115734512,1.631647893,1.631647893,0,73,3,48,0,9,2,36,4,10,0,0,20,0,0,28,10,13,0,0,16,0,5,19.72727273,0,224,3,102,0,15,11,82,10,21,1,0,47,0,0,72,201,26,4,0,64,0,31,49.27272727
5.622686667,5.622686667,13.790375,13.790375,0.184549127,0.184549127,1.561212528,1.561212528,0,114,1,34,0,4,5,45,5,6,1,0,30,0,0,36,7,6,1,0,21,0,6.454545455,22.27272727,0,244,5,95,0,15,22,95,12,14,1,0,54,0,0,92,17,20,1,0,74,0,16.90909091,52.27272727
5.79542,5.79542,13.89982667,13.89982667,0.16611622,0.16611622,1.585720467,1.585720467,0,108,0,26,0,5,6,27,8,11,1,0,21,0,0,23,9,7,1,0,15,0,5.545454545,18.81818182,0,246,2,72,0,20,17,84,20,26,2,0,47,0,0,84,20,29,2,0,50,0,14.54545455,51
5.697966667,5.697966667,13.95705833,13.95705833,0.183500344,0.183500344,1.580775056,1.580775056,0,82,0,38,0,4,8,41,1,5,0,0,8,0,0,36,7,12,0,0,25,0,4.454545455,19.81818182,0,232,1,98,0,13,21,102,8,15,0,0,50,0,0,76,19,26,0,0,64,0,14.81818182,51.09090909
6.64136,6.64136,14.086405,14.086405,0.057053947,0.057053947,1.679660182,1.679660182,0,72,2,35,0,6,8,48,3,5,1,0,14,0,0,32,5,12,0,0,24,0,5.181818182,19.09090909,0,232,5,78,0,12,21,115,11,18,1,0,45,0,0,95,21,22,2,0,49,0,14.09090909,52
6.179755,6.179755,13.99282,13.99282,0.116724863,0.116724863,1.629013989,1.629013989,0,117,2,33,0,8,5,49,5,4,0,0,18,0,0,36,3,9,0,0,35,0,6.181818182,23.27272727,0,285,2,69,0,16,13,97,17,15,2,0,50,0,0,93,10,20,0,0,81,0,15.90909091,54.09090909
6.634408333,6.634408333,14.327505,14.327505,0.073892023,0.073892023,1.696999816,1.696999816,0,110,1,38,0,4,7,40,4,7,0,0,14,0,0,37,4,5,0,0,17,0,4.272727273,21.90909091,0,322,3,86,0,10,15,100,14,19,0,0,50,0,0,92,15,14,1,0,64,0,14.72727273,58.45454545
