Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
7.891975,17.951725,16.68383667,37.25958667,0.053937633,0.036396986,1.991836235,4.479225064,0,52,4,33,0,2,8,29,9,8,0,0,26,0,0,14,8,3,1,0,24,0,7.272727273,12.81818182,0,136,12,67,0,5,32,72,14,19,1,0,55,0,0,30,16,14,1,0,65,0,17.81818182,31.18181818
8.154798333,16.80179833,17.54969333,39.74919333,0.070662013,0.154609343,2.081327854,4.556299579,0,61,2,34,0,0,8,34,7,8,1,0,20,0,0,8,5,10,0,0,8,0,4.636363636,14.09090909,0,170,6,70,0,2,27,100,15,18,1,0,38,0,0,22,16,19,3,0,30,0,12.36363636,36.45454545
8.347196667,15.78819667,17.73352167,39.71077167,0.05859684,0.204840601,2.113247708,4.457561055,0,43,4,30,0,3,6,40,8,11,0,0,13,0,0,14,2,3,1,0,10,0,4,13.09090909,0,120,8,66,0,11,21,96,16,25,2,0,35,0,0,29,9,12,2,0,37,0,11.81818182,32.63636364
7.780655,14.774405,17.37765333,38.93540333,0.104521784,0.241081189,2.033097783,4.30379444,0,65,3,16,0,2,15,40,5,7,1,0,17,0,0,18,6,6,0,0,10,0,5.181818182,14,0,137,6,56,0,9,28,112,18,17,2,0,50,0,0,32,19,19,0,0,33,0,14.18181818,34.72727273
8.437875,18.229625,17.91204833,43.53379833,0.05785482,0.162507031,2.135150729,4.973854761,0,37,1,29,0,5,7,33,6,7,0,0,13,0,0,13,5,7,1,0,11,0,4,11.90909091,0,128,12,79,0,8,21,92,14,16,3,0,37,0,0,33,13,16,2,0,48,0,13.63636364,33.81818182
8.557605,17.795355,17.97214833,42.86089833,0.047681463,0.169622864,2.150961496,4.882550474,0,64,2,20,0,2,8,38,5,11,0,0,13,0,0,9,9,6,0,0,15,0,4.727272727,13.63636364,0,130,5,48,0,5,23,93,19,24,2,0,43,0,0,37,27,19,0,0,67,0,16.90909091,32.36363636
7.454086667,14.28358667,16.76082833,35.53207833,0.110534811,0.196017383,1.956166125,4.003326281,0,41,0,27,0,0,11,30,5,11,0,0,16,0,0,7,7,5,0,0,20,0,5.363636364,11,0,113,5,61,0,3,31,84,17,19,1,0,54,0,0,31,16,17,1,0,83,0,18.90909091,29.81818182
7.738273333,13.75552333,17.23473167,34.52673167,0.102014063,0.203195746,2.018420625,3.878334831,0,39,4,16,0,2,3,33,5,8,0,0,16,0,0,7,9,11,0,0,15,0,4.727272727,10.54545455,0,111,6,50,0,4,16,72,13,17,2,0,39,0,0,23,27,23,1,0,49,0,13.90909091,27.27272727
7.6463,15.29805,17.13446667,38.72021667,0.107494835,0.209815889,2.002237038,4.337260054,0,56,2,30,0,3,11,34,7,7,1,0,17,0,0,14,4,5,0,0,17,0,5.363636364,13.54545455,0,130,6,64,0,7,27,91,18,14,4,0,42,0,0,35,17,13,1,0,56,0,15.54545455,32.18181818
7.66823,15.01873,16.91888,33.43663,0.093529832,0.101660066,1.988218583,3.916442241,0,47,1,21,0,3,4,46,4,7,0,0,12,0,0,13,2,2,0,0,15,0,3.454545455,12.63636364,0,105,4,72,0,6,26,96,12,17,1,0,41,0,0,31,10,12,2,0,46,0,12.90909091,30.81818182
