Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,11,1
180,0,0,0,1
240,0,0,5,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,13,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
230,0,0,8,1
240,0,0,0,1
180,0,0,13,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,11,1
180,0,0,0,1
240,0,0,5,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,11,1
180,0,0,0,1
240,0,0,5,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,13,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
230,0,0,8,1
240,0,0,0,1
180,0,0,13,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,11,1
180,0,0,0,1
240,0,0,5,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,13,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
230,0,0,8,1
240,0,0,0,1
240,0,0,0,1
300,0,0,0,1
180,0,0,0,1
240,0,0,11,1
180,0,0,0,1
240,0,0,5,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,13,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
230,0,0,8,1
240,0,0,0,1
180,0,0,13,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
240,0,0,0,1
240,0,0,0,1
180,0,0,0,1
180,0,0,0,2
89,0,0,0,2
220,0,0,0,2
16,0,0,0,2
112,0,0,0,2
203,0,0,5,2
19,0,0,0,2
200,0,0,0,2
99,0,0,0,2
102,0,0,0,2
180,0,0,0,2
57,0,0,0,2
153,0,0,0,2
117,0,0,0,2
180,0,0,0,2
126,0,0,13,2
174,0,0,0,2
37,0,0,2,2
102,0,0,0,2
148,0,0,0,2
