Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:People Occupant Count [](TimeStep),EMS:PerimeterZN1_Q_Sen [W](TimeStep),EMS:PerimeterZN1_Q_Lat [W](TimeStep),PERIMETER_ZN_1_WALL_WEST:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_1:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_2:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_3:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_4:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_5:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_6:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_EAST:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_FLOOR:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_CEILING:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Radiant Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Dewpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Humidity Ratio [](TimeStep),PERIMETER_ZN_1:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FMU_PERIMETER_ZN_1_PH:Schedule Value [](TimeStep),FMU_PERIMETER_ZN_1_PF:Schedule Value [](TimeStep),PERIMETER_ZN_1 NODE1:System Node Temperature [C](TimeStep),PERIMETER_ZN_1 NODE1:System Node Mass Flow Rate [kg/s](TimeStep),PERIMETER_ZN_1 NODE1:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep) 
 08/25  00:01:00,23.863333333333335,15.055,0.011225994778431573,58.38333333333333,0.0,0.0,0.0,28.640651806163267,29.419945909104727,25.400572113264276,25.40073277223746,25.400732772238145,25.400732772237804,25.400732772237235,25.40057212161298,28.615852171063425,28.64321076732788,29.925918499174786,29.46783456928582,29.447541167154829,25.962986718638417,29.97245550066204,0.02217050155232722,79.15830513649253,21.0,26.7,20.0,25.56,0.0,0.0,29.97480143501736,0.0,0.022189881320813275 
 08/25  00:02:00,23.826666666666666,15.11,0.011275696698465956,58.76666666666667,0.0,0.0,0.0,28.638179025213654,29.41585101411909,25.382624827348537,25.382785182880299,25.382785182879503,25.382785182880185,25.38278518287939,25.382624835680816,28.61345402835726,28.640986474445599,29.924561908602418,29.46460460492731,29.444396919776787,25.948794755134665,29.970083171392884,0.02215122580215383,79.10262505342998,21.0,26.7,20.0,25.56,0.0,0.0,29.97245550066204,0.0,0.02217050155232722 
 08/25  00:03:00,23.79,15.165,0.011325125474402173,59.14999999999999,0.0,0.0,0.0,28.635700301844698,29.411763079454148,25.364679519250104,25.364839572594634,25.3648395725952,25.36483957259543,25.36483957259503,25.364679527567206,28.611049429739827,28.638752666446466,29.92320518556408,29.461373643449574,29.44125145342304,25.93468339075487,29.96768369688313,0.022132073819658997,79.04747260304223,21.0,26.7,20.0,25.56,0.0,0.0,29.970083171392884,0.0,0.02215122580215383 
 08/25  00:04:00,23.75333333333333,15.22,0.011374280530275654,59.53333333333333,0.0,0.0,0.0,28.633217025862764,29.407682497395525,25.346723865395007,25.346883617898187,25.346883617897903,25.34688361789688,25.346883617898017,25.34672387369494,28.60863978928616,28.63651165107243,29.92184835099971,29.458143181047466,29.43810516644616,25.92065360578508,29.965257346592055,0.022113047273947436,78.99285354253159,21.0,26.7,20.0,25.56,0.0,0.0,29.96768369688313,0.0,0.022132073819658997 
 08/25  00:05:00,23.716666666666666,15.275,0.011423163268151488,59.916666666666667,0.0,0.0,0.0,28.630729813519016,29.403609426950735,25.328757499574409,25.328916952557394,25.32891695255745,25.328916952556825,25.32891695255779,25.32875750786104,28.60622575231015,28.6342647944749,29.92049142575121,29.454914006844644,29.434958419796254,25.906703283778155,29.962804617963927,0.02209414325140099,78.93875782601389,21.0,26.7,20.0,25.56,0.0,0.0,29.965257346592055,0.0,0.022113047273947436 
 08/25  00:06:00,23.68,15.33,0.011471774430821964,60.300000000000007,0.0,0.0,0.0,28.6282345207571,29.399539315144449,25.310780480545874,25.31093963529986,25.310939635300316,25.310939635300714,25.310939635299407,25.310780488814318,28.60380320091329,28.632008174057014,29.919123489974909,29.451682147550984,29.431802107080963,25.892831072215356,29.96032592303401,0.022075359212749235,78.8851723755007,21.0,26.7,20.0,25.56,0.0,0.0,29.962804617963927,0.0,0.02209414325140099 
 08/25  00:07:00,23.64333333333333,15.385,0.011520114760340797,60.68333333333334,0.0,0.0,0.0,28.625738072061229,29.39547945126312,25.29278894000555,25.292947797809519,25.292947797811054,25.292947797811224,25.292947797811168,25.292788948261206,28.601379085058544,28.629749868975386,29.9177575539568,29.448454670482375,29.42865206059585,25.87903484984336,29.957821637244018,0.022056693692429166,78.83209214432648,21.0,26.7,20.0,25.56,0.0,0.0,29.96032592303401,0.0,0.022075359212749235 
 08/25  00:08:00,23.606666666666667,15.44,0.01156818567509103,61.06666666666666,0.0,0.0,0.0,28.62323743794961,29.391426138438825,25.274790288596024,25.274948850693819,25.274948850694103,25.27494885069393,25.274948850694388,25.274790296835478,28.598950394405447,28.627487443986906,29.916391070270014,29.445227979217508,29.42549526802157,25.865315489598655,29.955292090763359,0.02203814584239663,78.779509903045,21.0,26.7,20.0,25.56,0.0,0.0,29.957821637244018,0.0,0.022056693692429166 
 08/25  00:09:00,23.569999999999998,15.495000000000001,0.011615986564532983,61.449999999999999,0.0,0.0,0.0,28.62073296449329,29.387379806168018,25.256777826554584,25.25693609417067,25.256936094170159,25.256936094170955,25.25693609416919,25.256777834778405,28.596517492340703,28.62522138301246,29.915024523964925,29.4420025385793,29.422338181799334,25.85167255404141,29.952737595341615,0.022019715012480097,78.727427740866,21.0,26.7,20.0,25.56,0.0,0.0,29.955292090763359,0.0,0.02203814584239663 
 08/25  00:10:00,23.533333333333336,15.55,0.011663518842496033,61.833333333333339,0.0,0.0,0.0,28.618224463445306,29.383340089708115,25.238755365913279,25.238913340252794,25.238913340251544,25.23891334025211,25.23891334025211,25.23875537412181,28.594080204727889,28.622951686765597,29.913649623648973,29.43877799303645,29.419178944019177,25.838105037128764,29.950158463543173,0.022001400568238937,78.67583486569323,21.0,26.7,20.0,25.56,0.0,0.0,29.952737595341615,0.0,0.022019715012480097 
 08/25  00:11:00,23.496666666666664,15.605,0.011710783248034493,62.21666666666667,0.0,0.0,0.0,28.61571201102456,29.3793069135622,25.220722301937714,25.22087998418067,25.220879984180728,25.220879984180387,25.220879984180387,25.220722310132204,28.591638618667387,28.6206786640454,29.912274666526334,29.435554255214734,29.416019308948415,25.824613328221778,29.947555011214527,0.021983201850715386,78.62473334245526,21.0,26.7,20.0,25.56,0.0,0.0,29.950158463543173,0.0,0.022001400568238937 
 08/25  00:12:00,23.46,15.66,0.011757780519440917,62.60000000000001,0.0,0.0,0.0,28.613195605252647,29.37528006343854,25.202679365609585,25.202836756912519,25.202836756912576,25.202836756912406,25.202836756912406,25.202679373788216,28.589192740581877,28.61840247460257,29.910899648905468,29.432331079404034,29.412859234093497,25.811195976782753,29.944927554668227,0.021965118183953359,78.57411656126804,21.0,26.7,20.0,25.56,0.0,0.0,29.947555011214527,0.0,0.021983201850715386 
 08/25  00:13:00,23.423333333333333,15.715,0.011804512086372024,62.983333333333337,0.0,0.0,0.0,28.610675237465196,29.37125929160271,25.18462665103175,25.184783752532668,25.184783752532554,25.184783752532554,25.184783752532554,25.18462665919344,28.58674256855482,28.616123229072753,29.90952457175069,29.42910817983166,29.409698645524626,25.797854264847545,29.942276406591259,0.02194714888778063,78.52398221052684,21.0,26.7,20.0,25.56,0.0,0.0,29.944927554668227,0.0,0.021965118183953359 
 08/25  00:14:00,23.386666666666664,15.77,0.011850977304292614,63.36666666666666,0.0,0.0,0.0,28.608150130446494,29.36724344460103,25.16656425805968,25.16672107087976,25.166721070880386,25.166721070880045,25.166721070880045,25.166564266209379,28.58428733114028,28.6138403667684,29.908141375824007,29.4258843440316,29.406531655995538,25.784586863755345,29.939601850339117,0.021929293282544838,78.47432798172788,21.0,26.7,20.0,25.56,0.0,0.0,29.942276406591259,0.0,0.02194714888778063 
 08/25  00:15:00,23.349999999999999,15.825,0.011897177598328375,63.75,0.0,0.0,0.0,28.60562073629709,29.363232808310856,25.148489569655056,25.148646094898028,25.1486460948978,25.148646094898369,25.148646094898426,25.148489577789236,28.58182748535162,28.611554308477634,29.906758119523574,29.42265984473502,29.403363795853744,25.771394754820429,29.936904161577723,0.021911550691824649,78.42514298787808,21.0,26.7,20.0,25.56,0.0,0.0,29.939601850339117,0.0,0.021929293282544838 
 08/25  00:16:00,23.313333333333334,15.879999999999999,0.01194311370367895,64.13333333333334,0.0,0.0,0.0,28.603087136726747,29.359227152151815,25.130405410317509,25.130561649071525,25.13056164907084,25.130561649070957,25.13056164907124,25.130405418435545,28.579363117013665,28.609265159054379,29.905374798897335,29.41943444082217,29.400195033574567,25.75827527832492,29.9341836217734,0.021893920442613708,78.37643354725776,21.0,26.7,20.0,25.56,0.0,0.0,29.936904161577723,0.0,0.021911550691824649 
 08/25  00:17:00,23.276666666666669,15.935,0.011988787058687587,64.51666666666667,0.0,0.0,0.0,28.600549370721607,29.35522619646447,25.112311796875475,25.11246775020379,25.112467750203338,25.112467750202087,25.112467750202826,25.112311804979755,28.576894268368564,28.60697297090568,29.90399141517649,29.416207851148344,29.397025288392489,25.745230176586508,29.93144051406291,0.02187640186562757,78.32818881018501,21.0,26.7,20.0,25.56,0.0,0.0,29.9341836217734,0.0,0.021893920442613708 
 08/25  00:18:00,23.239999999999996,15.99,0.012034196992038333,64.89999999999999,0.0,0.0,0.0,28.59800730064914,29.351229449213009,25.094208820737266,25.094364489686087,25.09436448968546,25.09436448968711,25.09436448968603,25.094208828827904,28.574420804342656,28.604677558193424,29.902600241807194,29.412979589436003,29.393852740227645,25.73225729747714,29.92867511412231,0.021858994293398473,78.28041081814719,21.0,26.7,20.0,25.56,0.0,0.0,29.93144051406291,0.0,0.02187640186562757 
 08/25  00:19:00,23.203333333333334,16.045,0.012079344937562582,65.28333333333333,0.0,0.0,0.0,28.595461037626099,29.347236707126485,25.076095992434717,25.076251378037285,25.076251378036547,25.076251378036717,25.076251378037683,25.07609600050887,28.57194283805493,28.602379057019385,29.901209009604018,29.40974948007744,29.390678977208773,25.719357901067544,29.925887691316956,0.02184169706106312,78.23309304193738,21.0,26.7,20.0,25.56,0.0,0.0,29.92867511412231,0.0,0.021858994293398473 
 08/25  00:20:00,23.166666666666666,16.1,0.012124231627294273,65.66666666666667,0.0,0.0,0.0,28.59291013916303,29.34324710886782,25.05797396528942,25.058129068558175,25.05812906855897,25.058129068559766,25.05812906855914,25.057973973347715,28.56945992844552,28.600077159309035,29.899817485780724,29.406516685587584,29.387500734786835,25.706531541605103,29.923078495044128,0.02182450950652023,78.18623325569621,21.0,26.7,20.0,25.56,0.0,0.0,29.925887691316956,0.0,0.02184169706106312 
 08/25  00:21:00,23.13,16.155,0.012168857792465174,66.05,0.0,0.0,0.0,28.59035491565469,29.339260681852989,25.039841132507264,25.039995954448956,25.039995954448615,25.039995954449638,25.03999595444884,25.039841140552313,28.56697238614646,28.5977720586196,29.898425898639738,29.403281290511655,29.384321007984089,25.69377677732016,29.920247768617917,0.021807430970382927,78.13982496346658,21.0,26.7,20.0,25.56,0.0,0.0,29.923078495044128,0.0,0.02182450950652023 
 08/25  00:22:00,23.09333333333333,16.21,0.012213224881866988,66.43333333333334,0.0,0.0,0.0,28.58779528090502,29.33527694862951,25.021699265726455,25.021853807326637,25.02185380732601,25.021853807325614,25.021853807325785,25.02169927375712,28.564480125924836,28.595463571720506,29.89702656728877,29.400042874152019,29.381138015326056,25.681094595391874,29.917395753422406,0.02179046079661693,78.09386596942795,21.0,26.7,20.0,25.56,0.0,0.0,29.920247768617917,0.0,0.021807430970382927 
 08/25  00:23:00,23.056666666666666,16.265,0.012257332191225913,66.81666666666666,0.0,0.0,0.0,28.585231370478103,29.33129571034521,25.00354782071662,25.003702082942824,25.003702082943165,25.00370208294453,25.00370208294322,25.00354782873336,28.561983289163437,28.59315182621172,29.89562717952882,29.396801310414117,29.37795334653019,25.668483475328136,29.91452268934802,0.021773598330846659,78.04835835976533,21.0,26.7,20.0,25.56,0.0,0.0,29.917395753422406,0.0,0.02179046079661693 
