Time,CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:01:00,1.133019E+03,3.397542E+03,5.555587E-02,2.608860E-01,4.247404E+03,2.213583E+03,2.192256E-01,1.560310E-01,2.522169E+03,1.541203E+03,1.236678E-01,1.183456E-01,4.096139E+03,2.418001E+03,2.008436E-01,1.856727E-01,2.570868E+03,1.641026E+03,1.260556E-01,1.260107E-01
00:02:00,1.132086E+03,3.396597E+03,5.551013E-02,2.608134E-01,4.247149E+03,2.211871E+03,2.192125E-01,1.559103E-01,2.522024E+03,1.540013E+03,1.236607E-01,1.182542E-01,4.095849E+03,2.416261E+03,2.008294E-01,1.855391E-01,2.570725E+03,1.639529E+03,1.260486E-01,1.258958E-01
00:03:00,1.131154E+03,3.395653E+03,5.546441E-02,2.607409E-01,4.246894E+03,2.210172E+03,2.191993E-01,1.557905E-01,2.521880E+03,1.538831E+03,1.236536E-01,1.181634E-01,4.095560E+03,2.414533E+03,2.008152E-01,1.854064E-01,2.570582E+03,1.638041E+03,1.260416E-01,1.257816E-01
00:04:00,1.130222E+03,3.394712E+03,5.541873E-02,2.606686E-01,4.246640E+03,2.208486E+03,2.191862E-01,1.556717E-01,2.521736E+03,1.537656E+03,1.236465E-01,1.180732E-01,4.095271E+03,2.412816E+03,2.008010E-01,1.852746E-01,2.570439E+03,1.636561E+03,1.260345E-01,1.256679E-01
00:05:00,1.129291E+03,3.393772E+03,5.537308E-02,2.605965E-01,4.246385E+03,2.206813E+03,2.191731E-01,1.555538E-01,2.521592E+03,1.536489E+03,1.236395E-01,1.179836E-01,4.094982E+03,2.411111E+03,2.007869E-01,1.851436E-01,2.570296E+03,1.635084E+03,1.260275E-01,1.255545E-01
00:06:00,1.128361E+03,3.392835E+03,5.532746E-02,2.605245E-01,4.246131E+03,2.205153E+03,2.191599E-01,1.554368E-01,2.521448E+03,1.535329E+03,1.236324E-01,1.178945E-01,4.094693E+03,2.409418E+03,2.007727E-01,1.850136E-01,2.570153E+03,1.633615E+03,1.260205E-01,1.254417E-01
00:07:00,1.128367E+03,3.392143E+03,5.532777E-02,2.604714E-01,4.246133E+03,2.203649E+03,2.191600E-01,1.553307E-01,2.521449E+03,1.534222E+03,1.236325E-01,1.178095E-01,4.094695E+03,2.407833E+03,2.007728E-01,1.848919E-01,2.570154E+03,1.632202E+03,1.260206E-01,1.253332E-01
00:08:00,1.128374E+03,3.391452E+03,5.532808E-02,2.604184E-01,4.246135E+03,2.202147E+03,2.191601E-01,1.552249E-01,2.521450E+03,1.533117E+03,1.236325E-01,1.177247E-01,4.094698E+03,2.406249E+03,2.007729E-01,1.847703E-01,2.570155E+03,1.630792E+03,1.260206E-01,1.252249E-01
00:09:00,1.128380E+03,3.390763E+03,5.532838E-02,2.603655E-01,4.246137E+03,2.200649E+03,2.191602E-01,1.551193E-01,2.521451E+03,1.532014E+03,1.236326E-01,1.176399E-01,4.094700E+03,2.404669E+03,2.007730E-01,1.846489E-01,2.570156E+03,1.629385E+03,1.260207E-01,1.251169E-01
00:10:00,1.128386E+03,3.390076E+03,5.532869E-02,2.603127E-01,4.246138E+03,2.199153E+03,2.191603E-01,1.550139E-01,2.521452E+03,1.530912E+03,1.236326E-01,1.175554E-01,4.094702E+03,2.403091E+03,2.007731E-01,1.845278E-01,2.570157E+03,1.627981E+03,1.260207E-01,1.250091E-01
00:11:00,1.128392E+03,3.389391E+03,5.532899E-02,2.602601E-01,4.246140E+03,2.197660E+03,2.191604E-01,1.549086E-01,2.521453E+03,1.529812E+03,1.236327E-01,1.174709E-01,4.094704E+03,2.401516E+03,2.007733E-01,1.844068E-01,2.570158E+03,1.626580E+03,1.260208E-01,1.249015E-01
00:12:00,1.128398E+03,3.388708E+03,5.532930E-02,2.602076E-01,4.246142E+03,2.196170E+03,2.191605E-01,1.548036E-01,2.521454E+03,1.528714E+03,1.236327E-01,1.173866E-01,4.094706E+03,2.399943E+03,2.007734E-01,1.842861E-01,2.570159E+03,1.625182E+03,1.260208E-01,1.247941E-01
00:13:00,1.128405E+03,3.388026E+03,5.532960E-02,2.601553E-01,4.246144E+03,2.194683E+03,2.191606E-01,1.546988E-01,2.521456E+03,1.527617E+03,1.236328E-01,1.173024E-01,4.094708E+03,2.398373E+03,2.007735E-01,1.841655E-01,2.570160E+03,1.623787E+03,1.260209E-01,1.246870E-01
00:14:00,1.128411E+03,3.387347E+03,5.532990E-02,2.601031E-01,4.246146E+03,2.193199E+03,2.191607E-01,1.545941E-01,2.521457E+03,1.526523E+03,1.236328E-01,1.172183E-01,4.094710E+03,2.396806E+03,2.007736E-01,1.840451E-01,2.570162E+03,1.622396E+03,1.260209E-01,1.245802E-01
00:15:00,1.128417E+03,3.386668E+03,5.533021E-02,2.600510E-01,4.246147E+03,2.191717E+03,2.191608E-01,1.544897E-01,2.521458E+03,1.525430E+03,1.236329E-01,1.171344E-01,4.094713E+03,2.395241E+03,2.007737E-01,1.839250E-01,2.570163E+03,1.621008E+03,1.260210E-01,1.244736E-01
00:16:00,1.128423E+03,3.385992E+03,5.533051E-02,2.599991E-01,4.246149E+03,2.190238E+03,2.191609E-01,1.543855E-01,2.521459E+03,1.524338E+03,1.236329E-01,1.170506E-01,4.094715E+03,2.393678E+03,2.007738E-01,1.838050E-01,2.570164E+03,1.619623E+03,1.260211E-01,1.243673E-01
00:17:00,1.128429E+03,3.385317E+03,5.533082E-02,2.599473E-01,4.246151E+03,2.188762E+03,2.191610E-01,1.542814E-01,2.521460E+03,1.523249E+03,1.236330E-01,1.169669E-01,4.094717E+03,2.392118E+03,2.007739E-01,1.836852E-01,2.570165E+03,1.618241E+03,1.260211E-01,1.242612E-01
00:18:00,1.128436E+03,3.384645E+03,5.533112E-02,2.598956E-01,4.246153E+03,2.187288E+03,2.191611E-01,1.541775E-01,2.521461E+03,1.522161E+03,1.236331E-01,1.168834E-01,4.094719E+03,2.390561E+03,2.007740E-01,1.835656E-01,2.570166E+03,1.616862E+03,1.260212E-01,1.241553E-01
00:19:00,1.128442E+03,3.383973E+03,5.533142E-02,2.598441E-01,4.246155E+03,2.185817E+03,2.191611E-01,1.540738E-01,2.521462E+03,1.521074E+03,1.236331E-01,1.168000E-01,4.094721E+03,2.389006E+03,2.007741E-01,1.834462E-01,2.570167E+03,1.615487E+03,1.260212E-01,1.240497E-01
00:20:00,1.128448E+03,3.383304E+03,5.533172E-02,2.597927E-01,4.246156E+03,2.184349E+03,2.191612E-01,1.539703E-01,2.521463E+03,1.519990E+03,1.236332E-01,1.167167E-01,4.094723E+03,2.387453E+03,2.007742E-01,1.833270E-01,2.570168E+03,1.614115E+03,1.260213E-01,1.239444E-01
00:21:00,1.128454E+03,3.382636E+03,5.533203E-02,2.597414E-01,4.246158E+03,2.182883E+03,2.191613E-01,1.538670E-01,2.521464E+03,1.518907E+03,1.236332E-01,1.166335E-01,4.094725E+03,2.385903E+03,2.007743E-01,1.832079E-01,2.570169E+03,1.612747E+03,1.260213E-01,1.238393E-01
00:22:00,1.128460E+03,3.381970E+03,5.533233E-02,2.596902E-01,4.246160E+03,2.181419E+03,2.191614E-01,1.537638E-01,2.521465E+03,1.517825E+03,1.236333E-01,1.165505E-01,4.094727E+03,2.384355E+03,2.007744E-01,1.830891E-01,2.570170E+03,1.611381E+03,1.260214E-01,1.237344E-01
00:23:00,1.128467E+03,3.381305E+03,5.533263E-02,2.596392E-01,4.246162E+03,2.179959E+03,2.191615E-01,1.536609E-01,2.521466E+03,1.516746E+03,1.236333E-01,1.164676E-01,4.094729E+03,2.382810E+03,2.007745E-01,1.829705E-01,2.570171E+03,1.610019E+03,1.260214E-01,1.236298E-01
00:24:00,1.128473E+03,3.380642E+03,5.533293E-02,2.595883E-01,4.246164E+03,2.178500E+03,2.191616E-01,1.535581E-01,2.521467E+03,1.515668E+03,1.236334E-01,1.163848E-01,4.094732E+03,2.381268E+03,2.007746E-01,1.828520E-01,2.570172E+03,1.608660E+03,1.260215E-01,1.235255E-01
00:25:00,1.128479E+03,3.379981E+03,5.533324E-02,2.595375E-01,4.246165E+03,2.177044E+03,2.191617E-01,1.534555E-01,2.521469E+03,1.514591E+03,1.236334E-01,1.163021E-01,4.094734E+03,2.379727E+03,2.007747E-01,1.827337E-01,2.570173E+03,1.607305E+03,1.260215E-01,1.234214E-01
00:26:00,1.128485E+03,3.379321E+03,5.533354E-02,2.594869E-01,4.246167E+03,2.175591E+03,2.191618E-01,1.533530E-01,2.521470E+03,1.513516E+03,1.236335E-01,1.162196E-01,4.094736E+03,2.378189E+03,2.007748E-01,1.826156E-01,2.570174E+03,1.605952E+03,1.260216E-01,1.233175E-01
